"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm42418",-1.07346976648796,4.75336316548462,-14.3165835238987,3.06243644047216e-44,2.30540215238744e-40,89.1701469039656
"Malat1",-0.363021906645163,6.16063738700333,-10.750221527222,3.26225598965045e-26,1.22791315450443e-22,48.57156692142
"AY036118",-1.61328747176523,2.07837694941356,-10.5888997565304,1.67927976497354e-25,4.21387269024027e-22,46.9720679836049
"Pfkp",1.01449258434098,1.13622378857052,10.290257843878,3.29333309326679e-24,6.19805288152809e-21,44.0678218906521
"Atp6v0b",1.06174248537283,2.00849351612857,10.159400407802,1.18512451665281e-23,1.78432347227247e-20,42.8186347598146
"AC149090.1",1.12829256636779,1.97826139260904,10.1337150073567,1.52121094215591e-23,1.90861266209161e-20,42.5751185453039
"Tmem191c",0.943455638767308,0.989231185100002,9.99865320231126,5.60205402774398e-23,6.02460896012238e-20,41.3037392513249
"Nktr",1.01602106939226,1.76111839368943,9.93550483061631,1.02507959937256e-22,9.64599903009576e-20,40.7145650643222
"Srcin1",0.974802934582506,1.41147878868108,9.48358555692404,7.00955517242817e-21,5.86310348200436e-18,36.5966649481304
"Mmp16",0.936257727593705,1.05241478774086,9.29642161998761,3.83171796261601e-20,2.88451728225733e-17,34.9422040165883
"Mid1",0.537749642421222,0.299337002652391,9.15806060553403,1.3191885244949e-19,9.02804655672511e-17,33.738488875961
"Celf5",0.891735734499552,1.12327706865236,9.13499315042923,1.6185318606954e-19,1.01535898727625e-16,33.5394111705229
"Lrp8",0.579269904443429,0.357539889034175,9.11849382135949,1.87294148477288e-19,1.0845771921054e-16,33.3972998178081
"Gprasp2",0.817328531096849,0.835828196589478,9.02011630402472,4.45078668892578e-19,2.39325158530238e-16,32.5548440447521
"Baiap2",0.903575747702511,1.24272130711995,8.93568378203768,9.29290847466582e-19,4.66380099981895e-16,31.838491379257
"Mcf2l",0.774955410514716,0.800672734098609,8.81985612225267,2.52557891266197e-18,1.18828487840746e-15,30.8658469511857
"Map2",0.958404606543915,1.76487390321907,8.81038220668795,2.73937431687322e-18,1.20329755408084e-15,30.7868078545975
"Rbm25",0.922069669059098,1.6977613603083,8.80465576408364,2.87717268510297e-18,1.20329755408084e-15,30.7390711469843
"Phactr1",0.921049181821274,1.58260931975351,8.76750058022721,3.95330118030772e-18,1.56633954133456e-15,30.4300330667055
"Tanc2",0.917242862584403,1.45439500806673,8.72284985903672,5.78227253956993e-18,2.1043425212828e-15,30.0602444847861
"Miat",0.952989372968446,1.73135231160312,8.72107256566492,5.87024348391854e-18,2.1043425212828e-15,30.0455613149025
"Tnik",0.900148444317698,1.40395123214242,8.6592772808663,9.90628293250776e-18,3.38974990526902e-15,29.5367544003974
"Unc79",0.686931572595027,0.644182192568746,8.54640741580818,2.55410672582009e-17,8.35970236172765e-15,28.6160422042836
"Kcnq1ot1",0.932111699958791,2.27859882259724,8.53061306292044,2.91346809872491e-17,9.13857826966712e-15,28.4880942124974
"Rnf112",0.843237675884191,1.07597851220242,8.48435242946675,4.27870834532047e-17,1.2884046569429e-14,28.1146036650472
