"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Baiap3",0.79548388528969,0.357636934105205,5.18402213035211,3.54356062427862e-07,0.00266511194551995,6.11295459177694
"Mapre2",0.886357253598421,0.558734972400176,4.80170390093175,2.27034562045449e-06,0.00704034824969896,4.46163535835312
"Hap1",0.966241267709642,0.623221912281943,4.75635569380959,2.80827612672476e-06,0.00704034824969896,4.27308291948833
"Ptprs",1.09356452527156,1.33471774294299,4.49846376961548,9.11974134976073e-06,0.0145185888071909,3.23085928010584
"Usp29",0.949307163837638,0.805569909732368,4.48006094863284,9.8990489927693e-06,0.0145185888071909,3.15845864045973
"Kcna4",0.709267879023693,0.365174683156119,4.4446396527163,1.15824402131559e-05,0.0145185888071909,3.01984868679412
"Pgap1",0.704323479295669,0.356799153510532,4.35664683359654,1.70339645315323e-05,0.0167550612220826,2.67977562645711
"B230334C09Rik",0.902950201369051,0.745373123739448,4.34623235966234,1.78221632464646e-05,0.0167550612220826,2.6399292213574
"Zfp397",0.779515730520428,0.538187775772762,4.27211055614798,2.45279034845847e-05,0.0173325254984025,2.35881082086106
"Kcnq2",0.833070433818345,0.678979723002998,4.24580921582416,2.74413700010041e-05,0.0173325254984025,2.260105480412
"Kif3a",0.898309805559739,0.856867779172412,4.24411020532972,2.76405155950028e-05,0.0173325254984025,2.25374822265837
"Tra2a",1.00357016294707,1.42281984366422,4.2439904199823,2.76546078953371e-05,0.0173325254984025,2.2533001034739
"Tmem39a",0.429503346920823,0.156838855904953,4.16628692934075,3.83957248695917e-05,0.0222134035957076,1.96501815661804
"Kcnq1ot1",0.922586516277343,2.44325548025166,4.06811692110473,5.77082311167113e-05,0.0281541397526426,1.60770955327947
"Gabrb3",0.930493438014939,1.02787434249699,4.04324631465171,6.39023848142743e-05,0.0281541397526426,1.51841773181577
"Kctd3",0.506440939291637,0.225867883184319,4.04026864253982,6.4684990509675e-05,0.0281541397526426,1.50776054456663
"Akap6",0.870151377271046,0.894809027029344,4.03224991307446,6.68380501611446e-05,0.0281541397526426,1.47909680755203
"Fsd1l",0.695068482612746,0.454196685361243,4.01524767646802,7.16305676997787e-05,0.0281541397526426,1.41849231882133
"Rnf165",0.608922489243104,0.338663930160097,4.00656186500374,7.42031084134755e-05,0.0281541397526426,1.3876218469511
"Rprml",0.356574227151768,0.110767761939753,4.0043632224893,7.48680753959382e-05,0.0281541397526426,1.37981726462601
"Lman2l",0.593972652293135,0.336436561676307,3.94475570769944,9.52081062933772e-05,0.0337270157184792,1.16971803080478
"Mid1",0.605932451375654,0.343871536874333,3.93542292710146,9.88325091556225e-05,0.0337270157184792,1.13708352909163
"Slc25a25",0.558959568469146,0.292231497582052,3.90492467338724,0.000111610110877305,0.0337270157184792,1.03093202018877
"Socs7",0.525978234534811,0.253415048852934,3.9019404308263,0.000112941157042165,0.0337270157184792,1.02058577359882
"Znrf1",0.67911905778198,0.474775590125264,3.88978337733077,0.000118520449704955,0.0337270157184792,0.978512707722079
"Inpp5f",0.616713335162818,0.36585655460912,3.88012122779431,0.000123139808890706,0.0337270157184792,0.945159868467378
"Slc7a6",0.556167285859089,0.306332816427823,3.87939111779615,0.000123495703850545,0.0337270157184792,0.942642689084982
"Ptgds",-0.750035758013907,0.41170555466844,-3.86848507267274,0.000128929148013136,0.0337270157184792,0.905093972519373
"Git2",0.710171379208509,0.507773957787283,3.86629536504871,0.000130046995856389,0.0337270157184792,0.897566664914851
"Tmem181a",0.853028628326679,1.02852408708342,3.8459319429085,0.000140890917996405,0.0352000646302017,0.827753107432326
"Eml5",0.933502248303016,1.30088006507379,3.83367166522218,0.000147826383432368,0.0352000646302017,0.785883589985376
"Malat1",-0.289423121337093,6.00724436592706,-3.82910155392479,0.000150493246249697,0.0352000646302017,0.770307854201322
"Dcx",0.599578886750604,0.343426754011799,3.82246370150445,0.000154447830447634,0.0352000646302017,0.747715325389829
"9330159F19Rik",0.433651914030373,0.194690993204255,3.80346636288437,0.000166315461928226,0.0358364391142143,0.683255490474928
"Rbfox3",0.705101217895429,0.539257983225975,3.7958424548106,0.000171316118480357,0.0358364391142143,0.65746994802805
"Cacna1h",0.491016395424445,0.239050719608151,3.79551415817325,0.000171534610837883,0.0358364391142143,0.65636065472621
"Ryr2",0.850512446964868,0.886923613066402,3.77622193167828,0.000184846415260877,0.0375737807885691,0.591328671692698
"Tmem191c",0.885966893154336,1.31406397593633,3.76478280625209,0.0001931938424782,0.0382371286652249,0.55291287794294
"Nnat",0.60308200359171,0.325289803123132,3.73631404809563,0.000215538589577492,0.041565788005444,0.45777356947832
"Atp2b2",0.866884843859701,1.13450629225355,3.69605118558415,0.000251328969506756,0.0441495343225044,0.324358603095061
"Trim2",0.845102291396628,1.35736679523549,3.69401085138211,0.000253283963218627,0.0441495343225044,0.317633329050296
"Gpr107",0.548453157583629,0.313937994605122,3.69386986829511,0.000253419576945111,0.0441495343225044,0.317168752683436
"Dhps",0.597306237537208,0.37900031939822,3.69336568851759,0.000253905114571883,0.0441495343225044,0.31550748185147
"Mtch2",0.733793478348701,0.653586941391094,3.68885577795313,0.000258287396648078,0.0441495343225044,0.300656670323264
"Tm9sf4",0.623166914037251,0.4225414816289,3.6716428093405,0.000275676380857691,0.0460747124540154,0.244129948434521
