"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl29",-4.10499014831441,0.586427164044916,-44.702872056394,5.04966748202217e-06,0.000550666371487693,4.50604267116486
"Stip1",-4.10499014831441,0.586427164044916,-44.702872056394,5.04966748202217e-06,0.000550666371487693,4.50604267116486
"Copa",-3.70773632578331,0.529676617969044,-40.3768234762742,7.24940175628577e-06,0.000550666371487693,4.34254439450952
"Cops4",-3.70773632578331,0.529676617969044,-40.3768234762742,7.24940175628577e-06,0.000550666371487693,4.34254439450952
"Mpped1",-3.70773632578331,0.529676617969044,-40.3768234762742,7.24940175628577e-06,0.000550666371487693,4.34254439450952
"Gabbr1",-3.70773632578331,0.529676617969044,-40.3768234762742,7.24940175628577e-06,0.000550666371487693,4.34254439450952
"Pnisr",5.2404455257578,1.06440795532901,37.7237119603757,9.22863749461284e-06,0.000550666371487693,4.22119464020073
"Coa5",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Als2",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Arl4c",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Actr3",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Rgs16",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Hspa5",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Cstf3",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Emc7",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Fam98b",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Rasgrp1",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
"Dstn",-3.03882603952304,0.434118005646148,-33.0924671529887,1.46921657696667e-05,0.000550666371487693,3.95874313595783
