"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Onecut2",1.7762133191459,0.0724926786290267,9.42857209597977,3.52186271993287e-15,4.16953327412853e-11,23.44492923702
"Lrrc55",1.00118533146937,0.0319527233447672,5.82475312845933,8.26165620175854e-08,4.1253529622217e-05,7.71006736128857
"Gstm4",1.00118533146937,0.0319527233447672,5.82475312845933,8.26165620175854e-08,4.1253529622217e-05,7.71006736128857
"Dynlrb2",1.00118533146937,0.0319527233447672,5.82475312845933,8.26165620175854e-08,4.1253529622217e-05,7.71006736128857
"Kank2",1.00118533146937,0.0319527233447672,5.82475312845933,8.26165620175854e-08,4.1253529622217e-05,7.71006736128857
"Sowaha",1.00118533146937,0.0319527233447672,5.82475312845933,8.26165620175854e-08,4.1253529622217e-05,7.71006736128857
"Hist1h3i",1.00118533146937,0.0319527233447672,5.82475312845933,8.26165620175854e-08,4.1253529622217e-05,7.71006736128857
"Cxcr4",0.977838694457729,0.0312076179082254,5.81899878008755,8.47231417390447e-08,4.1253529622217e-05,7.68669263635876
"1600014C10Rik",0.977838694457729,0.0312076179082254,5.81899878008755,8.47231417390447e-08,4.1253529622217e-05,7.68669263635876
"Btbd11",0.977838694457729,0.0312076179082254,5.81899878008755,8.47231417390447e-08,4.1253529622217e-05,7.68669263635876
"Adra1a",0.977838694457729,0.0312076179082254,5.81899878008755,8.47231417390447e-08,4.1253529622217e-05,7.68669263635876
"Cyb5r1",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Plekha3",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Jag1",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Nrsn2",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Srpx",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Grpr",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Frem2",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Med12l",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Trim14",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Trim62",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Dtx1",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Zfp11",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Strip2",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Gm10244",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Gm38843",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Zxdc",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Olfr658",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Epb41l2",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Fhit",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Trpc7",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Crybg3",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Fndc1",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Gm27217",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Lrrc10b",0.753354266091486,0.0240432212582389,5.73547513735539,1.21959079041946e-07,4.1253529622217e-05,7.34855121082559
"Vps29",1.96949570500029,0.212508680031456,5.68342335861927,1.52870223873966e-07,5.02730716789968e-05,7.13892266481834
"Lig3",1.59674632162325,0.140402873148739,5.51579922063052,3.14496880656278e-07,0.000100630501894316,6.46983949031374
"Syce2",0.949995178066605,0.0403900541648724,5.34118089004335,6.59885912117634e-07,0.000205589192462123,5.78309404086461
"Oprm1",0.938699079260615,0.040029540373192,5.33023487925159,6.91010006154482e-07,0.0002097658323811,5.74041016843496
