"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gstm5",2.35438323988648,0.159284986367927,10.1372576933401,1.54047617294662e-15,1.66433045725153e-11,24.0015923547083
"Gm10138",1.62471525935274,0.0658668348386249,9.21307748568546,7.92346032346355e-14,2.85350217782334e-10,20.4360611240124
"Msantd3",1.62471525935274,0.0658668348386249,9.21307748568546,7.92346032346355e-14,2.85350217782334e-10,20.4360611240124
"Tcf7l2",2.66302956788898,0.188015795491649,9.02726734305223,1.75993537758146e-13,4.75358545484754e-10,19.7103153695834
"Sesn3",1.97100227168182,0.14373574117738,6.54953504532247,7.23189914579117e-09,1.56266876742256e-05,9.96408233256738
"Sppl2b",2.1307924095473,0.143008777628445,6.41768731592032,1.25727219017833e-08,2.26392812378112e-05,9.45394920462669
"Thap4",1.95355862800321,0.163941231118893,6.14667783591156,3.88501556849317e-08,5.99624402885718e-05,8.41306144034327
"Prpf31",1.6923202627989,0.141814867676894,5.49396867821766,5.54389786182025e-07,0.000748703406238825,5.9612649602045
"Rnf185",1.72320354366904,0.14494451367981,5.27065940068943,1.34439492124985e-06,0.00108917537052441,5.14515355583493
"Gpc4",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Cnpy1",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Msantd1",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Lgals7",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Pcbp3",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Kars",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"C230057M02Rik",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Rab3d",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Tlx3",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Rflnb",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Nt5c",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Atad2",0.993989187027711,0.0402968589335559,4.9756542389067,4.23731539703986e-06,0.00108917537052441,4.08893350298341
"Pax3",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Vstm2l",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Mlf1",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Gm12371",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Col4a1",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Gatad2a",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Nefh",0.954617469655979,0.0387007082292965,4.96560669334077,4.40414784467356e-06,0.00108917537052441,4.0534388489988
"Fabp3",1.48184369386679,0.122456163589443,4.89815156365956,5.70268877770416e-06,0.00108917537052441,3.8160083035751
"Tfap2b",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Cnnm3",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Gm973",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"D630023F18Rik",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"March4",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Fam102a",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Gm13589",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Lrrc55",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Gm13883",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Arl14ep",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Adal",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Galk2",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
"Hck",0.630726072325033,0.025569975905069,4.80703012625019,8.06497867844804e-06,0.00108917537052441,3.49773278687207
