"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Chgb",2.35563588901856,0.181202760693736,12.7288393641604,1.33637692999704e-12,1.16146125184938e-08,16.866973690155
"Kif26b",2.04322718078456,0.157171321598812,12.1585821200164,3.69147553294643e-12,1.16146125184938e-08,16.0949008248689
"Snx14",2.04322718078456,0.157171321598812,12.1585821200164,3.69147553294643e-12,1.16146125184938e-08,16.0949008248689
"Eef1a2",1.75650913915098,0.135116087626998,9.63458506118957,5.1432746836009e-10,5.39415219316765e-07,12.1386610944317
"Ddx54",1.75650913915098,0.135116087626998,9.63458506118957,5.1432746836009e-10,5.39415219316765e-07,12.1386610944317
"Mrm1",1.75650913915098,0.135116087626998,9.63458506118957,5.1432746836009e-10,5.39415219316765e-07,12.1386610944317
"Rrm2",1.75650913915098,0.135116087626998,9.63458506118957,5.1432746836009e-10,5.39415219316765e-07,12.1386610944317
"Wdr25",1.75650913915098,0.135116087626998,9.63458506118957,5.1432746836009e-10,5.39415219316765e-07,12.1386610944317
"Sptbn2",1.75650913915098,0.135116087626998,9.63458506118957,5.1432746836009e-10,5.39415219316765e-07,12.1386610944317
"Ano3",2.26981523527776,0.209460872635706,7.91633767428017,2.34004687298748e-08,2.20877024341289e-05,8.88366358088953
"Rmst",2.99042665554759,0.404436453656329,6.34570641837684,1.07114292556369e-06,0.00086470272611739,5.49697811116183
"Ldhb",3.38568799112553,0.463017559892818,6.33543442038726,1.09931483350023e-06,0.00086470272611739,5.47365153647335
"Sept1",2.63519683597866,0.293779703566682,6.28473333336967,1.24980385369717e-06,0.000907453736542124,5.35831598736261
"Rbm27",2.04306604911839,0.201244605311786,5.90872023181354,3.26211084791697e-06,0.00215050003227958,4.49315578248863
"Tpd52l2",2.04457988661458,0.201593952426291,5.89061409247414,3.41747012227924e-06,0.00215050003227958,4.45108597818235
"Satb1",2.06192188437767,0.205595951910082,5.6905458647188,5.7248134082734e-06,0.00337728211004329,3.98395937886235
"Hacd1",2.17704674140783,0.256759707759814,5.49119205656062,9.6010876376623e-06,0.00507557135008008,3.51472301620969
"Cox4i1",-4.17813459016078,1.53187373975937,-5.48808331707673,9.67902153845125e-06,0.00507557135008008,3.50737876232424
"Fam117b",1.6336536785488,0.187093397881766,5.40321169559227,1.20721738301505e-05,0.00599732888330476,3.30658064155115
"Dhrs1",1.63128775798633,0.188094364273581,5.32983962402027,1.46178759872872e-05,0.00657038721161923,3.1325589070815
"Med13",1.63128775798633,0.188094364273581,5.32983962402027,1.46178759872872e-05,0.00657038721161923,3.1325589070815
"Snta1",2.47095122534851,0.337752388798148,5.29830095264912,1.58723915802235e-05,0.00680997746026045,3.05764234618401
"Agpat5",1.95062368125786,0.241344654692598,4.96262758176101,3.82260729146562e-05,0.0156876479235409,2.25684902287093
"Ccar1",2.84988284927809,0.438568173479141,4.84812862851973,5.1628737702792e-05,0.0186788363912781,1.98266258508376
"Nap1l5",2.76961105810288,0.529931231570052,4.84256565520691,5.23884722689975e-05,0.0186788363912781,1.96933307114756
"Ndfip2",2.99236642278636,0.542561792815782,4.84035849880728,5.26929973985029e-05,0.0186788363912781,1.9640443066703
"Cers1",1.85787581247954,0.240383915310475,4.8350671233135,5.34302979727204e-05,0.0186788363912781,1.95136479109296
"Smg1",2.91573599078039,0.685774845812333,4.79548178131548,5.92840177853456e-05,0.0199850658527099,1.85649265468469
"Arhgef40",2.11212034172678,0.316378165310995,4.71260923133994,7.370088649815e-05,0.0239883678502082,1.65781411541129
"Plcg1",2.78418465159365,0.505978174911498,4.58332674501375,0.000103498057463984,0.0325639388134182,1.34784470945414
"Dgkb",1.91935850544993,0.254572229072874,4.51256355992724,0.000124624925749898,0.036991489724408,1.17825280906317
"Xpo4",1.53969747319208,0.226844100148073,4.5101762039943,0.000125408165184983,0.036991489724408,1.17253289905624
"Tbc1d24",2.26019683913848,0.355606920368892,4.46476361493298,0.000141276968184011,0.0404094940208752,1.0637545102342
"Ccdc93",1.88373395383909,0.255467310948957,4.40970905961473,0.000163218217635124,0.0453122575369982,0.931961137618609
"Scamp5",2.57929060842904,0.428875085071185,4.39000216260012,0.000171870140340402,0.0463509215620873,0.884811139003356
"Dnm3",2.48444395689122,0.413085805096645,4.37038958386767,0.000180933325965883,0.0474397128831104,0.837902030428345
"Clvs1",2.64483991945458,0.552513880475874,4.35279710263146,0.000189466418653359,0.0483344196126771,0.795838404957752
