"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl8",-1.90031891883076,0.628540986874213,-8.05306263595914,5.95745382223784e-14,8.16945642643475e-10,19.47736577334
"Oaz1",-1.70895989515691,0.736227803513257,-6.87705391627758,6.87586082352657e-11,4.71443397365099e-07,13.3595275674891
"AC149090.1",-1.78699124611444,1.32084659397568,-5.86924566279069,1.68856717836546e-08,7.71844057230851e-05,8.5799354374561
"Calm1",-1.52374432626945,1.21773977999561,-5.54508829288945,8.7715844865637e-08,0.00030071184516062,7.15118436266104
"Khdrbs2",-0.851948763110083,0.267951478108019,-5.09943750287063,7.59372450224905e-07,0.00199851443869969,5.28330152578068
"Chd3os",-1.00018328493085,0.424991980490791,-5.06935249529823,8.74432044935329e-07,0.00199851443869969,5.16141264459516
"Snrnp70",-1.52207013374847,1.36569289125943,-4.90391228276651,1.87926874438106e-06,0.0036814874702425,4.50098332351809
"Hint1",-0.928255753301145,0.337220538843825,-4.82223410996372,2.72318271889125e-06,0.00444925251388495,4.18116375227367
"Actg1",-1.44753491182769,1.16656188536762,-4.80674768525713,2.92009572121086e-06,0.00444925251388495,4.12099623738642
"Nap1l5",-1.29743525696028,0.835424024871108,-4.70247022758016,4.65260945154465e-06,0.00638012334090317,3.71981097817802
"Atp5g3",-1.03082597229776,0.496029240933459,-4.67820358898492,5.17972244421284e-06,0.00645723035249915,3.62744432627239
"Ddx50",-1.05634918934222,0.547558090347985,-4.62724264384117,6.48052622033384e-06,0.0074056213382865,3.43470315658659
"Cltc",-1.29666856973056,0.903413884836909,-4.6046698390141,7.15251376750779e-06,0.00754480163798726,3.34986601714776
"Usp33",-0.810777775336516,0.295404446372528,-4.55544456259188,8.8585243503999e-06,0.00867692460121671,3.16600746893318
"Rpl27a",-0.900715167390812,0.36228485591767,-4.37780335154304,1.88984274971431e-05,0.0172769424178882,2.51576526855488
"Actb",-1.24486781735015,1.30919052732011,-4.25900680182908,3.09742145265064e-05,0.0265468377376239,2.09269148467228
"Tm2d2",-0.674854935228631,0.234016412244398,-4.21401265565109,3.7248458776831e-05,0.0297415990024968,1.93495470509111
"Slc25a4",-1.13872628420817,0.787976800499246,-4.18944639112848,4.11694526645171e-05,0.0297415990024968,1.84941743224862
"Pcdh7",-0.941779945661939,0.483842668894293,-4.1892139564831,4.12083702360854e-05,0.0297415990024968,1.84861009785101
"Rbm39",-1.31671104557921,1.39107857176795,-4.1706057807051,4.44406997258701e-05,0.0304707657670429,1.78409743380407
"Atat1",-0.650209121197219,0.224974020200271,-4.12282284341227,5.38874906172711e-05,0.035188531373078,1.61953368985759
"Hnrnpm",-0.813628974476139,0.365435841697163,-4.11092701262863,5.65214946081508e-05,0.0352308752527987,1.57881047330147
