"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arc",0.863036450250521,0.311323291729156,11.6725973183511,4.92875883800154e-30,8.0254980159179e-26,56.0425663236812
"Dusp6",0.482298437915386,0.182575495452144,8.17912998500096,6.63951531833571e-16,5.40556139642302e-12,25.1429232643612
"Cck",0.994641198398531,1.24457382124692,8.11571950604275,1.09373622026855e-15,5.93643562487761e-12,24.6705051767716
"Dusp1",0.345609003793123,0.0978142555494568,7.67026087795802,3.31030893386268e-14,1.34754400925215e-10,21.4456655738302
"AC149090.1",0.855646217750297,1.96208591312972,7.13643411506385,1.57373274317958e-12,5.12501805143862e-09,17.8003978162149
"Cx3cl1",0.782595248345126,1.17468963322023,6.90100111698702,7.98580277867553e-12,2.16721377741956e-08,16.269783807652
"Fos",0.336014155354413,0.124215694636982,6.64773712586268,4.34019215466184e-11,1.00959069791941e-07,14.6765021588412
"Gm42418",0.654021212559069,3.72358940181321,6.50708891103779,1.0843292970965e-10,2.2070167430778e-07,13.8156842606715
"Syngr3",0.495741272603291,0.368770850503583,6.23837426190581,5.93848330801733e-10,1.07440359671607e-06,12.2190277283413
"Atp6v0c",0.702801153579791,1.07856080169098,6.02306976576595,2.21414622940632e-09,3.60529430534231e-06,10.9854566051555
"Rhobtb2",0.568428974670337,0.595428025767194,5.87792027436365,5.25200182701048e-09,7.77439506811015e-06,10.176932300171
"Pcsk1",0.413161485133401,0.278766138192736,5.84899987694464,6.22419438565340e-09,8.44571309846619e-06,10.018068070418
"Col25a1",0.30218855654913,0.165018654683586,5.37414367810805,9.08408443795621e-08,0.000113781651464031,7.51623360765871
"Rmst",0.356830930810214,0.220294058002996,5.34815923729988,1.04575363726414e-07,0.000121628617682657,7.38515915027647
"Cnr1",0.445757189138407,0.388846781435349,5.27763729386071,1.52772301696898e-07,0.00016583942590204,7.03248466749795
"Rgs17",-0.503151542566624,0.544726867613821,-5.23715815587075,1.89516268873276e-07,0.000192868337878972,6.83207594913973
"Arhgap42",0.384990265019221,0.313196367016562,5.1567590883367,2.89493409773769e-07,0.000277283599490958,6.43841206242804
"Mical2",-0.596939568281258,1.2739690637564,-5.09953622266447,3.89974869165332e-07,0.000352775599701061,6.16178589666148
"Hsp90ab1",0.614377130748427,1.7044388208107,5.04287542292988,5.22261122510273e-07,0.000447577781991304,5.89079708486101
"Hmgcr",0.461539932271851,0.511120006909661,5.00998107656603,6.17942539199832e-07,0.000503097918289543,5.73480963484302
"Cdk5r1",0.514977392278076,0.732430177601305,4.99664438448157,6.61374863691919e-07,0.000512817471690263,5.67184562713051
"Hbb-bs",0.247284962312367,0.11845411680001,4.94315941022326,8.67049945707515e-07,0.000641735193907067,5.42095898481878
"Trib1",0.21115663863305,0.0905320725874512,4.92785098628546,9.36470037314115e-07,0.000662277699549752,5.34962863720269
"Bhlhe40",0.36710511578102,0.302020046207196,4.91958498963889,9.76150880623598e-07,0.000662277699549752,5.31120136303863
"Nr4a1",0.356237744593604,0.30076052478702,4.90908022221093,1.02892170672202e-06,0.000670157286022183,5.26245602378485
"Nptn",0.56001321960332,1.56843179700647,4.84951732705398,1.38421568014852e-06,0.000866891689225321,4.98796383751825
"Ptprd",-0.39590920848189,3.44432778020504,-4.81875229640722,1.61135340337219e-06,0.000971765461744793,4.84744967179252
"Slc39a10",0.557010053405147,1.07590868159142,4.80332375135996,1.73836791190054e-06,0.00101092302533844,4.77730696991593
"Stmn3",0.533082233047496,0.942649230136113,4.78477945186792,1.90380282221863e-06,0.00106895246048917,4.69328622017478
"Itm2b",0.567152138423481,1.38040500500045,4.73543405789298,2.42109671748383e-06,0.00131409059502631,4.47123902147069
"Clstn1",0.537887557614145,1.1718168913517,4.72601373911873,2.53414202549053e-06,0.00133107853551814,4.42910150829477
"Psmd8",0.249683656010363,0.145421171366606,4.70799845958902,2.76461105419556e-06,0.0013659436295933,4.34874397543791
"Dusp3",0.497662858986547,0.826299167309906,4.70772241167807,2.768294526597e-06,0.0013659436295933,4.3475149633999
"Cry2",0.512595532169113,0.951418965650995,4.69478164849379,2.94636207589448e-06,0.00141104746122911,4.28997860636105
"Idi1",0.203506025054986,0.0903849467708325,4.61882633671463,4.2350050827025e-06,0.00193432076029914,3.95535687342135
"H3f3b",-0.514277472496917,0.97033891721905,-4.61676578826278,4.27657970710367e-06,0.00193432076029914,3.94635262421772
"Tacc1",0.516258216541758,1.08557225901012,4.60094422842734,4.6091058848244e-06,0.00202838030061069,3.87734454481793
"Pcdh1",0.401060690277461,0.454730068861834,4.58053056396696,5.07491260700044e-06,0.00217460005209969,3.78864590556033
"Cltc",0.489615985240635,0.842374419818947,4.56063493427651,5.57211428175256e-06,0.00232642914999428,3.70256540317109
"Nudt4",0.420368477410694,0.492109481617702,4.51144897009836,7.00962460359568e-06,0.00281854751806299,3.49131417724276
"Adam33",0.465231137762885,0.552018408299488,4.50425806412553,7.24747030775802e-06,0.00281854751806299,3.46061546137174
"Gabra1",0.52629703609876,1.34006107332846,4.50358578272192,7.27009738737614e-06,0.00281854751806299,3.45774784757704
"Npas4",0.261143206586963,0.152044103749463,4.48512837260816,7.91841029243641e-06,0.00293192752671957,3.37917980578744
"Mkx",0.323585575590399,0.293062394318338,4.47882875378678,8.15208441509248e-06,0.00293192752671957,3.35243564394783
"Lcorl",0.457370926193512,0.627261352552508,4.47734553262411,8.20805418661889e-06,0.00293192752671957,3.34614413069419
"Grik1",-0.322840235462295,0.227637672503392,-4.47538002820458,8.28278979482285e-06,0.00293192752671957,3.33780998381919
"Cacna2d3",-0.534453953194226,1.25032521402516,-4.46040929725947,8.8737855746078e-06,0.00307429469173061,3.27444735186933
"Gnas",0.508423814819814,1.06214564780258,4.4362567593926,9.91314077843989e-06,0.00330797804542406,3.17265716351821
"Ndfip2",0.471401620601173,0.904751141298001,4.43534415335133,9.95461058931273e-06,0.00330797804542406,3.16882151630211
"Bdnf",0.301413173820406,0.229673939812641,4.42127281751241,1.06154092214343e-05,0.0034570141670523,3.10977710290067
"Tnnc1",0.13070897953214,0.0421716487306101,4.39994395174596,1.16975613338078e-05,0.00372108018025989,3.0206264689373
"Adra1b",0.139460009266156,0.048392956400502,4.39403889994745,1.20153174605545e-05,0.00372108018025989,2.99601838198365
"Fat3",0.467256585856882,0.725857685224388,4.39227451645743,1.21118497545768e-05,0.00372108018025989,2.98867189800176
"Zfyve26",0.284220959954277,0.212945870221761,4.38179468313838,1.27006687730565e-05,0.00382972203021627,2.94509529713593
"Tenm3",-0.387509773370254,0.456796670653889,-4.37569572134074,1.30558291563354e-05,0.00386523756641109,2.91978146266171
"Hgf",0.228490523042888,0.138770713383749,4.36768992373946,1.35364483472405e-05,0.0039359640792521,2.88660520943644
"Nlgn2",0.369969173334219,0.437918645950033,4.35632625850854,1.42477524986514e-05,0.00407010796378143,2.83961510376577
"Pcdh10",0.459514967792339,0.754647502437348,4.34345198986627,1.50967179676344e-05,0.00423827342529295,2.7865220417507
"Pde10a",0.477144276142701,0.943830353597496,4.33954654779545,1.5363657779864e-05,0.00424010914626314,2.7704462829238
