"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sst",1.51027639398314,1.83643406703517,7.86301528948506,9.19999481504234e-15,1.48837516117755e-10,22.5874855489392
"Adarb2",-0.556601348456418,0.168493451573393,-7.37867746378275,3.22572844418271e-13,2.6092917384994e-09,19.2414623843325
"Hbb-bs",0.507953704294609,0.187391867078893,7.2539088959979,7.81231555141898e-13,4.21292136636187e-09,18.4103753094654
"C1ql2",-0.276806825640931,0.0625219954511848,-6.99928373696514,4.56045057077998e-12,1.84447423335196e-08,16.7540410313846
"Ptk2b",-0.503688971519149,0.255936731869447,-6.48533547845805,1.35613267064255e-10,4.38790286913103e-07,13.57528190822
"Mgat4c",0.989847572434691,0.955283732670592,6.38959703781752,2.48778874257743e-10,6.70790771290294e-07,13.0077255137768
"Kbtbd11",-0.490962724086272,0.258607230410476,-6.18538357877698,8.83733757429423e-10,1.79398276011503e-06,11.8231749347446
"Prox1",-0.411499383957793,0.136031888125497,-6.18475805602123,8.87122146181247e-10,1.79398276011503e-06,11.8196012881185
"Spon1",0.522697768195621,0.289022813933302,6.02470689834967,2.33528998140968e-09,3.91246099621726e-06,10.9162532842004
"Rasl10a",-0.360857359729505,0.145416492806534,-6.01885506489754,2.41838360502983e-09,3.91246099621726e-06,10.8836421832357
"Sema5a",-0.472579573366019,0.21345772699989,-5.95218439587558,3.59418246682324e-09,5.28606217711513e-06,10.5141841318528
"Tanc1",-0.386312866125386,0.165039060264171,-5.88417937964994,5.36252519002064e-09,6.73856554902538e-06,10.1412862750222
"Cebpd",-0.20836687184699,0.0529994462168344,-5.88043074509194,5.48146398309593e-09,6.73856554902538e-06,10.120847386052
"Kcnj6",-0.60975780653997,0.51116247230699,-5.86984528151364,5.83137085463935e-09,6.73856554902538e-06,10.0631973569775
"Dab1",-0.734744241902488,0.805306468315548,-5.84028547643218,6.92770046748824e-09,7.44604446193919e-06,9.90272416835061
"Glis3",-0.249861485146976,0.0672353426157334,-5.82244082569919,7.68410724434755e-09,7.44604446193919e-06,9.80621639701431
"Npy",0.790323644706589,0.678608739394197,5.81932075621536,7.82437605717432e-09,7.44604446193919e-06,9.78937074467298
"Htr4",-0.218318221944949,0.0552159447114733,-5.74024271665976,1.23401523122756e-08,1.10910546726664e-05,9.36524027593119
"Hspa5",0.662532272308329,0.771448433865309,5.68106689062842,1.72910161366851e-08,1.47228452136469e-05,9.05141166750179
"Mkl2",-0.648598206482018,0.701492223023885,-5.57701809904489,3.10558659461004e-08,2.51210899638006e-05,8.50701209961185
"Baiap2",-0.572474650559963,0.441157909640725,-5.49641359392212,4.85616568646024e-08,3.74109754645494e-05,8.09178372701998
"Nrn1",-0.503441967732801,0.339022960324424,-5.4790978756905,5.34163289201103e-08,3.84900370121455e-05,8.00332594234977
"Neurod2",-0.369101405715689,0.172919615925993,-5.47470593528322,5.47206608529699e-08,3.84900370121455e-05,7.98093142227511
"Etl4",0.833034604641522,1.64977774234081,5.45471104423049,6.10599399623229e-08,4.11594878629358e-05,7.87919137816435
"Zfpm2",-0.490549084823992,0.318178572950963,-5.43202108279481,6.91179340359046e-08,4.47275974733146e-05,7.76416322909656
"Clstn3",0.646133917751773,0.86898627639531,5.41059670806087,7.76675440594457e-08,4.83271356843736e-05,7.6559662884463
"Ntm",0.751454412284485,1.44739165569051,5.38975666416558,8.69634073831186e-08,5.21071853571886e-05,7.55110756655958
"2010300C02Rik",-0.424309071359738,0.264634797626575,-5.37359655827557,9.49057051567896e-08,5.35252338383214e-05,7.47005945389952
"Pcdh20",-0.27544327966097,0.103178890647298,-5.37157566661665,9.59470751212339e-08,5.35252338383214e-05,7.45994020455755
"Idi1",0.267320530735656,0.099301929740502,5.35826749997113,1.03086715220875e-07,5.5591229294777e-05,7.39339178014127
"Orai2",-0.227072370004784,0.0742552106511737,-5.34341368244349,1.1166393089991e-07,5.82741636806046e-05,7.31929844135401
"Epha7",-0.482075727059463,0.372259355916972,-5.32367288580803,1.24139675342186e-07,6.27603646151837e-05,7.2211289352087
"Camk2a",-0.799398634692535,1.29647029906553,-5.27139615911372,1.6405507502044e-07,8.04267576872932e-05,6.96282102432843
"Lrrtm4",-0.571812012384267,0.561246074845905,-5.24925167642691,1.84484180705413e-07,8.77819139838876e-05,6.85412899945257
"Arpp21",-0.815566218573637,0.804754718922296,-5.16006256530779,2.94655762060457e-07,0.000136198311960402,6.4207518562078
"Nfib",-0.496156183712349,0.345755192858548,-5.13117400613092,3.42388505712698e-07,0.000151948487829558,6.28189050414387
"Arx",0.421414905258087,0.310394267922246,5.12830668629833,3.47514776220402e-07,0.000151948487829558,6.26814825868207
"Il1rap",-0.563238988145376,0.490751118193127,-5.11105309167534,3.79963708929356e-07,0.000161764549554188,6.18561069829635
"Ctsl",0.428875873234761,0.324913120646548,5.08972964800032,4.24126860556371e-07,0.000174781103112626,6.08396887893071
"Itga8",-0.226758964491329,0.0788827668848329,-5.08608973515849,4.32145143064968e-07,0.000174781103112626,6.06665895530229
"Pde1c",0.3000698183756,0.1219684302383,5.03760301259616,5.53971152378077e-07,0.000218588909833476,5.83719900447744
"Ldlr",0.27436310048745,0.109194183289864,5.00957124634637,6.38888491464483e-07,0.000246093762259819,5.70549438892671
"Slc17a7",-0.490222079345846,0.407686257966562,-4.98224626833737,7.33679353269831e-07,0.000276034059934868,5.57778380273344
"Resp18",0.427775801961936,0.324526989140593,4.96574215414406,7.97358917451514e-07,0.000290783106417968,5.50096960163355
"Vgf",0.528085829814002,0.517208269290349,4.96290512348054,8.08829261268917e-07,0.000290783106417968,5.48778981512924
"Lct",-0.155375971813503,0.0410278298324974,-4.94883952517857,8.68088581988222e-07,0.000305302979987075,5.42255226588961
"Slc38a2",0.605603210205109,0.784638147734494,4.94208798731845,8.9799965307901e-07,0.000309102944415154,5.39130067084916
"Zbtb20",-0.688876474676399,0.699546769745728,-4.92447121113893,9.80800481940018e-07,0.000330570629100534,5.30994740958675
"Gad2",0.589004081268246,0.752167017682693,4.87412821711487,1.26001042215102e-06,0.000414451097615542,5.07899341932278
"Slit3",-0.478710798649585,0.419320278440568,-4.8708061355623,1.28090956118044e-06,0.000414451097615542,5.06383263509931
"Btbd9",-0.396000354613121,0.292900829141067,-4.85904653485808,1.35760524077161e-06,0.000430653678141236,5.01024531564512
"Kctd4",-0.308201924425278,0.139282333883426,-4.83631294745215,1.51859888916792e-06,0.000472459477479972,4.90700122697368
"Fam19a2",-0.354868202085094,0.230601246438612,-4.8303473857578,1.56379949318719e-06,0.000477342418882685,4.87998533328533
"Hmgcr",0.432097298361886,0.364229164538361,4.80779763995529,1.74664533971313e-06,0.000519587203547287,4.77815333974258
"Kcnip1",0.608594779058306,0.803765265511074,4.80549552105758,1.76642948418227e-06,0.000519587203547287,4.76778285075138
