"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"H3f3b",-0.881571515111278,0.940500828342621,-5.46176085438058,6.33914080763704e-08,0.00080114949072836,7.55530168043658
"Rfx3",-0.564488027064019,0.293027663949571,-5.37425377629869,1.01584922427992e-07,0.00080114949072836,7.13831338805914
"Hbb-bs",0.44632975313844,0.20157581508547,4.81183799898599,1.79501219811441e-06,0.00943757580028617,4.60768382879175
"Tmem108",-0.657110170619176,0.556323592269215,-4.70302375665449,3.03031793484523e-06,0.0119493011965785,4.14823904195004
"Tanc1",-0.436607773538833,0.220492760920056,-4.64428980642677,4.00275017705055e-06,0.0126270757085237,3.90435308459368
"C1ql2",-0.26727433067107,0.0870093856562531,-4.56546506188092,5.78755827166478e-06,0.0152145261031614,3.58158059733084
"Glis3",-0.240348477705666,0.0703791583045103,-4.44527660675584,1.00477941292079e-05,0.0226405509714281,3.09947536704186
"Tob2",0.2970338285938,0.112178387893032,4.38650781074015,1.30976319745865e-05,0.0255847128160636,2.8681698827207
"Wipf3",-0.438795852575242,0.272792704738822,-4.33958639270649,1.61492169643177e-05,0.0255847128160636,2.68558889310849
"Cdh9",-0.431141172074755,0.231047466171996,-4.3198883023613,1.76231606646818e-05,0.0255847128160636,2.60949472925902
"Fos",0.224278655735874,0.0603197497120909,4.31709071784145,1.7842632408337e-05,0.0255847128160636,2.59871424591076
"Cdk2ap2",0.201403121367449,0.0473228210350361,4.29583186219496,1.95977340884788e-05,0.0257595883147981,2.51700997440834
"Zfpm2",-0.508743998397669,0.381726731805358,-4.18318265415961,3.20042770386448e-05,0.0388310355177342,2.09046577521154
"Xpr1",-0.505241247254315,0.435902220502663,-4.15436513841688,3.6216753519121e-05,0.0408033466612211,1.98308201942175
"Phactr2",0.192257936091321,0.048574619299686,4.12755489113694,4.06052285276482e-05,0.0426977513044396,1.88381334011904
"Ttr",0.237425139343692,0.0745480316296429,4.09276605701076,4.70567494355721e-05,0.0454245172185511,1.75591665862896
"Magi2",-0.722446500476896,1.16551708841836,-4.08337713297627,4.89581432013802e-05,0.0454245172185511,1.72157650484561
"Clstn3",0.658280086586676,0.924490364601835,4.05811911630425,5.44421030192463e-05,0.0462767627276692,1.62956864103203
"Rasl10a",-0.318241464354081,0.17090644468688,-4.04100081079719,5.84850446316509e-05,0.0462767627276692,1.56752147465428
"Grin2a",-0.775902416322825,1.24142014920911,-4.0402103297599,5.8678453975362e-05,0.0462767627276692,1.56466234281984
"Sqle",0.343519179482721,0.184966500752746,4.01081674326134,6.63167379479562e-05,0.0488689098239943,1.4587267070569
"Gad2",0.584137412209796,0.526695705809546,4.00419956681508,6.81617964957759e-05,0.0488689098239943,1.43498012611306
"Cyp51",0.501715072346974,0.425598866240984,3.98975197776311,7.23607200102405e-05,0.0496237233357184,1.38326343247551
