"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm42418",0.705311397627708,3.68537926477689,6.52594554317194,1.07054381181438e-10,1.72261204759052e-06,13.6204810930924
"Adarb2",-0.401054069522215,0.115330512957515,-5.84549165235032,6.82481918800477e-09,5.49090827770924e-05,9.80662732699399
"Atp6v0c",0.753789455441944,1.20538405050986,5.67544140675805,1.80977739248521e-08,9.70704267415983e-05,8.91433625278776
"Ttr",0.233877423724961,0.0652125802715472,5.08953690056066,4.28408226702114e-07,0.00172337919396593,6.02949485415748
"Hsp90ab1",0.684297291890332,1.68647471912763,4.95252042910303,8.59172128885086e-07,0.00276498774517798,5.39767745251119
"C1ql2",-0.15141808912851,0.0313071198198113,-4.8628014080187,1.34283520668518e-06,0.00360126021846187,4.99283118271919
"Hbb-bs",0.26653893437912,0.119286106892999,4.77525850791363,2.0617655635642e-06,0.0047394099547588,4.6045933275294
"H3f3b",-0.575563615329203,0.908278344891152,-4.64697184424835,3.81700622748754e-06,0.00767743090081275,4.04781446087032
"Chgb",0.584863473147103,1.00676243808059,4.47056022941165,8.69047502851856e-06,0.0155376037426547,3.30584788317355
"Stmn3",0.577209688931791,1.18467578771424,4.40061338666436,1.19494192530642e-05,0.017260860650461,3.01927846028653
"Gtf3c6",0.121870724509387,0.0240439411008147,4.39861192031494,1.20580200783182e-05,0.017260860650461,3.01114234940966
"Jph1",-0.318025239805068,0.18990628287655,-4.37503882198669,1.3410211747041e-05,0.017260860650461,2.91558334527161
"Hsp90b1",0.569616722009926,0.983860751331468,4.36633559820336,1.3945136315704e-05,0.017260860650461,2.88042745420396
"Cacnb2",-0.466876223916797,0.580017520812698,-4.3216683959299,1.70269777323583e-05,0.0195700784779555,2.70105678672813
"Dsp",-0.0927431576406362,0.0191755236473681,-4.2653097974722,2.18490420598095e-05,0.0234381957189596,2.47726742019168
"Rab3b",0.382162262483238,0.384797031041604,4.17547276659161,3.23205455816957e-05,0.0306730592510725,2.12638895960379
"Trim24",0.303505527977271,0.214630130798709,4.1748624965016,3.24058173679842e-05,0.0306730592510725,2.12403002153189
"Nell2",-0.505248431728416,0.656464988747215,-4.09220477562501,4.61593041894315e-05,0.0412638535395635,1.80759788628789
"Syp",0.505476629476477,0.979803763207001,4.06045271016342,5.27913706823217e-05,0.0433135779482152,1.68766749961776
"Mthfsl",0.217018091136888,0.110073415772266,4.05580109499216,5.3835781428395e-05,0.0433135779482152,1.67017369255013
"Nefh",0.342566779503307,0.319435297418261,4.04159638704851,5.71478133784799e-05,0.0437888316701486,1.61687247205669
"Ntng1",-0.368188807457674,0.303094925737663,-4.02290299286534,6.18017423454494e-05,0.0441286590300763,1.54700341170678
"Hacl1",0.100228970239572,0.0219461880142439,4.01150153775286,6.48143480160129e-05,0.0441286590300763,1.504542631907
"Degs1",0.302354181333277,0.216293936706592,4.00781215002308,6.58186450016674e-05,0.0441286590300763,1.49082772616502
"Aplp2",0.513319540114816,1.50162564503408,3.9626862577417,7.9358488766695e-05,0.0499846759747492,1.32406444573391
"Glis3",-0.120682809042554,0.0342603032199603,-3.95842318208638,8.07657432939829e-05,0.0499846759747492,1.30840461825341
