"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC149090.1",-1.89509689581168,1.72816727962189,-10.7697922747275,4.07948416048022e-25,6.507185184382e-21,42.8905091463105
"Mid1",-0.678856756910519,0.280038931276461,-7.1565594794663,2.11133533752339e-12,1.68389549844178e-08,16.7101537976603
"Fos",-0.550434710267874,0.196582270506964,-6.27992378992188,5.97622806567621e-10,3.17756046252004e-06,11.6818377701833
"Coro6",-0.557412105271143,0.272493175924983,-5.42710213542288,7.92492869342861e-08,0.000316026343972199,7.3502006502971
"Junb",-0.524574146441187,0.254634122960937,-5.15364065329158,3.33512816790512e-07,0.00102148139086157,6.08266655355504
"mt-Nd4l",0.353211916598394,0.127346596895191,5.10736486312483,4.22641701262631e-07,0.00102148139086157,5.87412309410936
"Gm47283",-0.461389874854207,0.237605847018952,-5.09580571209851,4.48270938250328e-07,0.00102148139086157,5.82230173637465
"Egr1",-0.672740597803213,0.574893639782145,-4.83726309255792,1.62303298182299e-06,0.00323612488663232,4.69160034632143
"mt-Co3",0.374178862624242,0.181566291104463,4.74999350559165,2.47321587640702e-06,0.00438336293828538,4.32227249413533
"Plk2",-0.59149775173813,0.476435339293897,-4.62392879843033,4.49193383634357e-06,0.00708946659651826,3.79983234233591
"Adcy8",-0.425403432141169,0.245560213240782,-4.60579501090417,4.88898078877192e-06,0.00708946659651826,3.72576189005428
"mt-Atp8",0.28584130500193,0.107377016682095,4.5167212586443,7.38063840353057e-06,0.009810713597893,3.36588284260574
"mt-Co1",0.493837837660008,0.352808705499862,4.48160876674412,8.66516569703507e-06,0.010570037283106,3.22583078958653
"mt-Co2",0.347062640212676,0.168363964156797,4.46660146076773,9.27719402943285e-06,0.010570037283106,3.16628459356695
"Dicer1",-0.581663234570361,0.617687950344547,-4.26935024014406,2.23360969174605e-05,0.0237522054620275,2.40110874049327
"mt-Nd2",0.204764277751668,0.0618160550680759,4.19656266980896,3.06239578324756e-05,0.0305301719616136,2.12698981224033
"Tenm2",-0.50360184439463,0.455195334918947,-4.16994074806961,3.43306278101211e-05,0.0322122261293672,2.02784493845408
"Epha5",-0.785654411387166,1.33453188780593,-4.1469647239901,3.7869379724073e-05,0.033558581998816,1.94275834563807
"Cct4",-0.33615572000508,0.193617413590019,-4.10963198596829,4.43696266483156e-05,0.0372494691930148,1.80545487400469
"Malat1",0.299996006277044,6.29408982598555,4.03638168385742,6.03279240605103e-05,0.04811453583446,1.53947648213838
