,SYMBOL,L2_3_IT_F_P30_CORT_1,L5_F_P30_CORT_1,L6_F_P30_CORT_1,Pvalb_F_P30_CORT_1,Vip_F_P30_CORT_1,Sst_F_P30_CORT_1,Sncg_F_P30_CORT_1,Lamp5_F_P30_CORT_1,L6_F_P60_CORT_1,Sncg_F_P60_CORT_1,Pvalb_F_P150_CORT_1,Vip_F_P150_CORT_1
0,Plp1,0.025370006,0.056776806,0.748861645,0.064606759,0.151472518,0.480059687,0.999509025,0.273993824,0.032678529,1,1,1
1,Tenm1,0.025370006,0.810916193,0.989443438,0.581093005,0.988393786,0.351713643,0.829471243,0.175424454,0.996075593,0.720546166,0.999322251,0.996524853
2,Atp2b2,0.030781212,0.065425015,0.401205001,0.00101058,0.939989505,0.175742804,0.888099252,0.03273034,0.996075593,0.887573582,0.999322251,0.996524853
3,Atp2b1,0.026173615,0.069369972,0.114454756,0.004198525,0.899878911,0.204200701,0.706632677,0.140869075,0.056092571,0.679083972,0.999322251,0.996524853
4,Syne1,0.032497167,0.062369951,0.332976257,0.021300193,0.926545103,0.188004421,0.919690309,0.076370075,0.996075593,0.954315795,0.999322251,0.996524853
5,Gm42418,0.035026252,0.095820555,0.180217205,4.54E-05,0.096722252,0.021682652,0.62853724,0.007725525,0.931091199,0.96051683,0.999322251,0.996524853
6,Arid5b,0.025370006,0.17517515,1,0.33978174,1,1,1,0.916971284,1,1,1,1
7,Slc24a2,0.250784883,0.056776806,0.0032521,0.006667819,0.219920486,0.353926639,0.758321655,0.681834986,0.996075593,0.973224797,0.999322251,0.996524853
8,Ndrg4,0.1344764,0.056776806,0.673933095,6.34E-06,0.899878911,0.175742804,0.7661537,0.024347327,0.996075593,0.990094499,0.999322251,0.996524853
9,Cadps,0.182578693,0.057515557,0.634807036,0.016030618,0.460046503,0.353926639,0.480314285,0.144700802,0.996075593,0.679083972,0.999322251,0.996524853
10,Mical2,0.048769213,0.057515557,0.490661648,0.794774812,0.963087892,0.439130464,1,0.275430827,0.996075593,1,0.999322251,1
11,Kalrn,0.040063895,0.057515557,0.464396816,0.6202737,0.939540726,0.204200701,0.903642581,0.803197626,0.057045459,0.984481672,0.999322251,0.996524853
12,Aph1a,1,0.034154611,1,0.365740339,1,1,1,1,1,0.96051683,1,1
13,Pcdh9,0.133301589,0.07437669,1.32E-06,0.15840969,0.119703679,0.189395976,0.98706865,0.29366004,0.316700555,0.720546166,0.999322251,0.996524853
14,Rsrp1,0.049072679,0.057515557,4.68E-06,0.000668063,0.037868973,0.175742804,0.866230678,0.059747377,0.052946608,0.943447856,0.999322251,0.996524853
15,Xist,0.11155726,0.143900556,2.32E-05,0.049240369,0.170571674,0.188004421,0.892141754,0.019983699,0.075836,0.989833551,0.999322251,0.996524853
