,SYMBOL,L2_3_IT_M_P30_CORT_1,L4_M_P30_CORT_1,Vip_M_P30_CORT_1,Lamp5_M_P30_CORT_1,Astro_M_P30_CORT_1,L2_3_IT_M_P60_CORT_1,L4_M_P60_CORT_1,L6_M_P60_CORT_1,Sst_M_P60_CORT_1,Sncg_M_P60_CORT_1,Astro_M_P60_CORT_1,L2_3_IT_M_P120_CORT_1,L4_M_P120_CORT_1,L5_M_P120_CORT_1,L6_M_P120_CORT_1,Pvalb_M_P120_CORT_1,Vip_M_P120_CORT_1,Sst_M_P120_CORT_1,Sncg_M_P120_CORT_1,Lamp5_M_P120_CORT_1,Peri_M_P120_CORT_1,Astro_M_P120_CORT_1
0,Cst3,0.004174498,0.235305745,0.059200981,0.033663448,0.298310049,-0.104927993,-0.186101229,-0.077803515,-0.118909171,-0.122554516,-0.425657805,0,0,0,0,0,0,0.506949828,0.376373968,0,0,1.209366561
1,AC149090.1,0.976753043,0.922916628,1.069087193,0.868933375,0.422187379,-0.695488667,-0.6092951,-0.524024856,-0.494250322,-0.000454655,-0.073096858,0.764484827,0.717257308,0.738364694,0.606916045,0.547844749,0.662582991,0.736343435,0.96120524,0.716692903,0.583401594,0.763766213
2,Hnrnpa2b1,-0.047398134,0.031899877,-0.090365501,-0.090679439,-0.186930945,-0.068104942,0.000282788,-0.007467083,-0.073777147,-0.121045108,0.018334884,0.750573087,0.631176274,0.758611757,0.566990218,0.654084035,0.710206637,0.747413308,0.647472435,0.672376757,0.443543715,0.665195857
3,Lsamp,-0.127909861,-0.08093777,0.223464519,0.139790285,-0.194393141,-0.212666214,-0.328079611,-0.125480663,-0.268445953,0.357565597,-0.231100384,0.175636806,0.233241777,0.258376665,0.171334944,-0.056220133,0.200036993,0.143937041,0.170723354,0.204903931,-0.208798628,0.617135527
4,Calm1,-0.199290459,-0.134396886,-0.043992161,-0.350088268,0.082881769,-0.351081652,-0.261833222,-0.235964349,-0.008963869,0.004624677,0.354735891,0.727852258,0.325711384,0.673409163,0.601938542,0.56800959,0.760808391,0.63545138,0.82039415,0.710385189,0.67933739,0.578933244
5,Pnisr,-0.05628891,-0.047549199,0.163000087,-0.049549317,-0.140231484,-0.130767243,-0.001785913,-0.180439298,0.066485168,0.268794025,-0.098383709,0.099903895,0.012128174,0.054717522,-0.072667062,0.021693763,0.102326519,0.111171155,0.1279306,0.107949532,-0.53643954,0.54319164
6,Cd81,-0.087225816,0.029788762,-0.080132701,-0.03437689,-0.125531516,-0.016989912,-0.085869554,0.04846636,-0.13221988,-0.129588197,-0.030119265,0,0,0,0.194720238,0.357986544,0.236255609,0.364026977,0.252949126,0.257531751,0.596723672,0.478973943
7,Luc7l3,-0.03133965,0.019341237,0.09225847,-0.016868348,0.015671649,-0.108712173,-0.105332497,0.025737601,-0.028737023,0.48705473,-0.000923527,0.361393595,0.286379483,0.324947947,0.314118076,0.165642348,0.298551382,0.308864785,0.396042796,0.2609309,0.080599998,0.477178828
8,Rpl9-ps6,-0.032608221,0.044618486,-0.025671803,-0.030732592,0,0.107155959,-0.019735773,0.133701346,0.051969359,0.132281631,0,0.256684743,0.132808885,0.301112028,0.260364882,0.151924791,0.239828829,0.126859506,0.25272114,0.234626005,0.379420797,0.460514595
9,Oaz1,0.018638552,0.070436475,-0.111165916,-0.153097445,-0.028910146,-0.124725711,-0.052210686,-0.012579288,-0.129775083,0.048161866,0.01818801,0.60602108,0.595305996,0.441631021,0.373102251,0.564840148,0.445793357,0.638082384,0.785418996,0.560664829,0.640710115,0.434968295
11,Luzp2,0,0,0,0.003387427,-0.341724579,0,0,0,-0.2950181,-0.033889048,-0.724754877,0,0,0,0,0,0,0,0,0,0,0.135271202
12,Kalrn,0.081371522,-0.113302259,0.314225217,-0.065572797,0.208729353,-0.171826859,-0.201566435,-0.292874173,0.351468247,0.577273488,0.549434897,-0.225280074,-0.309929901,-0.285922065,-0.314131523,-0.100835054,0.110334435,-0.248448754,-0.060425231,-0.047268917,-0.497463024,0.013995836
13,Atp1a1,0.049228727,-0.090374838,-0.076837916,0.058701741,0,-0.564363538,-0.255293263,0.081215041,0.039327143,0.15445382,0.50466575,-0.187242601,-0.153001074,-0.049951289,-0.201672542,0,0.024883796,-0.107245215,0.005258323,-0.033084287,-0.033842842,0
14,Camk2n1,-0.149954382,-0.198139129,0.018555378,0.074668973,0.189507635,-0.354277453,-0.119750296,0.150546874,-0.011799353,0.331406953,0.498056384,0.010876662,-0.259258759,0.036860718,0.055074624,0,0,0,0,0,0,0
15,Edil3,-0.057932519,0.190966492,-0.083491165,-0.000563271,0,-0.06658233,0.0211119,0.759499683,-0.076712255,0.048125204,0.451204014,0.048862185,0.003898405,0.134663862,0,0.007287069,0,0.076886495,0.06531292,0.033638555,0.012826791,0
16,Egfr,0,0,0,-0.122298316,-0.129962523,0,0,0,0,0,-0.383630837,0,0,0,0,0,0,0,0,0,0,0
17,Tjp1,0.06527277,-0.064257719,-0.001447387,0.052675446,0.003644458,-0.014556589,0.038400889,0.155798287,0.031080387,0.162842178,0.33236061,0,0,0,0,0,0,0,0,0,0,0
18,Syt1,0.009005373,-0.03793419,0.256092005,-0.104176288,0.152224936,-0.292140654,-0.203437591,-0.14913689,-0.281240261,0.214222223,0.591838829,0.972272578,0.74357625,0.936536016,0.47016849,0.567300806,0.888309464,0.600382604,0.836661292,0.913337078,0.468227023,0.406081783
19,Actg1,-0.080827928,0.054934468,0.009061029,-0.130043188,-0.044792185,-0.176282935,-0.021325391,0.214766427,0.019888537,0.250862794,0.044669338,0.661680243,0.271937974,0.530354123,0.344633845,0.561002417,0.607276154,0.573835879,0.717729495,0.603291889,0.651046953,0.285966505
20,Snrnp70,-0.020653581,-0.066199454,0.079380449,0.009621646,-0.07154862,-0.126998659,-0.081703863,-0.306535929,-0.137303929,0.196730667,-0.117586577,0.657151049,0.31458979,0.500507976,0.466068105,0.402182105,0.477771855,0.555513466,0.824960847,0.437011278,0.47067899,0.322336265
21,Map1b,-0.089449972,-0.074012407,0.235424235,0.048806911,0.223108623,-0.170606424,-0.30422837,-0.180688374,-0.005818208,0.286750383,0.301531447,0.640441655,0.382632424,0.585315721,0.322530197,0.262511994,0.504062551,0.488884182,0.464206579,0.451751172,0.338813194,0.240855898
22,Atp6v0c,-0.125826152,0.02420429,-0.041489662,-0.171758416,0.023880458,-0.436193987,-0.508928153,-0.054963372,-0.413178251,-0.084249841,0.031933442,0.627232268,0.340423112,0.455193721,0.404215314,0.495983862,0.501710405,0.567140602,0.422689676,0.577236359,0.643711849,0.164323935
23,Lrp1b,0.13131306,0.28768714,0.146753029,-0.003472049,-0.061326264,0.06212889,-0.002747553,-0.205898834,0.133120526,-0.054626064,0.123801383,0.589393673,0.389228192,0.518694924,0.19109612,0.304373621,0.521378154,0.268636746,0.404083499,0.380967352,0.629221792,0.487874113
24,Arc,0.817536352,1.099068805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mid1,0.755319606,0.660741264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cck,0.047817744,0.055126796,-0.04738752,-0.118257539,0.088179979,-0.737909222,-0.677026286,0.028268929,0.027995683,-0.203997036,0,0,0,0,0,0,0,0,0.457353316,0,0,0
