,SYMBOL,L2_3_IT_M_P30_CORT_1,L4_M_P30_CORT_1,Vip_M_P30_CORT_1,Lamp5_M_P30_CORT_1,Astro_M_P30_CORT_1,L2_3_IT_M_P60_CORT_1,L4_M_P60_CORT_1,L6_M_P60_CORT_1,Sst_M_P60_CORT_1,Sncg_M_P60_CORT_1,Astro_M_P60_CORT_1,L2_3_IT_M_P120_CORT_1,L4_M_P120_CORT_1,L5_M_P120_CORT_1,L6_M_P120_CORT_1,Pvalb_M_P120_CORT_1,Vip_M_P120_CORT_1,Sst_M_P120_CORT_1,Sncg_M_P120_CORT_1,Lamp5_M_P120_CORT_1,Peri_M_P120_CORT_1,Astro_M_P120_CORT_1
0,Cst3,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.62905799,0.796077596,0.99979478,0.997575552,0.94057476,0.35903439,1,1,1,1,1,1,0.000128415,0.098084086,1,1,1.11E-05
1,AC149090.1,0.001715802,0.001811001,1.38E-05,4.76E-05,0.998168778,3.00E-05,0.015408952,0.99979478,0.181589036,0.999351362,0.877848574,0.002818885,0.213207478,0.080886172,0.495222587,0.102125565,0.00013377,0.000122039,3.72E-06,1.34E-05,0.327447568,0.000944978
2,Hnrnpa2b1,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.80619273,0.999692369,0.99979478,0.999605559,0.94057476,0.972664223,9.23E-05,0.173886592,0.007460108,0.22112101,0.001638177,1.60E-07,4.12E-06,0.003741421,2.26E-06,0.449821181,0.001673776
3,Lsamp,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.522460783,0.713341315,0.99979478,0.844829395,0.873208044,0.502241649,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.681862588,0.986042127,0.7246238,0.704691433,0.86627615,0.056037108
4,Calm1,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.130541985,0.820025304,0.99979478,0.999605559,0.999274178,0.244103568,0.001762766,0.999086279,0.080886172,0.22112101,0.008726077,2.30E-08,0.000190914,0.000100415,3.69E-07,0.098129382,0.01082698
5,Pnisr,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.648952929,0.997835604,0.99979478,0.999605559,0.927772078,0.812764679,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.823756549,0.993735442,0.782413509,0.870545874,0.449821181,0.052266699
6,Cd81,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.9363123,0.993993646,0.99979478,0.995597817,0.94057476,0.955933703,1,1,1,0.999386881,0.204881737,0.187021564,0.034212234,0.364187995,0.089098848,0.098129382,0.075023938
7,Luc7l3,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.69865859,0.993993646,0.99979478,0.999605559,0.509452868,0.998081939,0.448389132,0.999086279,0.999910655,0.999386881,0.995005219,0.164724258,0.303123565,0.14569037,0.306615289,0.972845061,0.05169115
8,Rpl9-ps6,0.999984574,0.999976766,0.999871619,0.999903355,1,0.662560715,0.997835604,0.99979478,0.999605559,0.94057476,1,0.812882671,0.999086279,0.999910655,0.999386881,0.995005219,0.263884167,0.937597678,0.443120129,0.328184618,0.42802995,0.026743994
9,Oaz1,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.647131274,0.997835604,0.99979478,0.999605559,0.983857175,0.969232137,9.02E-05,0.068713891,0.227173452,0.846677707,0.000308796,0.00011736,4.16E-07,3.72E-06,3.69E-07,0.03559731,0.020559886
