"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mid1",-0.818603936413818,0.276144815695799,-10.7878292573857,1.76838328282408e-25,2.89908755386179e-21,45.3415672374061
"AC149090.1",-0.931347508768425,1.8609957462821,-6.94384811490459,7.7117879273985e-12,6.32135256408855e-08,16.1104845396723
"mt-Co1",0.566827342615906,0.325952873948425,6.78126084048533,2.2646069664631e-11,1.2375322202732e-07,15.1132295328529
"Adgrl2",-0.739719413499198,0.676944504202471,-6.4565522478324,1.82320049809735e-10,7.47238724145198e-07,13.1846880048349
"mt-Atp8",0.249617259216131,0.0701777802088591,6.3960395806084,2.66328060412177e-10,8.73236444479445e-07,12.8346686792385
"Gm47283",-0.408784246643189,0.207475047895979,-6.12420872088901,1.40670967954246e-09,3.8435997477365e-06,11.2990928397727
"mt-Co2",0.289658349682064,0.10661996078994,6.01774068949524,2.65389554358949e-09,6.2154233630866e-06,10.7141550203065
"mt-Nd4l",0.274223706290064,0.104675636772909,5.51200601670347,4.74003315883715e-08,9.71351295074704e-05,8.06420367367488
"mt-Nd2",0.205267252267745,0.0610346390392777,5.41789947535685,7.90945037774886e-08,0.000144075032769794,7.59478702353403
"Cacnb2",-0.457868673725021,0.508206576703515,-4.55115038711534,6.13407384140161e-06,0.00989394611887919,3.62778263483806
"Pls3",0.251977778486457,0.139180555552789,4.53407662074641,6.63861213295542e-06,0.00989394611887919,3.55617747447395
"Pgp",0.331482755187411,0.250774554565318,4.40995579279402,1.17016624247494e-05,0.0159864211492785,3.04331746892976
"Taf9",0.174314579200034,0.0732763974908455,4.31650496270826,1.7768736182483e-05,0.0224077431519713,2.66612558768716
"Auts2",-0.534855977303677,1.29107521384659,-4.25305855322261,2.34904645499e-05,0.0275073339879329,2.41443073938211
"Lrrc3b",0.126027085261279,0.0446827677908623,4.15597546013685,3.57583348322755e-05,0.0390814760826884,2.03619166818328
"Kcnq1ot1",-0.494859455197266,2.99927744111119,-4.06582936733324,5.24258797401163e-05,0.0537168670287167,1.6924654949877
"Napa",0.385520503350273,0.476022412292846,4.02889117964836,6.11958888712635e-05,0.0590144354209114,1.55370754037664
"Malat1",0.190325943160372,6.22946218269062,3.96596586923242,7.94213108808214e-05,0.0723351650322326,1.32012840760235
"Tmem191c",0.474180389683631,1.09484312627698,3.94636134500794,8.60784643599684e-05,0.0737342012119654,1.24807789471995
"mt-Cytb",0.208373890268201,0.120072567247905,3.9356032412745,8.99526670879168e-05,0.0737342012119654,1.20868554909773
"Ryr2",-0.537169384688726,1.13332097720973,-3.92022892754821,9.57765928830129e-05,0.074769593510672,1.15256972250011
"Galnt14",-0.144748318805738,0.0553893789935152,-3.88910637972168,0.000108675313848611,0.0793119122948561,1.03961993855847
"Pqlc2",0.156116006340344,0.0778700245103179,3.88326861270649,0.000111270829741472,0.0793119122948561,1.01853001538038
"mt-Co3",0.237421329827899,0.157413500285732,3.86729799771806,0.000118674109142372,0.0810643060533352,0.960989265321089
"Ctnna2",-0.435409313952318,0.751907869742831,-3.85639336747552,0.000123993750856868,0.0813101420618995,0.921831962748182
"Creb5",-0.343419139180831,0.288677313506954,-3.81509769186965,0.000146250866628865,0.0889092912363301,0.774509083722992
"Hs6st2",-0.193990218694542,0.114707208665743,-3.81479242756297,0.000146428624093016,0.0889092912363301,0.773425738582548
"Mrps6",-0.223253637862661,0.161351541389766,-3.70707928407991,0.000223614100720478,0.126552663875909,0.396385246004504
"Ppia",0.442263037407927,0.926458035704725,3.70679151975413,0.000223864051018749,0.126552663875909,0.395391910043019
"Pcp4l1",0.303008303054365,0.323894193104168,3.67260380192662,0.000255502532165305,0.139623617077267,0.277909114200396
"Taldo1",0.197417113915031,0.112557158007237,3.64864501410924,0.00028012835913842,0.146428560389926,0.196203908215788
"Slit3",-0.284196062447504,0.277878253535351,-3.64164763734771,0.00028773059531468,0.146428560389926,0.172438704546594
"Psma2",0.221140576767602,0.161203689759958,3.63370909083312,0.000296589666515111,0.146428560389926,0.145530408273777
"Chic2",-0.324746490434501,0.423572566457369,-3.62751203738932,0.000303682509043399,0.146428560389926,0.124564495332368
"Mbnl2",-0.450781445247749,1.13612659727941,-3.60232259026713,0.00033418360163801,0.156531599007244,0.039699678444995
"Eif2s3y",0.41844925106287,1.07129686239369,3.58577129323819,0.000355763848052615,0.15881158438895,-0.0157511959171242
"Sept1",0.293648684344477,0.331096509211063,3.57905823567848,0.00036488327847449,0.15881158438895,-0.0381711301681005
"Gm26917",-0.499152667037342,1.93772622567475,-3.57671858125467,0.000368112736780536,0.15881158438895,-0.0459754355436921
"Igsf9b",-0.437048691662025,0.816982332731932,-3.53712857252203,0.00042698519986507,0.177484668100604,-0.177285229006347
"Cox4i1",0.3939761055605,0.737610009786507,3.52959569273503,0.000439140182716854,0.177484668100604,-0.202109548636022
"Wdr33",0.360588507124817,0.650289554385084,3.52671459269028,0.000443874063201462,0.177484668100604,-0.211590550101963
"Chrnb2",0.199834583629293,0.135284915699426,3.50726702397405,0.000477097626825651,0.181166683881962,-0.275391558348787
"Iqcj",-0.100581917593064,0.0372473367542646,-3.5066172878954,0.000478246737825416,0.181166683881962,-0.277517224605629
"Tox",-0.198273791005453,0.113328427884978,-3.4942155745499,0.000500682129611159,0.181166683881962,-0.318017295805011
"Arc",-0.248094109156441,0.152172622571385,-3.49385127125097,0.000501355803494491,0.181166683881962,-0.31920489224446
"Gria4",0.463841117142297,1.50885166062038,3.49010303148493,0.000508336431534114,0.181166683881962,-0.331416850463865
"Trpc1",-0.351416848245633,0.614646743918603,-3.46317444121441,0.000561220212292462,0.191916270293438,-0.418777907382699
"4930481A15Rik",0.103239846257759,0.0382374785765415,3.46151275248185,0.0005646461065648,0.191916270293438,-0.424147219937431
"Fam177a",0.158928476800232,0.0914982122323793,3.4478388228418,0.00059358754226158,0.191916270293438,-0.468236028538338
"Plppr5",0.284594590727744,0.338210191137693,3.44712185348615,0.000595142561340004,0.191916270293438,-0.470543079615781
"Atp6v0c",0.444900987669776,1.02495227995591,3.44317999529685,0.000603760042459407,0.191916270293438,-0.483218804811851
"Calm2",0.397360849313886,0.850943958508598,3.44083420745825,0.000608943350919737,0.191916270293438,-0.490755411681317
"mt-Nd1",0.143328302074836,0.0730937002985102,3.43110045994492,0.000630897659761661,0.191916270293438,-0.521974995040402
"Enah",-0.425209693408414,1.14639952868699,-3.42463782728371,0.000645879122174099,0.191916270293438,-0.542655541542164
"Epb41",-0.42457359147597,0.999957008889347,-3.4209653869085,0.000654539488922894,0.191916270293438,-0.554390558296099
"Hnrnph2",0.309705962804603,0.428553530971933,3.41893368295053,0.000659377022833317,0.191916270293438,-0.560877470164392
"Pi4k2a",-0.229440913619679,0.199977295187207,-3.41564827543098,0.000667270184624006,0.191916270293438,-0.571359345460642
"Arpc4",0.230887629763065,0.20190170188468,3.40194090764059,0.000701161097985098,0.198186811040822,-0.614986237364367
"H3f3b",0.369546685470794,0.67852905806052,3.37761280119962,0.000765287198813181,0.212646073514293,-0.691996611431609
"Hnrnpl",-0.396440090275972,1.12637545047051,-3.3615757810654,0.00081049812605203,0.221142320606421,-0.742468033325698
"Mid1ip1",0.155615535155974,0.0979143002978079,3.35252059971929,0.000837110607225549,0.221142320606421,-0.770863239663192
"4930447C04Rik",-0.296531971005097,0.30927464288089,-3.34952743954252,0.000846084333504492,0.221142320606421,-0.78023281376877
"Hnrnpa1",0.271418886700079,0.313251155510141,3.34828976126894,0.000849821044174974,0.221142320606421,-0.784104776289317
"Aldoa",0.385288421417639,0.89286280379894,3.34274065664199,0.000866763752098267,0.222026952373422,-0.801447543369774
"Wdr46",0.105175508868193,0.047718504827793,3.32550061060485,0.000921424234797497,0.229930015414082,-0.85514994161348
"Camk2d",-0.444298627309121,1.05294382604447,-3.32412249295517,0.000925928950633364,0.229930015414082,-0.859431098421184
"Nfic",-0.242912531573647,0.261644561645863,-3.31995020843107,0.000939692023468556,0.229930015414082,-0.872381885521433
"Fbxo28",-0.2704630140805,0.298168778731968,-3.31009566308203,0.000972956403944429,0.234568342445073,-0.90290763817492
"Rgma",0.117718433500627,0.0431989579876874,3.30467079473874,0.000991731225162776,0.235629589932153,-0.919674222043759
"A830018L16Rik",0.361343402619748,0.584314244215896,3.29345303780769,0.00103162507948056,0.24012490043597,-0.954259983131813
"Ramp1",0.155877323688485,0.0816232311238773,3.29116418179488,0.00103994558563827,0.24012490043597,-0.961302763762201
"Rnf7",0.227347091804804,0.212764955304308,3.28430533445004,0.00106525303902846,0.242002402361387,-0.982378826254418
"Rtl8a",0.179813762748031,0.134172216932771,3.28101367745742,0.00107760005931324,0.242002402361387,-0.99247833339124
"Gpr162",0.355904679910259,0.746474248799615,3.27182045861346,0.0011127897554343,0.24501387083804,-1.02063290229755
"3110002H16Rik",-0.220576235319535,0.220137878005241,-3.26670019650647,0.00113284762086979,0.24501387083804,-1.0362805613549
"Gm17203",-0.118211699366612,0.0483901271071655,-3.26594209058991,0.00113584568645182,0.24501387083804,-1.03859532649186
"C2cd5",-0.386770102017029,1.11933580917316,-3.25765418939946,0.00116910438835789,0.245731100337218,-1.06386711136358
"mt-Nd5",0.0948334820330841,0.0346830665593082,3.257643262952,0.00116914882434445,0.245731100337218,-1.06390038745275
"Nfatc2",-0.156549005761636,0.0938251418612846,-3.24983598554757,0.00120130243527589,0.249293064859657,-1.08764938793832
"Tnrc6b",-0.392031316520799,1.19817728277707,-3.24232336608377,0.00123301335715408,0.249728224393991,-1.11044969379339
"Tpt1",0.271505505809577,0.360292164116803,3.24212403126053,0.00123386520531373,0.249728224393991,-1.11105396224669
"Ptma",0.321896219403889,0.447058313489042,3.23346816937009,0.00127138509239186,0.250201251279724,-1.13725866491435
"Gapdh",0.410483422542196,1.63699406924059,3.22457848591992,0.00131101457700306,0.250201251279724,-1.1641002322155
"Borcs7",0.217862700113868,0.218126854879279,3.22301663272714,0.00131809403162271,0.250201251279724,-1.16880866942786
"Uqcrfs1",0.265138337165706,0.338030148993938,3.21618670137898,0.00134946936587897,0.250201251279724,-1.18937240675632
"Mllt10",-0.299799534251845,0.46060658256165,-3.21428465451035,0.00135832905928202,0.250201251279724,-1.19509157584633
"Ybx1",0.296505559440722,0.447086469870487,3.21285624740531,0.00136501785607901,0.250201251279724,-1.19938441466505
"Adck5",0.21576999762024,0.215418967104917,3.21225438525322,0.00136784529702084,0.250201251279724,-1.20119265422126
"Gtpbp6",0.268904172633293,0.355512648540773,3.21081919031628,0.00137460943903668,0.250201251279724,-1.20550323397064
"Osbpl3",-0.406847816278028,1.04514146301427,-3.20986251724407,0.00137913543738324,0.250201251279724,-1.20837554045341
"Nmt2",-0.339753170472158,0.690981505854415,-3.2078251853734,0.00138881992597626,0.250201251279724,-1.21448962855433
"Rps4x",0.25148425803375,0.272652422294908,3.20087913289195,0.00142231231604319,0.251226705004175,-1.23530649477977
"Emc4",0.273161953549898,0.359227014681538,3.20029540423758,0.00142516064202686,0.251226705004175,-1.23705388906565
"Vps13a",-0.370045367816166,0.75057977439497,-3.19252767794882,0.00146356840452229,0.255252557699345,-1.26027705402549
"Rc3h2",-0.352701585083767,0.772136660415805,-3.18112215902934,0.0015216975384604,0.262074714838117,-1.29427647049635
"Wdr18",0.235753759975097,0.272917274442335,3.17746588069434,0.00154077832654771,0.262074714838117,-1.30515059620504
"Mettl21a",0.147783271167824,0.0992904060359011,3.17082460671465,0.00157600241632344,0.262074714838117,-1.32487121148087
"Larp6",0.13480425293273,0.0770344591703194,3.16583385520717,0.00160295961735613,0.262074714838117,-1.33966429359082
"Ggt7",0.364654226315801,0.890953840853606,3.16289878288426,0.00161901112680204,0.262074714838117,-1.3483535314611
"Ift22",0.180916259253715,0.147826373190854,3.16250486809021,0.00162117663730319,0.262074714838117,-1.34951911235525
"Ppm1l",-0.314656346191415,0.546476523454422,-3.16228375027696,0.00162239338223899,0.262074714838117,-1.35017333066102
"Klhl33",0.199810718336546,0.172558657565941,3.16080115444294,0.00163057343622593,0.262074714838117,-1.35455871515555
"Rbm3",0.323344798010814,0.627906055679356,3.15789691075847,0.00164670757429128,0.262098290999333,-1.36314339526316
"Arl3",0.215213452113059,0.220642613933347,3.15185177984283,0.00168076349046961,0.263412462138694,-1.38098757796238
"Eif3m",0.224091899070426,0.24830302276017,3.14796545004688,0.00170299909915456,0.263412462138694,-1.39244174717334
"Trib1",-0.137748075764427,0.0677695481818769,-3.14543486547875,0.00171762319752627,0.263412462138694,-1.39989272449993
"Gm13031",-0.0865555138924883,0.0316007863331192,-3.14515722549777,0.00171923468639992,0.263412462138694,-1.40070984364536
"Zfp324",0.17089294407009,0.135018216569117,3.12966452901688,0.0018113970622095,0.274902933227975,-1.44619474863577
"Snx15",0.227726358061998,0.230736942563901,3.12698881780027,0.0018277674589392,0.274902933227975,-1.45402816741
"Uchl5",0.213987697618163,0.24051817523466,3.12176554374992,0.0018601173046832,0.277225119027059,-1.46930100615308
"Pcdh9",-0.452515664136849,1.6698242420364,-3.11423062599722,0.0019077131693704,0.281757204492417,-1.49128920261147
"Mbtps2",0.22219018124832,0.234982168877665,3.11079656807362,0.00192977463937911,0.282470762839117,-1.50129318222636
"Adgrl1",-0.352401607215655,0.820841108641003,-3.09401153117981,0.00204102280694185,0.296110866345174,-1.55003580308417
