"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mid1",-1.10482690457542,0.41450252039301,-4.40303940077727,2.43408085133796e-05,0.308481017234361,-1.00875341036849
"Psmc6",1.23847167770246,0.682065674618522,4.2435440094173,4.52583652045718e-05,0.308481017234361,-1.2549379374685
"mt-Co1",0.801855902339869,0.264993267151239,3.91176201193035,0.000156802152333365,0.568607459484212,-1.75009333346484
"Pcp4",-0.893204951294153,0.323088051370695,-3.89470631411664,0.000166844911820485,0.568607459484212,-1.77488487538175
"Ints6l",-1.16505977978024,0.820512317297664,-3.78564534875677,0.000247089572670555,0.629836917445174,-1.93178908603333
"Plvap",-0.636176232706894,0.166180365570632,-3.75329361598013,0.000277216953100869,0.629836917445174,-1.97778271796287
"Gtf2h5",-0.914933825870009,0.40359820325107,-3.63273162180546,0.000423123669775592,0.776299216500506,-2.14689539935026
"AC149090.1",-1.13233605309707,2.04662081352752,-3.59059453130338,0.000489432540021042,0.776299216500506,-2.20513137712031
"Ifitm7",-0.363092418995515,0.0687543009036213,-3.57718231860695,0.000512521489767059,0.776299216500506,-2.22357143557281
"Zmat4",-1.32980755274241,0.955122308036063,-3.54439867787392,0.000573363494622967,0.781609115870029,-2.2684467804821
"Clstn3",-1.18535746435519,1.3824900209153,-3.36942828892832,0.00103089216299101,0.875301711329509,-2.50308624088429
"Ephb2",-0.577455431639698,0.162291822189706,-3.36792403429732,0.00103601259526958,0.875301711329509,-2.50506715374821
"Gm38393",-1.05485685641747,0.68800739615777,-3.3475854693507,0.0011076269894018,0.875301711329509,-2.53178842739427
"Bend6",-0.722527100529344,0.318144998363011,-3.3472411681436,0.00110887831441065,0.875301711329509,-2.53223978149806
"Pdcd4",-0.669167656139325,0.226055199865512,-3.34153482131894,0.00112981125762325,0.875301711329509,-2.5397155459092
"Cspg5",-1.005423813184,0.653951438043723,-3.27085310429501,0.00142170873360021,0.875301711329509,-2.63155056304937
"Swt1",-0.79025022419446,0.352313048524506,-3.25809960471648,0.00148136090590937,0.875301711329509,-2.64796903769863
"Leo1",0.502030134321603,0.117298450050867,3.22186397347757,0.00166384279109103,0.875301711329509,-2.69436141838165
"Rac1",0.642466998921096,0.253165196613303,3.21685874292353,0.0016906364249084,0.875301711329509,-2.7007396427249
"Arhgef18",-0.578900595559,0.178548756963305,-3.15345647108531,0.00206671890604678,0.875301711329509,-2.78089806302826
"Zfp422",0.38860307904657,0.0941959600700393,3.15224715157665,0.0020745955232291,0.875301711329509,-2.78241545422652
"Atp1a3",-1.05320224751058,1.69557669766873,-3.1387804114246,0.00216421341344594,0.875301711329509,-2.79928343699814
"Dhx37",-0.330509572791845,0.0729170961373279,-3.10506670683673,0.00240457839399905,0.875301711329509,-2.84127453911332
"Anapc5",-0.972955520624856,0.781649209887268,-3.08816166122645,0.00253421446110433,0.875301711329509,-2.8622015629422
"Xk",-0.379425762257602,0.0819276322489244,-3.06836283886197,0.00269426515373568,0.875301711329509,-2.88660095917729
"Otud7b",0.693050153691709,0.317818031048003,3.06082398709639,0.00275763111737957,0.875301711329509,-2.89586029542
"Stx18",0.493394670446737,0.166460130048374,3.05124060492472,0.00284017316070065,0.875301711329509,-2.9076057609677
"Lrrc24",-0.494908424490432,0.159715151896262,-3.04656360490847,0.00288128097763135,0.875301711329509,-2.91332774792083
"Psmf1",-0.636404034779015,0.247016486849195,-3.03269496902454,0.00300643485382664,0.875301711329509,-2.93025571171416
