"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mid1",-0.739896311901317,0.260964057251508,-9.92918531424712,3.7153429260974e-22,6.11545445635632e-18,38.2657732955952
"AC149090.1",-1.08223358040707,1.96330153583033,-7.73701170525644,2.63327490002286e-14,2.16718524271882e-10,21.4053525338648
"mt-Atp8",0.248269355749144,0.0759654690144939,6.20010151672816,8.45864336335332e-10,4.64097565869319e-06,11.7793667695996
"Gm47283",-0.416955216876342,0.199623264102827,-6.07433293133822,1.80993825817128e-09,7.44789593237483e-06,11.0770085063098
"mt-Co3",0.366911701892856,0.160163809931805,6.0197492079537,2.50723583975443e-09,8.25382038447159e-06,10.7763036463394
"mt-Co1",0.412080678891397,0.303479784727513,5.18466319012706,2.65296589189467e-07,0.000727796976343104,6.49085630808874
"Tenm2",-0.556193064194915,0.641692149269766,-5.1321242626214,3.48490998613119e-07,0.000819451691024564,6.24125349492024
"mt-Nd4l",0.239793094153485,0.0958673165639583,4.94250150476414,9.13866106863999e-07,0.00188027951487268,5.36035132586874
"Zbtb4",-0.414141149999747,0.414729882052441,-4.62191984439915,4.33589753366539e-06,0.00792987482268137,3.94262001275031
"mt-Co2",0.218374978926099,0.109398202114685,4.46308622176911,9.06371766465707e-06,0.0149188792760255,3.27374818766605
"Epb41",-0.432445075974172,0.428971288730138,-4.39838563479521,1.21599500342931e-05,0.0181957070513149,3.00769251747223
"Frmd4b",-0.507697558477994,0.688553586595432,-4.29153955685627,1.95935872550387e-05,0.0268758705181615,2.5764780246744
"Dusp1",-0.23461323317831,0.128897014424801,-4.24940445289102,2.35825415397819e-05,0.0275209602435605,2.4092234848263
"Fance",-0.231726926118552,0.126914893075279,-4.23561876605195,2.5047830546319e-05,0.0275209602435605,2.35484539749012
"Msi2",-0.4383062368331,0.578933880926965,-4.235326143782,2.50798544139373e-05,0.0275209602435605,2.35369297849697
"Gpr83",-0.264884720140883,0.170967076815495,-4.20829560271744,2.82122769596758e-05,0.0290233799222665,2.24756983464261
"B4galt5",-0.228750825646455,0.149828777004761,-4.16842471496204,3.35204512119986e-05,0.0324556839382057,2.09222686468774
"Abca1",-0.256447499893491,0.15063833864809,-4.13955869579372,3.79426637599068e-05,0.0340587799003305,1.98064795818017
"Mtf1",-0.234312949796785,0.132802975642512,-4.13125285083379,3.93145089979514e-05,0.0340587799003305,1.94868067780054
"Tenm3",-0.318569674897711,0.276380021195353,-4.05648394515388,5.39749757670987e-05,0.0395367349297227,1.66369543425565
"Grid2",-0.474532869206166,0.678250138615074,-4.05170435493089,5.50701921641852e-05,0.0395367349297227,1.64564828885971
"Btg2",-0.240146891057824,0.132024668409674,-4.05086804786665,5.52639820133597e-05,0.0395367349297227,1.64249260371139
"Fos",-0.21947748609296,0.104460365377851,-4.03986302086649,5.78751200239759e-05,0.0395367349297227,1.6010251938487
"Fam163b",-0.173613846729804,0.0958107759669379,-4.03313050809614,5.95297798793253e-05,0.0395367349297227,1.57571040440844
"Auts2",-0.528566434135646,1.23761224153783,-4.03105159279749,6.00497189090564e-05,0.0395367349297227,1.56790173995265
"Clcn5",-0.279906294412516,0.227792727275052,-3.95483288336061,8.23769873637199e-05,0.0506011060328107,1.28429615554293
"Pabpn1",-0.482549330133367,1.36689720520701,-3.95299190873856,8.30030293369313e-05,0.0506011060328107,1.27751060620317
"Pcgf1",0.199114793528355,0.110351154222699,3.92916111562793,9.15243307672894e-05,0.0538032315867708,1.18994929362279
"Zfp385b",-0.442309633130666,0.750328207755974,-3.89821516578433,0.000103829070066408,0.0589319480445889,1.07700806762098
"Ide",-0.355352400752167,0.413729668567819,-3.86981408903411,0.000116483873556483,0.0639108186246567,0.974114172523241
"Adgrl2",-0.406752122826874,0.552054554329073,-3.85201061848147,0.000125145179240579,0.0645626572487206,0.909985119457025
"Ryr2",-0.502126000348493,1.24206590147169,-3.84478413316471,0.000128831438211951,0.0645626572487206,0.884036528925426
"Akain1",-0.308782026469012,0.313823665362886,-3.84361164876556,0.000129439106270217,0.0645626572487206,0.879830859610412
"mt-Cytb",0.189038505397664,0.095655726095594,3.79572245845928,0.000156702514623383,0.0758624526676729,0.709114297299633
"Tm6sf1",-0.419882283423729,0.665037727641387,-3.77598123394929,0.000169446752668138,0.07968838711193,0.639343359013987
"Macf1",-0.456860607352437,1.85519643112072,-3.74770698657036,0.000189409623081897,0.0866022887757785,0.540028087379591
"Col19a1",-0.48901972513644,0.916983967077311,-3.73905659605415,0.000195946545064491,0.0868275358866355,0.509787450437547
"Park2",-0.37868602481388,0.53659646800646,-3.73325069865682,0.000200452391475829,0.0868275358866355,0.489528764969705
"Sacs",-0.444065375936196,0.870769138179411,-3.70942798981357,0.000219981501151583,0.0928434745885912,0.406722952941236
"Prmt7",-0.269698639547052,0.256392229279844,-3.69468322905014,0.000232950757634932,0.0958592367667746,0.355728824841675
"A430005L14Rik",0.138426007939439,0.0664977982352879,3.66990363439404,0.000256378209473993,0.101273935588583,0.270473315093143
"Arc",-0.275857307343626,0.182208391861498,-3.66785131499294,0.000258414659460541,0.101273935588583,0.263437155440785
"Fth1",0.462413045515098,0.944877125663028,3.63113042702155,0.000297520342351987,0.113888019421249,0.13818901294211
"mt-Nd5",0.124019393353505,0.0490797174454361,3.61996957951059,0.000310464981111224,0.11614212702479,0.100363822404775
"Setd7",-0.334225512718013,0.432888904123042,-3.5984704700258,0.000336901969729522,0.123231253816621,0.0278199267325636
"Junb",-0.268426636408336,0.204457543169776,-3.58327788147887,0.000356840577558157,0.127686867534941,-0.0231909526763809
"Smug1",-0.227383045193548,0.18307819877055,-3.57577529627483,0.000367089652795482,0.128559482659865,-0.0483044203982121
"Cep295",0.346391589195482,0.521031694173399,3.50319995858349,0.00048149759150172,0.165113549085798,-0.288594953446381
"Nav2",-0.471433386989472,1.51488077761191,-3.48568254586458,0.000513715892365886,0.170946246211806,-0.345875685750912
"Gm4631",-0.299753330320863,0.361601906992168,-3.48276278965907,0.000519277783146434,0.170946246211806,-0.355395924513103
"Nr1d2",-0.316647443145703,0.416940442941979,-3.45776138593146,0.000569257774932121,0.180522338972238,-0.436598323563773
"Plekha5",-0.380513879650252,0.724893502480921,-3.45555087194539,0.000573886182587332,0.180522338972238,-0.443750484156364
"Plekhm2",-0.216668040911693,0.172729233805595,-3.44542891814613,0.000595531464733315,0.180522338972238,-0.476443387942359
"Shmt2",0.148329178337274,0.0775773702673995,3.44219884930939,0.000602597445717044,0.180522338972238,-0.486856537192896
"mt-Nd1",0.149066268731458,0.0819377590388823,3.44192347713081,0.000603203441280261,0.180522338972238,-0.487743846672131
"Pdlim2",0.176661593048804,0.0775839421014858,3.43061306186947,0.000628590109394338,0.183280776929876,-0.524128759115604
"Gnai1",0.335966505562559,0.468688581783083,3.42095664200647,0.000651048558820817,0.183280776929876,-0.555100579018262
"Npnt",-0.195557696076469,0.149761340369634,-3.42004231383848,0.000653213353167735,0.183280776929876,-0.558028771566413
"Gm38393",-0.363066333739589,0.663954708620437,-3.41846641124196,0.000656960257525073,0.183280776929876,-0.56307390783243
"Nme5",0.0893328811963743,0.0350344189966764,3.41166456389811,0.000673363312309058,0.184726002010118,-0.584823537739394
"Zfp57",0.262344393385101,0.257034387726087,3.4012693617141,0.000699170220454675,0.187570602264681,-0.617981774346608
"Nsd2",-0.41444106682609,0.991950010977477,-3.39837277758412,0.000706523532224193,0.187570602264681,-0.627203631561152
"Dennd1b",-0.28722621033851,0.365702949789764,-3.39339803604714,0.000719320685940122,0.187936801437689,-0.643023856845847
"Hdac10",0.166245741812345,0.0977511228586547,3.38814513373965,0.000733067282289843,0.188535741663919,-0.659704152895874
"Hpse",-0.223149982869776,0.156339606583085,-3.37500406890306,0.00076853462005108,0.193459409955651,-0.70132256691009
"Rock2",-0.427969391792437,1.11654875365359,-3.37241132976803,0.000775718168716463,0.193459409955651,-0.709515284570085
"Pfkp",-0.44175446901356,1.28010022933428,-3.3530372777098,0.000831405799936898,0.203936778833852,-0.7705404794315
