"","X","logFC","logCPM","F","PValue","FDR"
"1","Ttr",-1.27816098560478,11.9711954413488,419.89493425179,1.00909107347474e-91,1.74088391995863e-87
"4","Igfbpl1",-0.887300700700391,11.9366881101137,139.038606477913,6.52559029923414e-32,2.81448709605969e-28
"6","Ptma",-0.501654285125047,12.6891770625386,121.662128421091,3.75715737817053e-28,1.0803079848033e-24
"8","Hba-a1",-1.16688740054021,11.772757131812,132.237859532629,2.52944030594468e-26,5.4547380197697e-23
"9","Tmsb4x",-0.396741223994453,12.9413039815509,108.746508619858,2.37706243113945e-25,4.55656456244643e-22
"13","Snhg11",0.987605256431035,11.7710216431998,95.1954855931471,2.09646328008633e-22,2.78216803908072e-19
"14","H3f3b",-0.480672727944617,12.4186179527242,85.794783583809,2.3399535763817e-20,2.88349136426694e-17
"16","Ptgds",-0.71491186140819,11.7893960362477,107.562810294664,1.18540026373841e-17,1.27815783437594e-14
"17","Meg3",0.835340456618329,12.1178131184411,71.6015211568893,2.94350942010952e-17,2.98714261857232e-14
"22","Rps8",-0.366315140738528,12.6506427112877,64.2250626190117,1.21420908258958e-15,9.52160686037975e-13
"29","Actb",-0.23703529365169,13.1927852884549,53.154761488791,3.27982266885665e-13,1.95115519596948e-10
"61","Rpl13",-0.268812459625901,12.6653359173918,37.1078312271597,1.15257393229626e-09,3.25970581638935e-07
"73","Ubb",-0.252378302849171,12.6650836789886,34.0318210680204,5.5642568860481e-09,1.31499396983701e-06
"75","Hsp90ab1",-0.270850262687808,12.571328843363,33.7822433055343,6.32350549084239e-09,1.45457488970684e-06
"130","Hspa8",0.245833975512359,12.4808075680288,26.0520279702534,3.37516522495779e-07,4.47910388161322e-05
"168","Malat1",0.419356147981702,13.3148789363688,22.9947173580553,1.64433831599442e-06,0.000168857884687713
"331","Tmsb10",-0.0885281923414336,14.0446332980879,14.8746643185703,0.00011550686972109,0.00602031575960194
