"","X","logFC","logCPM","F","PValue","FDR"
"1","Atp5g3",-3.01233881732877,10.5183438717169,243.875283456399,3.06549880613239e-45,5.01791499575812e-41
"2","Sst",-3.62443166264746,10.4859225250201,210.981034834903,1.12175358908305e-44,9.18099224985018e-41
"3","Oaz1",-2.9548034966336,10.4991084298218,241.936422376082,9.92833580284393e-44,5.41723095855841e-40
"4","Rpl8",-2.57964035893499,10.4843744321519,190.887544597185,1.75404890206944e-35,7.17800661949367e-32
"5","Hnrnpa2b1",-2.08647711731176,10.7496589072233,153.140145090553,1.76389406209627e-33,5.77463638049077e-30
"6","Pgrmc1",-2.46591572575264,10.3985082534439,203.700552269003,2.4409066007804e-31,6.65920002469573e-28
"8","Slc25a4",-2.29022049300004,10.5819756450879,141.031567771598,4.41895625549891e-31,9.0417368682827e-28
"9","Actg1",-1.98967313190409,10.7435506809271,123.558451556271,1.38833469425325e-27,2.52507229002572e-24
"10","Cst3",-3.12947760834499,10.5003788489918,142.688329848745,2.20564136514835e-27,3.61041435061133e-24
"11","Ly6h",-2.28310686264416,10.413910847244,154.66891125831,1.07157207755588e-26,1.59459666704657e-23
"12","Syt1",-1.52212537227422,11.9142601271694,109.168747124794,1.13565759605823e-24,1.54913159915644e-21
"13","Calm1",-2.00433313164105,10.7322851209078,107.367019580911,2.64301807757687e-24,3.32796637783506e-21
"14","Actb",-1.86404831159251,10.7711110523695,105.789181040435,5.54327695346262e-24,6.48127860365926e-21
"15","AC149090.1",-1.65880149266343,11.0080212432697,93.7392493105159,1.63259858559039e-21,1.78160041650194e-18
"16","Ckb",-1.64850885703344,11.0791424295997,90.1897575145471,8.80077543796294e-21,9.00374332150096e-18
"18","Pdlim7",-1.9050168301102,10.4458564011546,105.385348234689,2.33367864162808e-20,2.12222142693389e-17
"19","Nap1l5",-1.78593357867943,10.5483303963722,85.2989068579382,9.03591458397602e-20,7.78467820132123e-17
"20","Tmem59l",-1.97542126214427,10.4583823553793,100.371118604005,1.15804419012346e-19,9.47801267406544e-17
"22","Tmem59",-2.08747221759762,10.402318698243,124.706630261571,5.49256736345142e-19,4.08671978056074e-16
"23","Atp6v0c",-1.53319519311754,11.0814570814722,81.0276907282103,6.95814789267605e-19,4.95208360240062e-16
"27","Tmeff2",-1.84707430655915,10.4539121475631,83.1020446285894,9.86340203302363e-18,5.97977881031718e-15
"29","Cd81",-1.77166323573866,10.4991464621095,72.9803226086463,2.10047497477794e-16,1.18560947800483e-13
"38","Uchl1",-1.45668160996136,10.5974896679298,63.5381273899622,3.20261321938922e-15,1.37956778389953e-12
"42","Matk",-1.43759756683587,10.5130420474148,60.6904412401826,1.28006958387814e-14,4.98891881392887e-12
"47","Gprasp2",-1.31962285132907,10.7279623614827,57.5799139208335,5.83874214611157e-14,2.03349723807873e-11
"49","Ttc3",-1.05437146447855,11.3450601481149,54.3252721486872,2.87104472322097e-13,9.59104715804164e-11
"51","Spock3",-1.50081602494223,10.4762385568954,57.6598121502932,4.08802963682257e-13,1.31209719853233e-10
"55","Fubp1",-1.27729938121004,10.6288519682434,51.4280402199461,1.19034268238483e-12,3.54267624871951e-10
"60","Sncb",-1.44230626630872,10.5782363750956,48.9621708097726,4.00672615435803e-12,1.09310167367811e-09
"62","Rtn1",-1.23678673987495,10.7414179792031,47.7691509553638,7.21618854922129e-12,1.90519016713231e-09
"73","Rab3c",-1.19617340709349,10.6977208688113,42.0905417476551,1.19996355535265e-10,2.69071279966678e-08
"75","Rbm39",-0.997356257484431,10.9353289609253,41.7220447723208,1.44101498121666e-10,3.14506323033807e-08
"76","Prpf4b",-1.10007539289031,10.7233370569051,41.6836812311544,1.46874754444463e-10,3.16341165197555e-08
"78","Snrnp70",-1.06180504799929,10.8808891211938,40.5887555060383,2.53156075668658e-10,5.31270743925676e-08
"85","Cx3cl1",-1.18713347430362,10.5944426539562,38.6221922116402,6.74305353049733e-10,1.29855344989072e-07
"89","Cemip",1.40651342866651,10.8357912682988,38.2145243323259,8.26396891822951e-10,1.51992030587077e-07
"100","Ube2b",-1.12543399212024,10.5967203585286,35.9935748203082,2.5075377891486e-09,4.10458860705735e-07
"130","Srek1",-0.967181111804664,10.7209379931862,31.611246954393,2.26378099231214e-08,2.8415954492032e-06
"139","Stmn3",-0.963046168735332,10.9959543065728,30.6385092591249,3.69658101625969e-08,4.34482358310745e-06
"140","Hspa5",-1.04734933752469,10.638660444712,30.6281133543886,3.71601992568295e-08,4.34482358310745e-06
"151","Cox4i1",-1.00669049732116,10.6746613923706,29.932290891859,5.27988467336993e-08,5.72360478267499e-06
"216","Mir124a-1hg",0.742568337231552,11.5917282764028,23.2371989230654,1.5856005948199e-06,0.000120050734096596
"269","Map1b",-0.739123539962109,11.1642733444136,20.0024721663061,8.34952250929998e-06,0.000508079308381901
"353","Mir124-2hg",0.72912528359691,10.9847671864673,17.0611875189331,3.83028459445755e-05,0.0017761452840418
"403","Grin2a",0.789753092519465,10.8156992649155,15.7323776200618,7.65969281716435e-05,0.00310642683345863
