"","X","logFC","logCPM","F","PValue","FDR"
"1","Rpl8",-3.40996911998198,10.6541610457668,249.092052491193,1.04789667229836e-47,1.69549681577875e-43
"2","Calm1",-2.84245936641954,10.9284062814368,173.722444464728,3.51922429805723e-37,2.8470524571283e-33
"3","Oaz1",-3.00179531994526,10.6311177203743,179.003404685813,1.62001764627776e-35,8.73729517225803e-32
"4","Hnrnpa2b1",-2.30422367801126,10.8691738094554,138.671917700719,2.16172230916297e-30,8.74416674056419e-27
"5","Actg1",-2.3995163764854,10.868626394183,130.471450213855,8.91060547770192e-29,2.88347193258434e-25
"6","Plk2",-2.47223044165057,10.6337069826053,113.963414469093,1.71258454574e-25,4.61826965834554e-22
"7","Actb",-2.21411979086792,10.9600085195781,105.668697516262,7.95225085648466e-24,1.8381059836846e-20
"8","AC149090.1",-1.96173242948133,11.091550467538,102.81600598664,2.99520196749843e-23,6.05779597926558e-20
"9","Ly6h",-2.38029024579795,10.591875122697,119.221241826817,8.51090214143546e-23,1.5300710738714e-19
"10","Slc25a4",-2.17530494042393,10.6209192595865,106.704684531726,7.36319585231189e-22,1.19136508890406e-18
"11","Atp5g3",-2.5918088639231,10.5517134803436,138.920409003402,1.63947419646556e-21,2.41151749989206e-18
"12","Syt1",-1.72598539668511,12.092742480325,93.3325399411418,2.51868049974239e-21,3.39602087381932e-18
"14","Uchl1",-2.02198198732281,10.8139818850205,91.0665209922253,7.30170225588507e-21,8.4386816071586e-18
"15","Pdlim7",-2.10716792471534,10.6684721684072,89.7694603570254,1.34409204898452e-20,1.4498272901713e-17
"16","Pgrmc1",-2.29056582609604,10.5993982904559,103.758834581505,1.80724712427857e-20,1.82757865442671e-17
"17","Tmem59l",-2.05349220293451,10.629820747942,85.3433943096642,9.27555152643617e-19,8.82814257045513e-16
"18","Sncb",-2.03061465864633,10.6314440437163,84.3730207143583,1.12848895083104e-18,1.0143861791359e-15
"20","Cst3",-2.46633595818107,10.5877174297838,102.765548097991,1.58155371160209e-17,1.27947695268609e-14
"21","Nap1l5",-1.88244136833456,10.6497797107818,71.3052014602617,8.60541516617448e-17,6.63026749470015e-14
"24","1700020I14Rik",-1.83860251983449,10.616260562753,70.6989513828919,1.87683164199855e-16,1.26529733198069e-13
"25","Rbm39",-1.51473542765883,11.0267626332979,67.6974457309614,4.85531120962186e-16,3.14235741486727e-13
"27","Hap1",-1.83558042943048,10.7318865660656,63.1138615384735,4.41337567100175e-15,2.64475623543734e-12
"30","Stmn3",-1.6443129637783,10.9432505155814,61.1477303401941,1.14104355491268e-14,6.15402823949573e-12
"31","Ube2b",-1.59471025667907,10.7112941760582,59.4586455608622,2.58446921764633e-14,1.34892619166186e-11
"32","Ckb",-1.70318409113904,11.0579282916752,59.2211491086345,2.89965605258502e-14,1.4661385915883e-11
"36","Grm7",-1.6375305918457,10.6831064232393,57.0248855659436,8.41564441695602e-14,3.78236462962079e-11
"37","Map1b",-1.4621889006192,11.2834738594476,56.4624237403489,1.10603506701555e-13,4.83666145521937e-11
"40","Ttc3",-1.23773325652008,11.429378434854,55.2176172550275,2.02620459803864e-13,8.11171775408692e-11
"43","Snrnp70",-1.42336958822302,10.973372943534,53.3474803430471,5.03899877572475e-13,1.87656802482739e-10
"46","Atp6v0c",-1.51797748848109,11.2472030695246,53.1045266369593,5.67290324417659e-13,1.99538205414733e-10
"53","Rps16",-1.44982537745271,10.7148808126145,49.2048013820276,3.81730550770644e-12,1.16535854933378e-09
"55","2900097C17Rik",-1.43627092333349,10.754520265149,48.5018455830199,5.38762246256901e-12,1.58494057171576e-09
"57","Cx3cl1",-1.46652640583852,10.7762491992391,46.3483319592731,1.55095168586169e-11,4.35068301778277e-09
"68","2900055J20Rik",-1.50811798393403,10.8428572870582,44.0920715050419,4.70975375508611e-11,1.12064434937196e-08
"71","Cox4i1",-1.38721128575517,10.7068793144351,43.5802901793644,6.06189391071241e-11,1.38142878134263e-08
"73","Gprasp2",-1.34716382873943,10.8752178350956,43.353601933061,6.77925069883885e-11,1.50257912749606e-08
"75","Ddx5",-1.25353591719444,10.9679320615258,42.6173721583416,9.7506470080085e-11,2.10353958119437e-08
"76","Lrp1b",-1.35171468209489,11.1266619566452,42.4764140722606,1.04537631083008e-10,2.2255511459514e-08
"88","Srek1",-1.27538087999495,10.7852236507405,38.5003722228899,7.49144922534034e-10,1.37740509620462e-07
"92","Dnm3",-1.32352792755141,10.7520304358856,36.986203108856,1.59041958862987e-09,2.79706401565557e-07
"105","Luc7l3",-1.18772958965162,10.8235255036754,35.1947992978734,3.88370754668485e-09,5.98460839098675e-07
"107","Rtn3",-1.13738914140665,10.9505186607214,35.0423858926191,4.19066489408193e-09,6.33691196133136e-07
"118","R3hdm1",-1.23369490593085,11.1323035324922,34.0614875102766,6.84040626082562e-09,9.37947231357276e-07
"122","C230004F18Rik",-1.0303515501138,11.3461556912394,33.4942589916669,9.08418208209395e-09,1.20477103351049e-06
"147","Cttnbp2",-1.16310353538168,10.7514096930602,30.3213957654015,4.46207056598701e-08,4.91131304473944e-06
"152","Arpp21",-1.18989677915107,11.4133576578155,29.9535186172481,5.36937412786147e-08,5.71555745978938e-06
"153","Hsp90aa1",-1.10516361878853,11.0322941188212,29.9083951795913,5.4927200236983e-08,5.80864117538814e-06
"183","Pcdh9",-1.05563875111069,11.0178583107887,27.4436413335593,1.90460424229553e-07,1.683961565046e-05
"218","Srsf5",-0.968800756081201,10.8946805825859,24.7060540719436,7.6321574637919e-07,5.64014299189867e-05
"219","Mapt",-1.01490510096138,10.875805971644,24.7055632672775,7.63406251684678e-07,5.64014299189867e-05
"233","Scn2a",-0.872680945370354,11.1138167363255,23.5828125610977,1.35212192132903e-06,9.38941317043075e-05
"247","Rps8",-0.922233060215308,10.9173383782413,23.0082729367281,1.81260681378239e-06,0.000117960458167483
"249","Prnp",-0.967899386184182,11.0219393271858,23.0053244564627,1.81533708799155e-06,0.000117960458167483
"274","Atp1b1",-0.896745243867408,11.0620815239065,21.7126493553595,3.51555116288381e-06,0.000207597145311898
"312","Nbea",-0.840698830166027,10.9987807597756,19.6155928915231,1.03204596402045e-05,0.000535208451854194
