,logFC,logCPM,F,PValue,FDR
Arc,-3.579341964,9.669675075,209.2471024,9.40E-43,1.55E-38
Mid1,-3.216415354,9.167134071,165.85779,4.66E-33,3.83E-29
Fos,-3.418259969,9.21273142,130.8704618,2.27E-28,1.24E-24
AC149090.1,-1.691759317,10.72306877,119.6666797,3.20E-26,1.31E-22
Btg2,-3.185342608,9.070357579,148.8272957,3.98E-26,1.31E-22
Dusp1,-2.874215725,9.139032746,112.1253204,9.25E-25,2.53E-21
Junb,-2.712055145,9.565681308,77.30271165,7.47E-18,1.75E-14
Npas4,-2.189036381,9.244009444,67.00958668,9.30E-16,1.91E-12
Gm47283,-2.233480997,9.096831878,81.57443383,1.55E-15,2.84E-12
Egr1,-1.368008577,9.941567316,46.78435713,1.47E-11,2.42E-08
mt-Co1,1.37798071,9.228149887,15.30968649,0.000104042,0.026303389
