"","X","logFC","logCPM","F","PValue","FDR"
"1","Arc",-3.57934196369078,9.66967507479388,209.247102361465,9.40318679656953e-43,1.54522568628027e-38
"2","Mid1",-3.21641535387428,9.16713407148584,165.857790040522,4.65772212268187e-33,3.82701738210156e-29
"3","Fos",-3.41825996900127,9.21273141995503,130.870461777849,2.26561734201026e-28,1.24102965937515e-24
"4","AC149090.1",-1.69175931686137,10.7230687679003,119.666679663116,3.19775316882582e-26,1.30925317418137e-22
"5","Btg2",-3.18534260804688,9.07035757852904,148.827295691135,3.98360973097234e-26,1.30925317418137e-22
"6","Dusp1",-2.87421572461599,9.13903274576974,112.125320445799,9.25046555865642e-25,2.53354834209002e-21
"7","Junb",-2.71205514518202,9.56568130779039,77.3027116545849,7.46680461457979e-18,1.75288571759128e-14
"8","Npas4",-2.1890363809107,9.24400944407201,67.0095866838828,9.3041730853049e-16,1.91119345388519e-12
"9","Gm47283",-2.23348099711784,9.09683187849878,81.5744338343279,1.554763953735e-15,2.8388262279697e-12
"10","Egr1",-1.36800857691869,9.94156731582053,46.7843571344498,1.47161373157512e-11,2.41830284509739e-08
"65","mt-Co1",1.37798070999495,9.22814988699719,15.3096864949824,0.000104041882498585,0.0263033885399883
