Cluster,Gene,logFC,logCPM,F,PValue,FDR
L5,Mid1,-3.731201423,9.248016363,620.5784796,2.61E-121,4.51E-117
L5,Arc,-3.375408876,9.620724283,452.4937843,1.02E-91,8.80E-88
L5,Fos,-3.346368292,9.192306666,392.2961028,1.14E-80,6.57E-77
L5,AC149090.1,-1.738120818,10.83019385,328.0951832,1.33E-68,5.75E-65
L5,Dusp1,-2.796456639,9.176817751,299.3337735,4.25E-63,1.47E-59
L5,Junb,-2.570587843,9.535342279,219.6115493,1.69E-47,4.87E-44
L5,Btg2,-2.336076904,9.108658596,256.193876,7.71E-44,1.91E-40
L5,Gm47283,-2.060842187,9.196747363,189.8692826,4.43E-39,9.59E-36
L5,Egr1,-1.829136997,9.801904279,172.63629,4.63E-38,8.89E-35
L5,Bhlhe40,-1.699120704,9.198903567,128.49708,5.17E-29,8.95E-26
L5,Npas4,-1.852684397,9.334217901,117.5496038,9.70E-27,1.29E-23
L5,Egr4,-1.726889658,9.145960299,115.5034863,2.59E-26,3.20E-23
L5,Nr4a1,-1.400628088,9.333495251,92.08284008,2.10E-21,2.27E-18
L5,Cpne9,1.45073109,9.205182033,79.63655794,9.05E-19,8.25E-16
L5,mt-Co1,1.54932922,9.219411741,69.92805255,5.36E-16,4.42E-13
L5,Hecw2,1.048863054,9.371689004,56.10284129,9.79E-14,7.70E-11
L5,Ptprk,1.064592259,9.559640834,52.13985311,7.02E-13,5.06E-10
L5,Ctxn1,0.852898059,9.62454786,49.33223142,2.84E-12,1.89E-09
L5,Malat1,0.400854184,16.03446094,43.58267471,5.04E-11,2.91E-08
L5,Rph3a,0.925231075,9.468929747,42.77124711,7.58E-11,3.97E-08
L5,Ptn,0.956192568,9.449531744,41.86874841,1.19E-10,5.89E-08
L5,Etv1,-0.937948548,9.713376116,40.77178132,2.07E-10,9.42E-08
L5,Ntng1,-0.990760976,9.616057902,38.21794188,7.48E-10,3.08E-07
L5,Numb,0.710377626,9.615414693,33.28072409,9.07E-09,2.91E-06
L5,Stx1a,0.690978331,9.734274158,33.06155209,1.01E-08,3.19E-06
L5,Cadm2,0.544681903,10.4296427,32.25856745,1.52E-08,4.47E-06
L5,Tmem191c,0.646646278,9.781489849,32.03850874,1.70E-08,4.91E-06
L5,Tmem91,0.893147125,9.414446251,30.49492279,3.73E-08,1.01E-05
L5,Cacng3,0.717078109,9.551212468,30.07786233,4.61E-08,1.23E-05
L5,Sh3gl2,0.664441986,9.663612949,29.82194788,5.25E-08,1.38E-05
L5,Apba2,0.616567264,9.719701964,29.04284063,7.81E-08,1.93E-05
L5,Nrgn,0.651549235,9.794629174,28.90200942,8.39E-08,2.05E-05
L5,Peg3,-0.58464515,10.65708369,27.99451003,1.33E-07,3.08E-05
L5,Nfib,-0.715096358,9.858195734,27.10680981,2.10E-07,4.54E-05
L5,Lrrtm4,-0.723746241,9.682749228,26.50254826,2.86E-07,5.82E-05
L5,Hcn1,-0.761420309,9.747041043,26.11382756,3.49E-07,7.02E-05
