"","cell_type","numDEGs","Age"
"M_MUT_and_WT_F_P30_CORT.2","L2_3_IT",1743,30
"M_MUT_and_WT_F_P60_CORT.2","L2_3_IT",0,60
"M_MUT_and_WT_F_P150_CORT.2","L2_3_IT",0,150
"M_MUT_and_WT_F_P30_CORT.3","L4",0,30
"M_MUT_and_WT_F_P60_CORT.3","L4",0,60
"M_MUT_and_WT_F_P150_CORT.3","L4",0,150
"M_MUT_and_WT_F_P30_CORT.4","L5",1105,30
"M_MUT_and_WT_F_P60_CORT.4","L5",0,60
"M_MUT_and_WT_F_P150_CORT.4","L5",0,150
"M_MUT_and_WT_F_P30_CORT.5","L6",26,30
"M_MUT_and_WT_F_P60_CORT.5","L6",46,60
"M_MUT_and_WT_F_P150_CORT.5","L6",0,150
"M_MUT_and_WT_F_P30_CORT.8","Pvalb",390,30
"M_MUT_and_WT_F_P60_CORT.8","Pvalb",0,60
"M_MUT_and_WT_F_P150_CORT.8","Pvalb",1,150
"M_MUT_and_WT_F_P30_CORT.11","Vip",7,30
"M_MUT_and_WT_F_P60_CORT.11","Vip",0,60
"M_MUT_and_WT_F_P150_CORT.11","Vip",2,150
"M_MUT_and_WT_F_P30_CORT.10","Sst",1,30
"M_MUT_and_WT_F_P60_CORT.10","Sst",0,60
"M_MUT_and_WT_F_P150_CORT.10","Sst",0,150
"M_MUT_and_WT_F_P30_CORT.9","Sncg",2,30
"M_MUT_and_WT_F_P60_CORT.9","Sncg",1,60
"M_MUT_and_WT_F_P150_CORT.9","Sncg",0,150
"M_MUT_and_WT_F_P30_CORT.6","Lamp5",89,30
"M_MUT_and_WT_F_P60_CORT.6","Lamp5",0,60
"M_MUT_and_WT_F_P150_CORT.6","Lamp5",0,150
"M_MUT_and_WT_F_P30_CORT.7","Oligo",0,30
"M_MUT_and_WT_F_P60_CORT.7","Oligo",0,60
"M_MUT_and_WT_F_P150_CORT.7","Oligo",0,150
"M_MUT_and_WT_F_P60_CORT.1","Astro",0,60
"M_MUT_and_WT_F_P150_CORT.1","Astro",0,150
