"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mid1",-0.90141495975268,0.31942516249565,-20.1627745784153,1.74681625014498e-84,3.04085772825238e-80,180.531108013131
"Arc",-1.17188239510178,0.698367113058536,-16.4710012714451,3.13921583660302e-58,2.73237346417927e-54,121.040968768194
"AC149090.1",-1.32181006810813,1.90686338990275,-16.0954580486094,8.51275684917836e-56,4.93966904101656e-52,115.529955654975
"Gm47283",-0.712707649554025,0.334997474235208,-15.1319936893188,9.11784208321059e-50,3.96808487461325e-46,101.876343048379
"Btg2",-0.579593617921356,0.243754995659993,-13.2685103825058,5.29370033034674e-39,1.84305470701352e-35,77.5194434884701
"Junb",-0.793972119180034,0.515912470290939,-12.0922042652797,7.6557673738092e-33,2.22119330738784e-29,63.5943882445428
"Fos",-0.490626143482421,0.209440309971965,-11.3021502714807,5.44906849542561e-29,1.3551054909767e-25,54.8945285839574
"Dusp1",-0.401813350840859,0.20848883008306,-10.1686077699782,7.13467058269225e-24,1.55250431879383e-20,43.3527075073516
"mt-Co1",0.47155411791984,0.339581434635676,9.69853235464681,6.77849283010692e-22,1.31111114651668e-18,38.8976066320112
"Egr1",-0.714906517572346,0.940319851457786,-9.29765883031666,2.81857102305869e-20,4.90656843694057e-17,35.2540399554634
"Ier2",-0.306540330835013,0.15574914354452,-8.86281171096772,1.36485146769062e-18,2.15993948632348e-15,31.4651872062863
"mt-Nd4l",0.279082863035223,0.124223710966272,8.65106320744902,8.48587870262701e-18,1.23101813712776e-14,29.6822349801084
"mt-Atp8",0.196824831456159,0.0711546428491236,8.51459757745168,2.69631560127055e-17,3.61057399899367e-14,28.5548107661489
"mt-Co3",0.296506007793209,0.163179605434562,8.38573799805874,7.9084543388842e-17,9.83359808080687e-14,27.5058376278632
"Npas4",-0.441953241386688,0.358198687823672,-8.09751828054518,8.30765797723152e-16,9.64131400450975e-13,25.2146838003184
"Nr4a1",-0.411080715004513,0.374588343864956,-7.98091793194159,2.10517433753793e-15,2.29042967924127e-12,24.3094860692567
"Nr4a2",-0.276902822872964,0.144978108655362,-7.78954057842521,9.42537970482017e-15,9.65158881773586e-12,22.8509625955259
"mt-Cytb",0.207829241320248,0.104821080865031,7.4733215981622,1.04196747436515e-13,1.00769832187491e-10,20.5152983195897
"Cyr61",-0.228333739163708,0.0813417274707278,-7.45928003786067,1.15681097711916e-13,1.05988239419423e-10,20.4137370938842
"mt-Co2",0.220502843787793,0.113563254870978,7.23300754155068,6.08217685620398e-13,5.29392673563995e-10,18.8024508481504
"Egr3",-0.318491337295881,0.286749203242625,-7.08332092655309,1.77646609366412e-12,1.47260579802404e-09,17.7627918764989
"mt-Nd1",0.183720942083685,0.0884399660431826,7.03858566729722,2.43736845223564e-12,1.928623182569e-09,17.4561472914702
"Trib1",-0.257150726239335,0.191831647263626,-6.81989517019971,1.11377480560307e-11,8.42982252866881e-09,15.9840974584953
"Dusp6",-0.268098099043253,0.220745652765306,-6.58853477617695,5.29466928853825e-11,3.84040012395308e-08,14.475680355506
"Hecw2",0.385406812362386,0.635377551254899,6.43293068127348,1.46888172739713e-10,1.02281172442117e-07,13.4895483108226
"Malat1",0.209390387018857,6.34733233061926,6.39778803912651,1.84378382807721e-10,1.23448418766031e-07,13.2699986565988
"Dpy19l1",-0.34915996705386,0.530529060223517,-6.01503822882293,2.03437881363216e-09,1.31164690324847e-06,10.9545289183852
"Fosb",-0.12808133290205,0.0564475925478314,-5.7445087915526,1.02203100934556e-08,6.35411278953125e-06,9.40186199127681
"Syt4",-0.324547369403436,0.54878026901056,-5.63436665051233,1.93345427164808e-08,1.16060592968448e-05,8.78969082303832
"Nr4a3",-0.175908271215841,0.141487466985466,-5.54748642218166,3.17130520872935e-08,1.84020270245202e-05,8.3149802889188
"Tshz2",-0.236641684448527,0.18337222379589,-5.49090687951045,4.36049144019548e-08,2.44862693519106e-05,8.00971010774325
"Fosl2",-0.141595115825338,0.0856637845045551,-5.439930013347,5.79454590860216e-08,3.15223297427957e-05,7.73729061496704
"Arglu1",-0.384420199026754,1.47168304519608,-5.31054729778443,1.17941688351715e-07,6.22160276008078e-05,7.057041081436
"Coq10b",-0.204199579501936,0.231656037825022,-5.07113721219833,4.21468443722715e-07,0.00021579184318603,5.84063568817662
"Arl5b",-0.22094175072288,0.292278388503294,-4.98220643279666,6.67199131500631e-07,0.000331845785176085,5.4028155814777
"Gt(ROSA)26Sor",0.203779678555889,0.253370423146174,4.92560820183868,8.90297881340641e-07,0.000430508486621608,5.12813500942588
"mt-Nd2",0.0899457500381496,0.0466557338399169,4.88733901478246,1.0801963080592e-06,0.000508217765694445,4.94415552979593
"Egr4",-0.174522775994828,0.156329732181332,-4.8756565792236,1.14555581809904e-06,0.000524785149512317,4.88827305926015
"Dst",-0.338002691045668,1.8423563772292,-4.67490032778862,3.08138777618e-06,0.00137540508737799,3.94851433393429
"Tln1",0.188426895449476,0.208132392631788,4.66858441471402,3.17686654768835e-06,0.00138257232155397,3.91957964627837
"Ppia",0.323380074798371,0.901400542143101,4.66003295891206,3.31067430685041e-06,0.00140566386179639,3.88046476558311
"Egr2",-0.0614145296441552,0.0217273676959396,-4.63521748208042,3.73028708117997e-06,0.00154611517879002,3.76735690750141
"Nrgn",0.332690214660454,0.991349547363871,4.58631309988181,4.71130042696578e-06,0.00190730971703768,3.54619343953038
"Ell2",-0.261442276872863,0.481342979663503,-4.54937067758187,5.6116468016909e-06,0.00222017153463262,3.38065800450727
"Gap43",0.207197594877223,0.33287220772702,4.50251055378916,6.9924359240104e-06,0.00270498499033718,3.17257976094102
"Satb1",-0.285258700259776,0.698848679594191,-4.42246922581377,1.01331587886673e-05,0.0038347397433287,2.82207380927245
"Gm26917",-0.371694690712685,2.05378894491814,-4.40774268375035,1.0841854322773e-05,0.00401563829895387,2.75826037068603
"Csnk1a1",-0.311074600054831,1.48311345516017,-4.35146212150906,1.40116558679191e-05,0.00496945176242794,2.51631778156699
"Plekha7",-0.219951847746924,0.395362976779818,-4.35029756282279,1.40857711251464e-05,0.00496945176242794,2.51134387947444
"Auts2",-0.335292861968711,1.12791339835982,-4.34737422106051,1.42734712845471e-05,0.00496945176242794,2.49886389141966
"Tiparp",-0.113176577481663,0.0854722587626153,-4.32014214662011,1.61404729411243e-05,0.00545775077993962,2.38300549392211
"Antxr1",-0.186947559859531,0.275090254950131,-4.31791545688516,1.63030239290476e-05,0.00545775077993962,2.37356384179314
"Gadd45a",-0.107674829355542,0.0828892233330802,-4.30309722233011,1.7425205698826e-05,0.00572335812839931,2.31085359667019
"Dnajb5",-0.216760158055469,0.41352877384353,-4.28200688716992,1.91500530152625e-05,0.00613266821823536,2.22196683579486
"Tmod3",-0.196475419085638,0.316049260043976,-4.27937986440539,1.93759623163456e-05,0.00613266821823536,2.21092523625181
"Ighm",0.13985857124315,0.129091918194673,4.27157379491672,2.00623214907693e-05,0.00623651593770201,2.1781551168878
"A230057D06Rik",-0.282808201898696,0.894319371848848,-4.20003982774258,2.75273363985682e-05,0.008406945123268,1.88060342828375
"Camk2g",-0.251992429659151,0.686164746582823,-4.15583789399289,3.33897944754499e-05,0.00995057637256189,1.69922149351449
"Arl4d",-0.0903945212519377,0.0625241975829616,-4.15353981664685,3.3724954387704e-05,0.00995057637256189,1.68984318784805
"Eif4a1",-0.232190142393093,0.49258544794731,-4.11714690656508,3.94781268240233e-05,0.01145392052921,1.54200903437061
"Xkr6",-0.218006900459444,0.440290565761545,-4.04401958584437,5.39733817085341e-05,0.0152732473841505,1.24883941549522
"Peg3",-0.333266998848197,1.5234637340425,-4.04217682097626,5.43969058948376e-05,0.0152732473841505,1.24151876950567
"Neto2",0.2122449804658,0.432449863514599,4.01909783117838,5.99751325583903e-05,0.0165721763107374,1.15011343904211
"Ide",-0.195077977354898,0.362115498464987,-4.01185808974561,6.18338505462919e-05,0.0168188073485914,1.12154670938309
"Hunk",-0.118110127054221,0.120480915601744,-4.00030358685064,6.49137995246629e-05,0.0173849141865436,1.07606015305048
"Ndufb3",0.118931957211508,0.123966855791851,3.96531585736235,7.51503004621241e-05,0.0198214610673433,0.939115012966282
"Ptger3",-0.0588211965235975,0.0345700100649408,-3.90789727020752,9.53272305533782e-05,0.0247680064100479,0.716951189297614
"Lrrc57",0.159074225217781,0.247283752348563,3.90231607374234,9.7540550025913e-05,0.0249703808066337,0.695527312747701
"Kcnk9",-0.289047791382296,1.03080556319256,-3.89339957051437,0.000101177551273638,0.0255260697474128,0.661363422822162
"Ssb",0.187516866140075,0.361362228040305,3.86306793589826,0.00011453196125907,0.0284824625942555,0.545725430936441
"Rrp8",-0.0807980430688404,0.0537276053956323,-3.85350986312719,0.000119073777014556,0.0291948776094281,0.509471078704832
"Gm2824",-0.162128216196007,0.269646398997076,-3.83744003551056,0.00012709500822497,0.0307287486552817,0.448717506789437
"Daglb",-0.179216711282717,0.32239969830624,-3.81831414163874,0.000137305707754497,0.0317448034962489,0.376737547137317
"Pbx1",-0.31117980872985,1.39970540413141,-3.81548193930119,0.00013888189298185,0.0317448034962489,0.366108852232673
"Cnpy3",0.140408241936178,0.198134173827711,3.81444180578807,0.000139465020416574,0.0317448034962489,0.362207396138099
"Rasl10a",0.173895088134109,0.290019057502538,3.81289396459412,0.000140337056054586,0.0317448034962489,0.356403518371454
"H3f3b",0.239530847466159,0.699662286442931,3.81275549381861,0.000140415318773619,0.0317448034962489,0.355884413665478
"Olfm1",-0.281353576645606,1.14911139931929,-3.80808261613788,0.000143080639494105,0.0319326637476073,0.338377481847827
"Utrn",-0.0978923057943273,0.0830805280504772,-3.80000222186264,0.000147802363661729,0.0325689056534606,0.308154421676462
"Pwwp2a",-0.196200594492411,0.406575407779421,-3.78665588166016,0.000155924056155042,0.0335933309923504,0.258374288386571
"0610012G03Rik",0.194629991131896,0.385828074747288,3.78603667682489,0.000156310880651447,0.0335933309923504,0.256068941099224
"Gpr22",0.207067171817701,0.487024220387146,3.76936208728293,0.000167073940843339,0.0354685751487907,0.194128466610882
"Gm20604",-0.0535290610732582,0.0288825426292847,-3.74428323870165,0.000184583083127424,0.0385694851718916,0.101478550444873
"Slc17a6",-0.0876945572399411,0.0579886632881289,-3.74220093492517,0.000186111945912161,0.0385694851718916,0.0938133271217056
"Jade1",-0.119499160053078,0.133600451095784,-3.73296748755527,0.000193035916458244,0.0391466901036071,0.0598746946377258
"Prkd1",-0.0840173041107059,0.0687752821029717,-3.73249753300069,0.000193394723627655,0.0391466901036071,0.0581495404406276
"Susd4",-0.213003580316808,0.546741632062461,-3.72434544793922,0.000199719446809115,0.039206699124189,0.0282582987436255
"Jun",-0.148672584927154,0.18177824238418,-3.71987982199987,0.000203265980862321,0.039206699124189,0.011911620653283
"Rasgrf1",-0.213023797732796,0.480307753550088,-3.71897316245227,0.00020399322830834,0.039206699124189,0.00859511282927894
"Tbc1d9b",-0.148904995527993,0.220804608216058,-3.71817643712803,0.000204634313612272,0.039206699124189,0.00568139864446415
"Sstr1",0.0734596704130016,0.0575187065972467,3.71619812136848,0.000206234363909167,0.039206699124189,-0.00155085223307605
"Leng8",-0.262757998622341,1.35370447868767,-3.71500562254759,0.000207204522025815,0.039206699124189,-0.0059085029579018
"Nuak1",0.150995997219709,0.239066462722249,3.70358596552065,0.000216714682060751,0.040565260057135,-0.0475683033730325
"Lypla2",0.174011483200088,0.341142292329621,3.69708094939775,0.00022231377117437,0.0408812446227016,-0.0712423425487678
"Kcnq1ot1",-0.293152400272399,2.74280267115004,-3.69618028997614,0.000223099623113318,0.0408812446227016,-0.0745169111380779
"Dido1",-0.208378929011962,0.546954875824507,-3.6891252424839,0.000229346241056753,0.0411281420993905,-0.10013994085191
"Grid2",-0.214139491329823,0.475181670268928,-3.68891634386768,0.000229533682094038,0.0411281420993905,-0.100897895043864
"Trim66",-0.123925491427517,0.171424774332966,-3.68604034607609,0.000232128931106067,0.0411281420993905,-0.11132865886264
"Trrap",-0.240444149052992,0.85162417905609,-3.68160820231921,0.000236182424031558,0.0411281420993905,-0.127387532164379
"Astn2",-0.149203185888433,0.242292227706,-3.68152407007095,0.000236260007464329,0.0411281420993905,-0.127692181370234
"Amer2",-0.173845251756684,0.336742788011434,-3.66048073147994,0.000256434868124994,0.0441981998447514,-0.203675188986289
"Cbln1",-0.0427950602086346,0.0190025176427539,-3.64621280710095,0.000271021612018057,0.045991740365363,-0.254948250192733
"Gm17501",0.07235660813448,0.0533546168391571,3.64516319636506,0.000272124842465096,0.045991740365363,-0.258712289330977
"Mark3",-0.238851453061325,0.883573900680117,-3.63898845876585,0.000278700751524639,0.0463462103030815,-0.280833964135828
"Samd10",0.126992355797766,0.188352040285562,3.63820389177615,0.000279546879700342,0.0463462103030815,-0.283642101815745
"Zfhx2",-0.211939363217377,0.601654657828188,-3.62940720927464,0.000289200139066225,0.0474943020836306,-0.315086305034693
