"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ptgds",0.283588329083963,0.114174193735391,5.98488048398071,2.71607260545565e-09,2.04167177752101e-05,10.0647289816929
"Sox4",-0.549758904249562,0.760688892845542,-5.17141360217863,2.64325367864704e-07,0.00099346689511949,6.10823522691609
"Igfbpl1",-0.605646765250926,1.31736344882335,-4.55523521016829,5.66514723773379e-06,0.0141949705953483,3.48072811316589
"Gm42047",-0.278677391202407,0.165711638317495,-4.4737751340875,8.27641708292327e-06,0.0155534568030835,3.15747350819604
"Pde3b",0.178231526293269,0.106005347096642,4.11168288191803,4.14506123298214e-05,0.0528209433672739,1.78922752072413
"Fth1",-0.438361781845937,0.746463610640989,-4.10771232827445,4.21611893313348e-05,0.0528209433672739,1.77484679865136
"Hcn1",0.234139001567129,0.180764500158593,4.06065424550391,5.15135344364495e-05,0.0553181769083987,1.60544159393102
"Nsun6",0.305372832712668,0.357991838680756,3.97113014949674,7.49899819892721e-05,0.0704624618266698,1.28842059397064
"Agpat5",0.26242176671468,0.282411424607352,3.81732745238678,0.00014050711301251,0.0999648649346271,0.759899737454736
"Nptn",0.415568366354755,1.03279107576671,3.81395129569229,0.000142422388425908,0.0999648649346271,0.748527000225927
"Dlx1",-0.2145305528022,0.143236323050858,-3.80727319023824,0.000146283559170001,0.0999648649346271,0.726060493437352
"Robo1",-0.355050941437008,0.534311149798326,-3.766712397883,0.000171938238869818,0.10225897357871,0.590433383254156
"Lrfn5",0.512170914577229,1.64674465936844,3.75929973295657,0.000177062502597828,0.10225897357871,0.565800584286404
"Rplp2",-0.379271994246074,0.655391687229224,-3.73903303672578,0.000191816143762737,0.10225897357871,0.498695434762243
"Cklf",0.331849720829699,0.512515116881216,3.72330409917268,0.000204055421535273,0.10225897357871,0.446860073700456
"Rpl38",-0.392123740305473,0.769015571758331,-3.69159429668374,0.000230995768603633,0.108524699537094,0.343009761651247
"Uba5",0.325801373234291,0.549131950880454,3.63734546905881,0.000284976701235457,0.126009991952172,0.167361747963231
"Rps15a",-0.411284176119877,1.09860953529579,-3.58396333745008,0.000349470967271748,0.135011688175608,-0.00299159319780884
"Wdr47",0.335217597524652,0.574347639952684,3.5721904782255,0.000365425007343665,0.135011688175608,-0.0402287655943594
"Uba52",-0.43547050079367,1.24617231608854,-3.55620269088656,0.000388184260978665,0.135011688175608,-0.090605181528816
"Ntng1",0.472933872369577,0.966092085937771,3.5304272293808,0.000427687721193472,0.135011688175608,-0.171355012628127
"Atp5g2",-0.291445009526619,0.410568278716621,-3.52979509474838,0.000428702157573062,0.135011688175608,-0.173328133833106
"Tmem59l",0.285086056630528,0.416313787579369,3.52594710245045,0.000434926006144862,0.135011688175608,-0.185331632097172
"Ankrd10",0.390632719853326,1.05001086757527,3.5247243408491,0.000436921346991656,0.135011688175608,-0.18914324697703
"Grm5",0.429310468733499,1.19896526965848,3.51131252788777,0.000459375894665082,0.135011688175608,-0.230865625865933
"Afdn",0.337811008979739,0.634068295411486,3.50690808989912,0.000466982026415567,0.135011688175608,-0.244533196515105
"Canx",0.401789380051326,1.21904295931387,3.48223206065727,0.000511816463299622,0.139275781934427,-0.320794788186612
"Abca7",0.107864899588407,0.0516201308348751,3.47857816332215,0.000518787002017288,0.139275781934427,-0.332042265182893
"Ryr2",0.252214608372082,0.319346219880102,3.45026244521977,0.000575884673511557,0.146068064374051,-0.41881097255745
"Khdrbs2",0.424972258801486,1.05020336937699,3.44694210703503,0.000582950902118071,0.146068064374051,-0.428939958996246
"Tmem181a",0.366415426032077,0.941376261235647,3.39939011197197,0.000693430785425677,0.15136962269092,-0.572950367495912
"Ikzf2",-0.234444111891273,0.246405449124286,-3.3937712058949,0.000707700902229689,0.15136962269092,-0.589837268612937
"Rps5",-0.384350696188037,0.946881096254228,-3.39018627231437,0.000716947648654226,0.15136962269092,-0.600596980525387
"AI314180",0.267712473542928,0.39694298334181,3.3884873452317,0.000721368882717669,0.15136962269092,-0.60569218595156
"Hps4",0.290690040273961,0.502292310898529,3.38746655999938,0.000724037522221712,0.15136962269092,-0.608752387647116
"Gm26917",0.449355097793779,2.60947460326193,3.38450724439134,0.000731826040322835,0.15136962269092,-0.617618968202804
"Dgkd",0.277347241208759,0.429451494329191,3.37954242515793,0.000745067984510316,0.15136962269092,-0.632477248646249
"Mycbp2",0.388162996620386,1.81833413079484,3.34715435060253,0.00083706772408334,0.165585212682486,-0.728879274713004
"Dusp12",0.336363365134659,0.800380203575428,3.319295051462,0.000924530026698274,0.174341059748854,-0.811071272690106
"Matk",0.27857685050776,0.464606218843375,3.31832705269648,0.000927716162026627,0.174341059748854,-0.813914969674594
"Rpl35",-0.378560493828892,0.955691558604303,-3.28972384489794,0.00102658730049769,0.187390313458456,-0.897574587389768
"Ftl1",-0.389928480357941,1.21666529554572,-3.28298975781582,0.00105124278484975,0.187390313458456,-0.917167053635968
"Resp18",0.273965940782483,0.429729211991842,3.27721576300924,0.00107281862725472,0.187390313458456,-0.933934728954955
"Islr2",-0.374452854310016,0.883366104304474,-3.27090460804196,0.00109687026635254,0.187390313458456,-0.952229096279122
"Dpp8",0.327717703945907,0.778979403623923,3.23646066052007,0.00123716509596703,0.203266599981604,-1.05146141853716
"Prox1",-0.134962919172294,0.0739412512603936,-3.23277378420121,0.00125312664916651,0.203266599981604,-1.06202197554742
"Kcnq1ot1",0.37722472851389,1.29878310626553,3.22172812229662,0.00130209290131047,0.203266599981604,-1.09358984808774
"Atox1",-0.16350759965747,0.13953680019125,-3.21315466604371,0.00134131165415095,0.203266599981604,-1.11801897653511
"C230004F18Rik",0.356247812817611,0.896408298449903,3.21255831159112,0.00134407981747235,0.203266599981604,-1.11971583952756
"Ranbp10",0.250598096257843,0.375799131530576,3.21084843174187,0.00135204602887857,0.203266599981604,-1.12457940106863
"Usp37",0.197917568337409,0.223976820496161,3.19576106058751,0.00142425030766928,0.207317477975344,-1.16738324061997
"Nkain3",0.412714653226649,1.27456177957883,3.16797866623802,0.00156659547902572,0.207317477975344,-1.24568426555635
"Ice1",0.171270435371062,0.164660383287622,3.16774026075999,0.0015678718084301,0.207317477975344,-1.24635326613704
"Rps8",-0.380912869694229,1.2677343168362,-3.16193027733404,0.00159927401547753,0.207317477975344,-1.2626415971676
"Kcnk2",0.299573376877534,0.551111889130206,3.15858641252094,0.00161760891014075,0.207317477975344,-1.27200279232841
"Frmd5",-0.335697517802524,0.891611614045978,-3.15543373041332,0.00163507270316045,0.207317477975344,-1.28081983261335
"Tmem191c",0.268523542794548,0.45023769038768,3.15497695567291,0.00163761729215167,0.207317477975344,-1.28209656563133
"Cox8a",-0.348074164679258,0.900592355486705,-3.1524182958414,0.00165193858270116,0.207317477975344,-1.28924492005884
"Csmd3",0.384998645309413,1.13501105403329,3.15217984505128,0.00165327909514031,0.207317477975344,-1.2899108101063
"Rpl32",-0.331024075333013,0.681401954731916,-3.15191148138732,0.00165478896880679,0.207317477975344,-1.29066017454019
"Tmeff2",0.358343113763505,0.879629066843102,3.13954764885695,0.00172574345483357,0.212662517212851,-1.32511612922721
"AY036118",0.332483358972906,0.677611149551685,3.12740712789813,0.0017981318645808,0.218008987516999,-1.3588199163526
"Dlx6os1",-0.285590904019728,0.30255691698389,-3.10638962579189,0.00193008723669671,0.22703711956088,-1.41686323592403
"Gm40841",0.276951231679103,0.477850587733003,3.10594046740994,0.00193300194916806,0.22703711956088,-1.4180994517565
"Arxes2",0.249496382973255,0.400325904512838,3.0817309845937,0.00209622225401511,0.232442476603058,-1.4844703732893
"Timm9",0.324867332827667,0.955984411169903,3.07843560272589,0.00211939284317825,0.232442476603058,-1.49346516196999
"B3galt1",0.29374039677476,0.583567436257521,3.06312691932348,0.00223014599149567,0.232442476603058,-1.53512600716978
"Atp6v0a1",0.350495455906959,1.25029835124806,3.0575279320533,0.00227196134904544,0.232442476603058,-1.55031187438425
"Ptma",-0.364444520105091,1.60110848601573,-3.05658535251697,0.00227907119295785,0.232442476603058,-1.55286569406172
"Hap1",0.253501948998163,0.406518230773858,3.05604148565901,0.00228318283816861,0.232442476603058,-1.554338890628
"Enah",0.287682255518159,0.594418242582421,3.05245959514683,0.0023104323680818,0.232442476603058,-1.56403486103864
"Btf3",-0.274790606936757,0.471885383996808,-3.0519109670263,0.00231463233652451,0.232442476603058,-1.56551897543464
"Ptprd",0.45929381093059,2.56534424869419,3.04958169532216,0.00233254190460211,0.232442476603058,-1.57181704604949
"Rps19",-0.341962472838264,0.939137850657321,-3.04752828279472,0.00234843567822982,0.232442476603058,-1.57736529406603
"Macf1",0.34387823864493,2.03637694387258,3.04704100334259,0.0023522218512212,0.232442476603058,-1.5786813649087
"Ptprk",0.429175449440686,1.12708542846601,3.04520214879967,0.0023665602454027,0.232442476603058,-1.5836459740428
"Prmt9",0.190451449158833,0.225504984337738,3.04307444865198,0.00238325084421974,0.232442476603058,-1.58938673132151
"Rmst",0.390062107802646,0.825928001076401,3.03944955534641,0.00241193470467454,0.232442476603058,-1.59915795918811
"Farsb",0.209351225524353,0.274346178251639,3.02645082510565,0.00251741431285318,0.239536751768575,-1.63410277072543
"Zcchc4",-0.152112874003149,0.137800479610777,-3.00542713751013,0.00269698561682955,0.244990478672537,-1.69030860543486
"Rhob",-0.220303895392594,0.315193920754879,-2.99784548183642,0.00276456649428481,0.244990478672537,-1.71048298207045
"Rplp0",-0.35628316590337,1.09335524773512,-2.99778916936769,0.0027650741910886,0.244990478672537,-1.7106326384351
"Sparcl1",0.226589757691755,0.318292949557104,2.99762792143142,0.00276652842707742,0.244990478672537,-1.71106115660541
"Sucla2",0.220004051501432,0.326985266931212,2.99389450921637,0.00280039485306101,0.244990478672537,-1.72097638234532
"Nup88",-0.213764647555787,0.304699285946297,-2.99011608202185,0.00283505511058061,0.244990478672537,-1.73099874708585
"Camk2d",0.340722255406285,0.899179065940191,2.98895654830761,0.00284577010478651,0.244990478672537,-1.73407193282408
"Tusc3",0.339589833479024,1.2519724661172,2.98850206047268,0.00284998001345755,0.244990478672537,-1.73527616994545
"Cox4i1",-0.331720575092036,0.993941172166551,-2.9843484468418,0.0028887193687726,0.244990478672537,-1.74627345266639
"Dgcr8",0.220343011182361,0.328725038929775,2.98283363759479,0.00290296680316013,0.244990478672537,-1.75028037011507
"Nhsl2",0.0941819300049312,0.0494317896669663,2.97838483202861,0.00294518170445996,0.244990478672537,-1.76203658208149
"Brd9",0.301424485174405,0.741973785289419,2.97584455344447,0.00296953729429597,0.244990478672537,-1.7687416414877
"Casc4",0.288575125655533,0.65794139577711,2.97260694043929,0.00300084537295945,0.244990478672537,-1.77727913088719
"Rab23",0.18220597672467,0.225723777130302,2.96915769239118,0.00303453137623111,0.244990478672537,-1.78636460631423
"Tspyl1",-0.170325288912846,0.188445568425626,-2.96522755836395,0.003073334384812,0.244990478672537,-1.79670407007211
"Dopey1",0.266078431045008,0.539582851646618,2.96293332211578,0.00309619468855806,0.244990478672537,-1.80273353877171
"Nicn1",0.243226137462254,0.429719943540595,2.95234061076991,0.00320376883357727,0.248351569054816,-1.83051245748314
"Slc43a2",0.248573393417207,0.464432548567298,2.95224554455478,0.00320474952751326,0.248351569054816,-1.8307613198886
"Rps21",-0.319387780345005,0.828430842146093,-2.94368496256791,0.00329419054186068,0.251668491344476,-1.85313861451011
"Gabrb1",0.313731718948681,0.759486115822802,2.94176961126599,0.00331451119370801,0.251668491344476,-1.85813654757505
"Zfp692",0.295016581089518,0.727035670545721,2.9258259673831,0.00348815000590064,0.258505093792673,-1.89961540661454
"Zfp932",0.242411436490618,0.425283593865277,2.92466311752027,0.0035011329947505,0.258505093792673,-1.90263196126094
"Pik3ip1",0.143307723294182,0.129889263698866,2.92217527544765,0.00352905720451481,0.258505093792673,-1.90908170932576
"Fuca1",0.178685167137569,0.209827491954239,2.91982501847885,0.00355562329860411,0.258505093792673,-1.91516978972234
"Abca2",-0.126750611106612,0.109238709391843,-2.91497075252875,0.00361107080799676,0.258505093792673,-1.92772891886864
"Rheb",-0.218812906996558,0.343970619156945,-2.91145801744113,0.00365168447819245,0.258505093792673,-1.93680432528054
"Smarcad1",-0.257772197659684,0.492808509523183,-2.91083267267619,0.00365895805991162,0.258505093792673,-1.93841881606236
"Braf",0.197401952188486,0.270375299295742,2.90905853664214,0.00367966542980126,0.258505093792673,-1.94299734773938
"Unc80",0.147731303617904,0.160558006967313,2.89972956348327,0.00379031683831445,0.261622393064892,-1.96702737808916
"Luzp2",0.303692152178854,0.622497174685163,2.89698722154777,0.0038234147960197,0.261622393064892,-1.97407674373395
"Ralgps2",0.280744668237499,0.660514623162398,2.89430192591891,0.0038560787670226,0.261622393064892,-1.98097308625775
"Pstk",0.244580856858621,0.464569342184311,2.89204072409898,0.00388378065383772,0.261622393064892,-1.98677537858473
"Nfu1",0.181095223693083,0.224981578968192,2.89029149934397,0.00390533433618462,0.261622393064892,-1.99126085485062
"Rplp1",-0.333100085281167,0.9798994554456,-2.886832459445,0.00394827657482015,0.261622393064892,-2.00012286136876
"Taf1d",0.30853147566961,0.980505136703432,2.87782031764292,0.0040621812383695,0.261622393064892,-2.02316260742381
"mt-Co3",-0.351448723824256,3.43209437448703,-2.8778068864083,0.0040623532015713,0.261622393064892,-2.02319689158906
"Trip11",-0.190224732832174,0.253689909216751,-2.87667857662836,0.00407682285094203,0.261622393064892,-2.02607641694684
"Cnnm1",0.0710304932475002,0.0368521761946724,2.87530459649373,0.0040945062420684,0.261622393064892,-2.02958140435195
"Scarb1",0.17339859455555,0.217109419268673,2.87434610972917,0.00410688338188868,0.261622393064892,-2.03202549982757
"Arfrp1",0.202742646544405,0.303981994619786,2.85429914411516,0.00437366721625471,0.276276104744426,-2.08295984811603
