"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arc",-1.5812374471179,0.881177957547049,-12.2465856374107,8.66520776842962e-32,1.42395359258604e-27,59.217661072676
"AC149090.1",-1.46128205872779,2.19348110730215,-11.9228862218042,2.45242732262209e-30,2.01503690963244e-26,56.0815252449431
"Mid1",-0.969207766312371,0.378503006343709,-11.6463453966902,4.06028079792703e-29,2.22408647841116e-25,53.4481838645252
"Btg2",-0.671902635880904,0.232806140760945,-9.17736656418806,3.51186795046758e-19,1.44276315075084e-15,31.9872155006843
"Junb",-1.09864183946736,0.67549120309953,-8.9067320955002,3.33790340513988e-18,1.09703533313327e-14,29.8775927028454
"Fos",-0.791065407059717,0.344239121322323,-8.37134614474993,2.44641539410664e-16,6.70032402855906e-13,25.8570053269068
"Dusp1",-0.630460784056232,0.311861746589733,-7.46106611401957,2.18913201579901e-13,5.13914377366074e-10,19.50460955417
"Gm47283",-0.580044195677925,0.298971399677689,-7.3237513957587,5.76598539930472e-13,1.18440547583468e-09,18.600937657788
"Malat1",0.232445097607537,6.35281683164562,6.26296197099281,6.08977008304242e-10,1.11192435305151e-06,12.1214222788601
"Egr1",-0.819303722442813,1.32620452310726,-6.16016868702275,1.13756408705097e-09,1.86935906425085e-06,11.5418145130999
"mt-Co1",0.51579123375479,0.425555382463682,5.87328195325283,6.20502297291767e-09,9.26974022854146e-06,9.97037535110363
"Npas4",-0.59998970781589,0.429427571858659,-5.83875680396628,7.57446771494776e-09,1.0372602329978e-05,9.78587691167238
"Camk2d",-0.601537040227155,0.459186961526941,-5.72265756263075,1.47006587672686e-08,1.85827635017327e-05,9.17277663385831
"Ptprk",0.644869029541921,1.09383187840237,5.05249602325572,5.37800942083569e-07,0.000631263062947092,5.85696158795218
"Nr4a1",-0.516093023438498,0.549860076615622,-4.99012931636868,7.3695836653574e-07,0.000807362455818788,5.56796272343727
"Fosl2",-0.278499849706495,0.12186514676328,-4.94746613008234,9.1239480426628e-07,0.000905639444719909,5.37220722966516
"Trib1",-0.289516049549805,0.146666738222618,-4.94215124513071,9.36887394890674e-07,0.000905639444719909,5.34793099639019
"Fosb",-0.186054052224411,0.0564130934138697,-4.85623506851812,1.43272174333253e-06,0.00130799535601019,4.95890471948274
"Coq10b",-0.377089555404196,0.333840156124789,-4.79327274165639,1.94785009659212e-06,0.00168468529669991,4.67789140927513
"Rnf112",0.590226069547111,1.27331973005634,4.76574724609028,2.22532802015129e-06,0.00182844076775731,4.556125751836
"Kcnip2",0.423629324188817,0.405054286084555,4.69967876433996,3.05516234696319e-06,0.00229372945110752,4.26655739390954
"Gadd45g",-0.173957368444602,0.0600369900957905,-4.69860953673829,3.07077514296632e-06,0.00229372945110752,4.26190252516932
"mt-Co3",0.29093037975015,0.18623459743729,4.67637915971935,3.41329699477373e-06,0.00237914456855151,4.16534964789411
"Nrp2",-0.269283954592388,0.144586849795874,-4.67262299586754,3.47468323770683e-06,0.00237914456855151,4.14907830710698
"Cpne9",0.547934343189111,0.866273182665477,4.61005317998466,4.66732173076574e-06,0.00306792392006694,3.87985143663459
"Mapk11",0.47985760570685,0.703404536363893,4.51802393570469,7.15841139985061e-06,0.00452439132822097,3.49011554414378
"Rsrp1",-0.362081857284294,2.66056736710383,-4.41239204446957,1.15875467048544e-05,0.00705252425929159,3.05197287636408
"Ggt7",0.464974771384088,0.72604410217363,4.35360491066354,1.50846435244739e-05,0.00838833234356483,2.81240519031394
"Phyhipl",-0.401523810778478,0.441060819572527,-4.35108423144103,1.52551527879443e-05,0.00838833234356483,2.80220140384278
"mt-Atp8",0.16593031089192,0.0734044330118685,4.34458930896417,1.57030205876956e-05,0.00838833234356483,2.7759357019744
"Siae",0.370252472228313,0.337922808632697,4.34034321482408,1.60025755903722e-05,0.00838833234356483,2.75878455238899
"Pcsk1",-0.391202637132286,0.389078399324432,-4.33572454368711,1.63346093223437e-05,0.00838833234356483,2.74014660662982
"Ier2",-0.2873119492847,0.193838949923787,-4.30147185820519,1.90105406556471e-05,0.00946667316952271,2.60251545406022
"Pex5l",0.561343136947068,1.35580436212942,4.28119846046124,2.07862746322427e-05,0.0100464956185778,2.52154511533111
"Gpr3",-0.153291381457846,0.0528772983602058,-4.24238983070412,2.46360869859325e-05,0.0115669947839951,2.36756488775945
"Clmn",-0.252389928442804,0.132268963853057,-4.23144448186549,2.58391893123905e-05,0.0117948721658476,2.32437929385598
"Dpy19l1",-0.432380818844498,0.577872805477095,-4.19792546213754,2.98815720473487e-05,0.0132714560392995,2.19279083568378
"Egr3",-0.385208275668814,0.402511984864072,-4.17651372530257,3.2771692302154e-05,0.0141720320947709,2.109256577459
"Dusp6",-0.369709996933511,0.393420299766407,-4.13103676166707,3.98169801094386e-05,0.0166590615508773,1.93319158323087
"Rasl11b",-0.387347520411398,0.449500877363695,-4.12208259492197,4.13642324158235e-05,0.0166590615508773,1.89874272830178
"mt-Nd4l",0.230537721657708,0.142970790608004,4.12094969428898,4.15640189609912e-05,0.0166590615508773,1.89438928428989
"Rab21",-0.224506056765527,0.131035617491512,-4.10456896119969,4.45572564386923e-05,0.0174335570251674,1.8315704333659
"Btf3l4",0.355975520303822,0.422541053335036,4.09437547055836,4.65221112225882e-05,0.0177790198539719,1.79260014085994
"Nrgn",0.524051500102621,1.58377721234201,4.04842544976389,5.64466837728771e-05,0.0210815535099929,1.61808345192484
"Erc2",0.48032477260516,1.30611524063224,4.01513791688066,6.48578699029077e-05,0.0236846528025441,1.49283826045269
"E2f6",-0.239209509695,0.175341735886519,-3.99983183969576,6.91124079270963e-05,0.0246896565101299,1.43558176183889
"Xndc1",0.257145434115474,0.207501351107273,3.97735878001194,7.58411121562591e-05,0.0265169573630597,1.35189563712234
"Tenm3",-0.360553617100532,0.410536624026357,-3.97180303693304,7.75977843417484e-05,0.026565924793499,1.33127672877883
"Mical2",0.447257865370291,1.9289877862854,3.95601954984832,8.2801044558246e-05,0.0277687666372583,1.27285085667344
