"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-0.893852681107962,1.1768728796621,-15.0759828256532,6.94934218078035e-51,1.19890051302823e-46,104.618050189559
"Tfap2b",0.130084424891682,0.0216763413219226,13.0274781606627,1.57615462754637e-38,1.3595909817215e-34,76.3612569801417
"Hbb-bt",-0.7954194955727,1.90978912828928,-12.4981372769477,1.28567761614022e-35,7.39350341121705e-32,69.7095859837451
"Igfbpl1",-0.684879684847893,0.983630644374682,-11.8971603530255,1.87857597587923e-32,8.10229818396713e-29,62.4836040416804
"Ptma",-0.57720427157285,3.07130022037613,-10.5970589571115,4.03154006379268e-26,1.39104258361103e-22,48.0430691595349
"Car8",0.142281367223971,0.0393609862038181,10.52967769816,8.21077591965885e-26,2.36087176943257e-22,47.3392395459122
"Sox11",-0.553208578758005,0.866203740975686,-10.0600732725952,1.03401048332471e-23,2.54839269404542e-20,42.5564374177063
"Pcp4",0.417277274205894,0.425516839339925,9.94187295970016,3.37737165694644e-23,7.28330197820499e-20,41.386371175293
"Pcp2",0.0530323420845664,0.00611838231161555,9.82062185577761,1.12153648418405e-22,2.14986082501592e-19,40.2002357368272
"Tmsb4x",-0.420177451567754,3.56337867719058,-9.51825234553374,2.10266235079881e-21,3.6275130875981e-18,37.3047120344664
"Luzp2",0.2563902725293,0.173485305188955,9.2903188656731,1.80709878168169e-20,2.83418801650659e-17,35.1809408802602
"Fxyd7",0.281655228444703,0.210797007490634,9.25634355943851,2.47950428758333e-20,3.56470066411564e-17,34.8687191414204
"Ptgds",-0.417021646891964,0.566332134426188,-8.97171024745369,3.35936432841176e-19,4.45813487644305e-16,32.29733603282
"Aldoa",0.422946987219827,0.580404192248176,8.89036868162107,6.97378786658228e-19,8.59369916244839e-16,31.5770463822614
"Sparcl1",0.294615527505205,0.25292283286498,8.84642451206135,1.03200650873945e-18,1.1869450859182e-15,31.190608240434
"H3f3b",-0.534370000793617,2.478226262355,-8.64705349787763,5.96659884846435e-18,6.43348520835668e-15,29.4611099079963
"Nefl",0.319316584366992,0.323743189313389,8.63377850912487,6.69689312917665e-18,6.79616472144445e-15,29.3473343357865
"Irx2",0.0439080478201966,0.00604219163606302,8.5802369778809,1.06506233271511e-17,1.02080307577783e-14,28.8901994829118
"Serpine2",0.247843895010882,0.194319760471543,8.41314292728894,4.45114400872197e-17,4.04163875991955e-14,27.4816205412746
"Nap1l5",0.285197082360499,0.276242690829129,8.28396483679758,1.32001828251869e-16,1.13864777050062e-13,26.4114269898227
"Malat1",0.620541450006119,2.43119688348009,8.21610302485898,2.32156652361753e-16,1.90722217454522e-13,25.8557740696466
"Hba-a1",-0.294732064005138,0.327125314621889,-7.84609514741007,4.6623754020209e-15,3.65615001980294e-12,22.905664325734
"Ywhag",0.424580191986707,0.835512321834325,7.81635756647684,5.8994710392846e-15,4.42511627694512e-12,22.6744017107881
"Rps8",-0.429916197978361,3.00692908743251,-7.73006139518422,1.1622469634724e-14,8.35461858909407e-12,22.0082162554635
"Tcf4",-0.379085525014282,0.676414323538272,-7.38731383262726,1.59942009239406e-13,1.10372781735929e-10,19.4345989092722
"Rbm3",-0.381778747835618,0.736959882700666,-7.36595735444413,1.87618282498813e-13,1.24491946525751e-10,19.278063619738
"Cd24a",-0.463658124908405,1.49194200891234,-7.33295913014512,2.39879715908417e-13,1.53274254031556e-10,19.0370814500012
"Nfix",-0.281639052090903,0.359198651494403,-7.30514152602519,2.94850096958657e-13,1.81669781168955e-10,18.8347656116389
"Tcf7l2",0.214449732408375,0.19875063549319,7.27887928248929,3.58013827485616e-13,2.08341298874345e-10,18.644461106952
"Gm42418",-0.393606305759608,4.4120706986854,-7.27726961961204,3.6229068897695e-13,2.08341298874345e-10,18.6328190729294
"Rps9",-0.457220983958802,2.28884550315318,-7.23505649669351,4.94218381868604e-13,2.75040500774102e-10,18.3284197656757
"Hmgb1",-0.455748573903779,1.76913221792133,-6.99211176905822,2.85424329616594e-12,1.53879391704546e-09,16.6106697292899
"Chchd10",0.188605449115652,0.161660421896677,6.98176145609086,3.07174282285193e-12,1.60586991454065e-09,16.5387793844917
"AW551984",0.164460081975649,0.124312675416981,6.95585315841568,3.68996283691249e-12,1.87233055477689e-09,16.3592907624536
"Hmgcs1",0.407861187212021,1.10600012627143,6.83865326012119,8.38961993026335e-12,4.11505541161668e-09,15.5556177284235
"Actb",-0.240308117987665,3.93931850145042,-6.8353082079115,8.586946140633e-12,4.11505541161668e-09,15.5328785982418
"Snhg11",0.173827986620559,0.120023424343635,6.74399245544109,1.6130227211973e-11,7.52104540164752e-09,14.9163923829673
"Atp1b1",0.312173942880129,0.544802983287148,6.72735319374505,1.80781430514495e-11,8.20747694535808e-09,14.8049443908742
"Selenom",0.193460596800106,0.186813781935497,6.70388186872074,2.12226304329301e-11,9.02158683622409e-09,14.6482004707197
"Rpl37a",-0.427069976959181,2.26392447177513,-6.70283708036366,2.13744021240708e-11,9.02158683622409e-09,14.6412359050471
"Rps20",-0.413774364333389,2.50130425666965,-6.70238689018323,2.14401263786916e-11,9.02158683622409e-09,14.6382352665977
"Rps27a",-0.427577489463626,2.11433017947351,-6.63096451268766,3.48084766765027e-11,1.42979961815006e-08,14.1647190585827
"Nfib",-0.27942719124701,0.462882666949572,-6.47573932018174,9.81028636271102e-11,3.93597814719745e-08,13.1529720993647
"Hap1",0.16451518616479,0.144949356761441,6.46477506986651,1.05459032942982e-10,4.1349528098462e-08,13.0824075176613
"Sncb",0.22953613967723,0.296038879543364,6.40194245574002,1.5924444178955e-10,6.10507802167402e-08,12.6803143575211
"Tubb2a",0.407224090502588,2.0741872649992,6.3311661860749,2.52164863918259e-10,9.45556429114124e-08,12.2320570386571
"Dnm1",0.15797281426922,0.139039458641891,6.32786432634327,2.57600000975909e-10,9.45556429114124e-08,12.2112657355729
"Uncx",0.0432786925238222,0.0101842658489694,6.31676056756203,2.76730381294155e-10,9.94615112101408e-08,12.1414260995008
"Ncald",0.183059422082311,0.19364149225785,6.28863150257115,3.31618008506378e-10,1.16756609852082e-07,11.9650471425697
"Stmn3",0.405143891413027,1.87215998833706,6.25040792072734,4.23532152988132e-10,1.46135534067025e-07,11.7266252544173
"Cnpy1",0.0207477926918284,0.00258374271819072,6.22732957964598,4.90612797639001e-10,1.65961803624863e-07,11.5833718214024
"Rps3a1",-0.389007027560795,2.36240723946088,-6.19905321170223,5.87040413849845e-10,1.94761946533414e-07,11.4085704907295
"Id2",-0.281065992156116,0.517022233717426,-6.19487749548628,6.02764579446585e-10,1.9620555706816e-07,11.3828236558517
"Map1lc3a",0.320186950991872,0.718908956691646,6.18169918336314,6.55132283364044e-10,2.09302632455491e-07,11.3016812104602
"Otx2",0.0509979576935982,0.0155166349482096,6.14493549515333,8.25807104951314e-10,2.59033166811274e-07,11.0762247330509
"Clstn3",0.132117057120716,0.1061844751429,6.11241659914191,1.01238421041801e-09,3.11886649966634e-07,10.8779135236134
"Fgf15",0.0345560904099901,0.0071979641083145,6.06638126453636,1.34841537270635e-09,4.08120386139121e-07,10.5989623414262
"Tubb5",-0.293260994485835,3.32669390170346,-6.0409694757085,1.5781752553885e-09,4.69425508723489e-07,10.445877271126
"Rps7",-0.354173222673359,2.80162385202798,-6.03146502695901,1.67356553408841e-09,4.89361908374463e-07,10.388784904013
"Atp1a3",0.175677452012648,0.201743095197264,6.02705834647412,1.71967736538794e-09,4.94464565127879e-07,10.3623446852971
"Rps15a",-0.366628307651261,2.54716355615938,-6.01206349287526,1.88604855431697e-09,5.3341163375535e-07,10.2725189675621
"Shroom2",0.103601861275439,0.0663424657628605,5.98198673600435,2.26836470987049e-09,6.31190773785254e-07,10.0930164693937
"Mdk",-0.176358453182337,0.199613878193778,-5.95099136050889,2.74109323374959e-09,7.50624451883299e-07,9.90896773509545
"Sox4",-0.315153030326064,0.775436577155861,-5.94131576636163,2.90739725920209e-09,7.83725273683663e-07,9.85170925914812
"Sybu",0.183293295434258,0.226354992920251,5.90577072251451,3.60696449826776e-09,9.57343869601776e-07,9.64215498812353
"Atp8a1",0.145058664971023,0.146718061212543,5.88757570789109,4.02595020443236e-09,1.05235898374041e-06,9.53537076767969
"Apoe",0.225330262682468,0.342928251425441,5.88420874338377,4.10851521049353e-09,1.05791200614081e-06,9.51564639770125
"Rpl30",-0.377776584928029,2.02278874696536,-5.81392976009366,6.26075398190652e-09,1.58839011317428e-06,9.10649841983878
"Rpl38",-0.375274268668514,1.73236710420759,-5.7976134597912,6.89926535767291e-09,1.72501631812425e-06,9.01220780805047
"Set",-0.288180695965283,0.646698230957414,-5.78342570692379,7.50561310308474e-09,1.8498119607774e-06,8.93043206761338
"Rpl36",-0.37541698930927,1.77434514462372,-5.77382535498261,7.94498205854501e-09,1.93051873907068e-06,8.87521032413932
"Nxph4",0.0841365630873916,0.0463457595972132,5.74628539959795,9.34874208087276e-09,2.24006247748912e-06,8.71730521203104
"Vsnl1",0.143974516937182,0.141646095800606,5.70606176347121,1.18409038654125e-08,2.79834621213831e-06,8.4880250544703
"Gng2",-0.342397209256485,1.16657119745726,-5.67375897836929,1.42993101165875e-08,3.33367159636984e-06,8.30505446259369
"Ccdc85a",0.070852654962862,0.036365145152482,5.64057427739181,1.73391018710783e-08,3.98845580639791e-06,8.11816428643292
"Epha5",-0.286627524525205,0.608359213467918,-5.63631494320666,1.77720587424798e-08,4.03425733454291e-06,8.09425545040762
"Rab6a",0.278530624297353,0.649184067537502,5.61550860705925,2.00424628049587e-08,4.49055283520971e-06,7.97772186003004
"Rpl34",-0.35959665071216,2.21051044965571,-5.60876798430727,2.08366414054946e-08,4.60863766061017e-06,7.94006043967433
"Lsamp",0.205777196761588,0.327719427569497,5.56293008468929,2.71074082107269e-08,5.87524791657789e-06,7.68514681713847
