"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arc",0.381209416530282,0.127559013565093,5.27396469183957,1.76858372199071e-07,0.00280444320796067,6.54284421751985
"Zbtb8b",0.167907152830325,0.031054699362975,4.92507807455761,1.04719985404955e-06,0.00675473990384724,4.9979599590027
"Npy",1.18009503365313,0.945745173953409,4.88467951308216,1.27793527852316e-06,0.00675473990384724,4.82539700131669
"Trappc10",0.40856299847009,0.203630415778434,4.70288504325301,3.07626057426545e-06,0.0121950659815318,4.06524224881126
"AC149090.1",0.838054646191837,1.74350233533315,4.60182962150327,4.95077055135451e-06,0.0157008737265657,3.65433707450462
"Trrap",0.586990124480689,0.640990886512114,4.29714170893614,1.96857900674495e-05,0.0455301427764098,2.46623056681186
"Rpl26",-0.388756349150734,0.220050554102753,-4.25159753411066,2.40275274510541e-05,0.0455301427764098,2.29522919845892
"Scg2",0.590180543121349,0.542761293430339,4.24312379749338,2.49301852622769e-05,0.0455301427764098,2.26360362325912
"Orai2",0.216529033068621,0.0734730234197207,4.2348589783282,2.58416651944055e-05,0.0455301427764098,2.23281528030265
"Cx3cl1",0.653740874745243,0.903362498287547,4.20169780720525,2.98283310200324e-05,0.0472987844984654,2.10985380493067
"2900055J20Rik",0.814971299173342,1.58370069945104,4.17586129922553,3.33335739213157e-05,0.0480518619700276,2.01468680709588
"Akap6",0.675098858616669,1.16656801254643,4.1347894743185,3.97246878886011e-05,0.052492864654129,1.86454721823567
"Dusp6",0.231960694017962,0.0919263884408555,4.02914586612991,6.19473365207971e-05,0.0755614550161754,1.48483886727475
"Psmd10",0.143546221384001,0.031742246879563,3.95479861110865,8.41866355657635e-05,0.0953533914404508,1.22322349023601
"Bdh1",0.325660444297288,0.213881231894983,3.76797388285697,0.000178071114795301,0.15641445705884,0.58635249274156
"Hmgcr",0.425128438412347,0.391943218468654,3.75575727295848,0.000186809367553208,0.15641445705884,0.545733620661325
"Fos",0.169683429213813,0.0558510816768018,3.75360862369665,0.000188387413350261,0.15641445705884,0.538602662138287
"Pcdhga6",0.212412344976224,0.0787101529423709,3.74254209232078,0.000196715887828941,0.15641445705884,0.501936854248392
"Rhobtb2",0.442974722552713,0.431975614769421,3.74191986795267,0.000197194308486903,0.15641445705884,0.499878369749206
"Syngr3",0.421760875827607,0.367364967882921,3.72458563521265,0.000210971208453318,0.15641445705884,0.442663917662164
"Bsg",0.493443788996114,0.52319028777134,3.71961971242712,0.000215081924799722,0.15641445705884,0.426319994654792
"Lin7a",-0.407495077728855,0.344203117484851,-3.7019057708844,0.00023036743788169,0.15641445705884,0.368189859314787
"Dner",0.595764792272031,0.722860487300866,3.70151803609473,0.000230713173641959,0.15641445705884,0.366920442789412
"Rfx5",0.232308199782134,0.10224860678851,3.68818990335918,0.000242898642317774,0.15641445705884,0.323362594264907
"Atp6v0c",0.618651119346843,1.12611351776604,3.66836929505981,0.000262143593207686,0.15641445705884,0.25886533448758
"Gm35339",-0.139956770326398,0.0371991097041458,-3.6659482249865,0.000264590164131625,0.15641445705884,0.251009903937583
"Epha5",-0.69185391627152,1.60785497389018,-3.66423956221243,0.000266329718142692,0.15641445705884,0.245468953480191
"Tmx3",0.426384187715003,0.409416732147306,3.62364597115421,0.000310956519136908,0.176101340141212,0.114559057974236
"Uck1",0.214546387239938,0.104001907423255,3.57953349172706,0.000367357327120075,0.191391664752982,-0.0261102952299197
"Gm20517",0.117178295718688,0.0272974796119004,3.57368873474256,0.000375511712377905,0.191391664752982,-0.0446242577127824
"Rnft1",0.393639283588491,0.369043579401525,3.56893758506947,0.000382264947833116,0.191391664752982,-0.0596526521477951
"Tcaf1",0.547294923348177,0.896044389965182,3.56618085711757,0.000386235307567347,0.191391664752982,-0.0683636628877169
"Slc9b2",0.107410512649639,0.0272551759267345,3.53062400377058,0.000441030710807104,0.21192193882631,-0.180139646143544
"Wtap",0.232327825673555,0.117983972707503,3.51218940876792,0.000472223698783139,0.220236799753066,-0.237666015334719
"Pcdh8",0.225290602429542,0.0989077218145098,3.49619268147101,0.000500950922197658,0.226959393522522,-0.287349855934935
"Tmem178",-0.369375385205689,0.330377076999727,-3.46090977956881,0.000570181946424394,0.243014819890058,-0.396161613815255
"2610044O15Rik8",-0.299767761190333,0.207391825710631,-3.45786927482881,0.000576548041883509,0.243014819890058,-0.405488687313818
"Thoc2",-0.433269350209075,0.501692190867992,-3.44728161047781,0.000599237361969836,0.243014819890058,-0.437905803137891
"Hrh3",0.253719452791526,0.150925908045106,3.44600241568177,0.000602034367091545,0.243014819890058,-0.441815928491163
"Trpc7",0.140380005845108,0.0436382474993135,3.43652614227984,0.000623136909125728,0.243014819890058,-0.470738548936692
"Atg4d",-0.387615627167857,0.378356726186815,-3.43178880550761,0.000633943077080894,0.243014819890058,-0.48516861977996
"Banp",-0.231142038844614,0.120631295132968,-3.42613417549606,0.000647070297500775,0.243014819890058,-0.502367656447798
