"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gria4",0.847016717274738,0.387733185458865,5.74893916435904,1.53137003300425e-08,0.000231512521589583,8.56641468710837
"Snhg11",1.63245658894694,0.916075639464063,5.45553971915548,7.55991979284575e-08,0.00057145433714121,7.18943769758731
"Tmem91",0.395575474643269,0.100713152896765,5.23178719072398,2.43739797924899e-07,0.00122828608834287,6.18203065295493
"Nefl",0.698449757164867,0.328466698983994,4.979083067058,8.70138416701769e-07,0.00328868814592434,5.08949581286532
"Gm42418",-1.02287024753318,3.74040062996073,-4.92493969148889,1.13501859897007e-06,0.0034318422358459,4.8617265534927
"C130073E24Rik",0.685563526711388,0.287806553971232,4.71842358894403,3.05800332127983e-06,0.00770514903518475,4.01363633789931
"Cntnap5a",0.395295068546986,0.116250813278524,4.67946941730227,3.67183621918873e-06,0.00793011713738503,3.85736073599089
"Grm7",0.420359630558647,0.140538908223123,4.50740505087522,8.11212855589738e-06,0.0153298949385071,3.18122728680929
"Ttr",-0.968645201864019,0.970514777653054,-4.45849753762829,1.01156507972113e-05,0.0169920454169156,2.99327683471413
"Grid2",0.458045601763584,0.172124627747454,4.41362791383833,1.23640512981647e-05,0.0186919727525654,2.82250062619403
"Cntn5",0.66553138477751,0.351641485119741,4.29547943357471,2.08024988357862e-05,0.0285901979454015,2.38043485690228
"Cnpy1",0.199660952389009,0.0376084647797338,4.25253356030399,2.50589505509229e-05,0.0315701012024044,2.22249337939131
"H3f3b",-0.887028425786748,2.47755711923455,-4.18185296323268,3.39255110943001e-05,0.0378156866722231,1.96575268120882
"Ppp2r5c",0.33275111746125,0.0952933607441818,4.17439183546975,3.50191568601087e-05,0.0378156866722231,1.938883668973
"Myo16",0.44787551300423,0.208929672796554,4.07802657708176,5.25297100359905e-05,0.0529429437549403,1.59586127518131
"Ece2",0.252766559655353,0.0699012482575536,4.04644904127179,5.98900306327426e-05,0.0565885926941127,1.48508001593045
"Tmem196",0.264238780346695,0.0765422491395308,3.99268883220925,7.47223372100483e-05,0.0622049409614146,1.29832490124027
"Grm5",0.563060219995614,0.32231489865725,3.98443923577084,7.72859569393225e-05,0.0622049409614146,1.26987340544094
"Mob1b",0.473838014224775,0.244853408184647,3.97687017411626,7.97112691940547e-05,0.0622049409614146,1.2438173273714
"Osbpl9",0.681934848142131,0.631858733768821,3.93268060642694,9.53747978201655e-05,0.0622049409614146,1.09262201667422
"Spock3",0.408975025356386,0.166170752649334,3.92986609129062,9.64653308553491e-05,0.0622049409614146,1.08304565137168
"Tmem18",0.213733752838081,0.0538733252263798,3.92904724062337,9.67848195803694e-05,0.0622049409614146,1.08026072361749
"Cacna1b",0.345757975701208,0.137538247903768,3.92545444138476,9.81984919630918e-05,0.0622049409614146,1.06804796136972
"Meg3",1.5271313462,1.98756351019968,3.92406339671147,9.87510638360862e-05,0.0622049409614146,1.06332228496182
"Kcnj6",0.305662213800155,0.0956441104662859,3.86979611577476,0.000122756464452545,0.0732307659905246,0.880189628993183
"Mdga2",0.516199662700727,0.309484816403091,3.86336365182457,0.000125942579425429,0.0732307659905246,0.858640871173697
"Pfkp",0.535132612716527,0.346840386914095,3.80874098456676,0.000156329932507153,0.0875331822090049,0.677011348423366
"Ccdc90b",0.458906219016164,0.255124791674988,3.79097389021831,0.00016762264256557,0.0882161272369944,0.61845657345712
"Gm20754",0.518644221206066,0.290423332216685,3.78855248254327,0.000169219982132083,0.0882161272369944,0.610496305186776
"Lingo2",0.6259377519864,0.419830610795749,3.77157626944201,0.000180828594907169,0.0911255565935529,0.554822123104378
"Negr1",0.657920706417565,0.54182923173737,3.72752110052831,0.000214555221132826,0.104486854666671,0.411439507925348
"Vsnl1",0.367331635847585,0.167729270407692,3.71965860308015,0.000221165455042563,0.104486854666671,0.386017001921905
"Hap1",0.372625076034856,0.165351622668433,3.71059010986292,0.000229027614426869,0.104922408330467,0.356757879611122
"Zbtb20",-0.807206020588316,0.846716732152934,-3.67571686966942,0.000261780486897311,0.116399923556281,0.24486844513398
"Dzank1",0.255613578278287,0.0891550548159202,3.64051635119836,0.000299271367140805,0.123625316005955,0.132940507846629
"Shd",0.330026802477523,0.142429209742878,3.63175519843672,0.00030935698598982,0.123625316005955,0.105240603973662
"Atp1b2",0.300468389214027,0.118715177247436,3.63075112156451,0.000310533023886978,0.123625316005955,0.102070069570622
"March1",0.616364111944428,0.521741782435823,3.62647896470099,0.000315583928899718,0.123625316005955,0.0885893101266113
"Tagln3",-0.634555810061489,0.548805707004449,-3.62369479917716,0.000318917007820626,0.123625316005955,0.0798119713950873
"Fabp7",0.890744420865994,1.62713247265812,3.58031473467059,0.000375311269861964,0.141848894444329,-0.0561239204275079
"Ccnt2",0.607075467316887,0.575110393100835,3.55008536171479,0.000419997956708698,0.15486656364688,-0.149934384569978
"Uba52",-0.762786044171082,2.64942446834849,-3.54269114851379,0.000431662893955308,0.155378086448008,-0.172766050937544
"Tpt1",-0.780876656524369,2.32932341455369,-3.51784476035291,0.000473120293165171,0.163460546229752,-0.249155489023958
"Grk3",0.300730182492695,0.121774758392044,3.5146699009087,0.000478678331361499,0.163460546229752,-0.258879757570181
"Rala",0.639873450424172,0.617982724956046,3.50929830063556,0.000488221381073478,0.163460546229752,-0.275313450825938
"Cntn1",0.400511827439712,0.221150949658279,3.50424210776823,0.000497366392814432,0.163460546229752,-0.290760409567708
"Adarb2",0.628839415713551,0.363826825682713,3.46720669302287,0.000569397743621448,0.181039273902539,-0.40326108581229
"Arid5b",0.337727078043856,0.173022976512986,3.46460680498074,0.000574803885918895,0.181039273902539,-0.411115998189674
"Unc5c",0.374219051861681,0.184920388742986,3.43997597501239,0.000628452516722013,0.187695298456955,-0.485254094246864
"Tmsb10",-0.394862261987565,4.28174512764824,-3.43406242266014,0.000642010662930769,0.187695298456955,-0.50297886805
"Nrxn3",0.674439032735167,0.599332737580267,3.43248857609178,0.000645664758907499,0.187695298456955,-0.507691295029176
"Lnx1",0.214129644795307,0.0655244289676333,3.41689545732153,0.000682931348102704,0.187695298456955,-0.554269348465392
"Rcl1",0.236590315594448,0.087772524821566,3.41382909544872,0.000690491759064664,0.187695298456955,-0.563405111806167
"mt-Nd2",0.733095535565368,1.11079176665161,3.41253906315269,0.000693695713337705,0.187695298456955,-0.567246236635309
"Id2",-0.58540830375521,0.482059208583028,-3.4111478176378,0.000697166570119652,0.187695298456955,-0.571387179932277
"Rpl18a",-0.793441843660287,1.88856021731884,-3.41109740156282,0.000697292650706088,0.187695298456955,-0.571537209627765
"Ccdc85a",0.273712678408967,0.112632152989747,3.40221786534811,0.000719833089794698,0.187695298456955,-0.597928291019855
"Zfp583",0.214142446732411,0.066300846701731,3.39044852880167,0.000750756245466385,0.187695298456955,-0.632807311457132
"Nebl",0.358551940450052,0.176679728971281,3.38959750577985,0.000753039545846771,0.187695298456955,-0.635324900142749
"Cntn4",0.295836794621063,0.112975389223958,3.38856893293171,0.00075580784507006,0.187695298456955,-0.638366932867399
"Il6st",0.263116057358572,0.0919967757629185,3.37991809796814,0.000779468549703344,0.187695298456955,-0.663917226786181
"Rgs6",0.307156815517634,0.126731585975366,3.37967297806712,0.000780148910983043,0.187695298456955,-0.664640283791095
"Sox14",0.175962247170156,0.0386192206563527,3.36381048578594,0.000825371426501422,0.187695298456955,-0.711325402142198
"Luzp2",0.598847582960316,0.489381404824408,3.35767467598415,0.000843509212153318,0.187695298456955,-0.729327661425248
"Gm5468",0.388145708622714,0.2403102814168,3.35622167748102,0.00084785830999917,0.187695298456955,-0.73358612347706
"Rundc3b",0.354985636045682,0.204064318308011,3.35286130445651,0.000857996558701643,0.187695298456955,-0.743428008085643
