"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Myh10",-0.781808786264837,0.373472849649117,-3.68883432473501,0.000281959659540245,0.909471744718888,-2.48953993196073
"Rpl3",1.01538454850317,0.867793851898654,3.43579012636641,0.000702372748570175,0.909471744718888,-2.78517783468195
"Nrsn1",0.464985041206592,0.139482641142919,3.35864102517883,0.000918419525123629,0.909471744718888,-2.8718293438617
"Ptpre",-0.843786336130916,0.539288946086972,-3.35038771273877,0.000944885718792822,0.909471744718888,-2.88100109568444
"Bin1",-0.397641463558641,0.10750922043261,-3.31881175039678,0.00105284665125248,0.909471744718888,-2.91591476032331
"Tmem57",0.879200424524694,0.625478821204941,3.28019584799775,0.00120048158580224,0.909471744718888,-2.95823145006567
"Appl2",-0.345776873232084,0.0823382356829989,-3.23798320850483,0.00138375674930281,0.909471744718888,-3.00400719850395
"Snx13",-0.633480320557287,0.299687873164051,-3.22256527257184,0.00145694057301961,0.909471744718888,-3.02060032405237
"2310035C23Rik",0.694355435695078,0.372394343906049,3.20454778944047,0.00154700738782364,0.909471744718888,-3.03990525045479
"Tfpt",0.380261566835855,0.10148690494249,3.17995601289835,0.00167828246548896,0.909471744718888,-3.06610442343961
"Ncbp2",-0.591724900316965,0.269374576440148,-3.17142103071563,0.00172620439022623,0.909471744718888,-3.07515675531287
"Ano4",-0.419939447458237,0.128673289120706,-3.16628115064816,0.00175567149888718,0.909471744718888,-3.08059809772939
"Gm42047",-1.07197520450054,0.758010035416982,-3.15468254744467,0.00182388526114068,0.909471744718888,-3.09284906731222
"Zdbf2",0.431666844127281,0.133755728291114,3.13681193440258,0.00193379838860667,0.909471744718888,-3.11164898249286
"Arhgap35",-0.729414905547309,0.474964644164106,-3.09298279817954,0.00222979703296211,0.909471744718888,-3.15736654743924
"Arhgap44",-0.524177762739693,0.22172521311227,-3.08492262972189,0.00228858341632452,0.909471744718888,-3.16571336499197
"Sorcs1",-0.912609078573593,0.872383389003194,-3.02141027765627,0.00280426114666686,0.909471744718888,-3.23082191260251
"Rgs7bp",-0.573028451700286,0.279835959236388,-3.02116224725327,0.00280646938132414,0.909471744718888,-3.23107386397117
