"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-1.23808269432552,1.05900205040731,-4.79617755758436,2.19406579331761e-06,0.0302671376188165,3.75935844728645
"Reln",0.490536575725723,0.141345226098706,4.23209171680527,2.8007979139836e-05,0.167501094767094,1.76337826487945
"Rora",0.328764909607129,0.077094666100387,4.17028850254884,3.64264794709156e-05,0.167501094767094,1.55842761516778
"Lrrtm3",0.416729574774228,0.137974783223943,3.94810036271554,9.12263946982882e-05,0.314617028715721,0.844444565546366
"Hap1",0.497246268620637,0.201883072509746,3.82148146141222,0.000151062126639719,0.416780407398985,0.453685338208956
"Tmsb4x",-0.845529696566511,3.31998127558327,-3.73063625605987,0.00021509616816975,0.494541939983618,0.180602801839615
"Cebpg",-0.335052697617357,0.0942672944252089,-3.6434546300343,0.000299933885955418,0.589873023069266,-0.0757169124852846
"Calr",0.644242688559527,0.410644897919813,3.55524977915427,0.000417081511670095,0.589873023069266,-0.329284489882195
"Ep300",0.356288386983259,0.131448664628927,3.55122621200339,0.000423334327313638,0.589873023069266,-0.34071262437128
"Gabrb2",0.279831613467056,0.0741626288362214,3.53935471840499,0.000442298845849519,0.589873023069266,-0.374360580205392
"Cadps2",0.242763660947344,0.0589757540565989,3.50379227918948,0.000503979793474449,0.589873023069266,-0.474524881771663
"Nt5c3",0.477707416362782,0.208214730616213,3.47874393211438,0.000552157589282245,0.589873023069266,-0.544505831329642
"Cbx6",0.29756063822308,0.0886709417954361,3.47065736399784,0.000568608416265147,0.589873023069266,-0.566997711639519
"Snx8",0.198556094863121,0.0389063540758511,3.45233852198458,0.000607583725582502,0.589873023069266,-0.617767630732825
"Fam222b",0.209009766591168,0.0512779098250467,3.43731332353332,0.00064139872026379,0.589873023069266,-0.659220831835373
"Arrdc2",0.191989024885576,0.0383005268688948,3.41003444583381,0.000707320780520649,0.609843135455147,-0.73404614860714
"Fau",-0.91200767376611,2.34312564483931,-3.31073785246558,0.00100441517196283,0.767149934169894,-1.00166803696801
"Rbbp7",-0.506934525081519,0.27131885798865,-3.25198880203526,0.00123104098100667,0.767149934169894,-1.15648945754847
"Deaf1",-0.334400201736793,0.120082752301337,-3.2259577684921,0.00134588428546261,0.767149934169894,-1.22425033136163
"Mtmr14",0.265328466951152,0.0864467683241744,3.17884734202453,0.00157928447053877,0.767149934169894,-1.34557012077865
"Fn1",-0.224447964640412,0.0524279349236841,-3.1781087942478,0.00158322451774227,0.767149934169894,-1.34745856831073
"Zic4",0.251753929756691,0.0694868788748832,3.17607178120932,0.00159413879730805,0.767149934169894,-1.35266499996521
"Id2",-0.605545812934335,0.423816213304466,-3.14928748168417,0.00174426167034717,0.767149934169894,-1.42082860849641
"Gm26601",0.151156955542597,0.0307339974243731,3.14881662644004,0.00174701374144038,0.767149934169894,-1.42202198950293
"Grid2",0.387104043124981,0.200675862217177,3.13404206052727,0.00183543042474489,0.767149934169894,-1.45938196490203
"Got2",0.418287915433433,0.188397677266853,3.13197580834758,0.00184811933779774,0.767149934169894,-1.464593524289
"H2afy",-0.558430528877448,0.368093977981688,-3.12340529268541,0.00190161915789944,0.767149934169894,-1.4861754442216
"Mdm2",0.34949415499832,0.158910885419842,3.11666381224785,0.00194470034017174,0.767149934169894,-1.50311206108168
"Gpr162",0.241757610878364,0.0734830378746062,3.10999311399528,0.00198821249750684,0.767149934169894,-1.51983660235435
"Sept4",0.15884030583018,0.0277450315860579,3.09924083823255,0.0020602392364568,0.767149934169894,-1.54672258953688
"Sema6c",0.168766256074942,0.0388276718415688,3.09416406789602,0.00209507519115043,0.767149934169894,-1.55938623080487
"Cdc25a",-0.218258543906061,0.0685560425666253,-3.08799284245242,0.00213815075545903,0.767149934169894,-1.57475331047423
"Itm2b",-0.755466761620217,0.920162821576721,-3.05796677409773,0.00235959691571708,0.767149934169894,-1.64910496735598
"Gskip",-0.216153387569375,0.0611030334571151,-3.05554995047499,0.00237830737351216,0.767149934169894,-1.65505950789942
"1810037I17Rik",0.437949494669511,0.222399231635003,3.04523889029554,0.00245967391946719,0.767149934169894,-1.68041337907718
"Gins3",0.13555192970473,0.0263576451519061,3.04139936555137,0.00249061975520559,0.767149934169894,-1.68983352065249
"Mtmr7",0.241854509590526,0.0666819616618416,3.02971698296866,0.00258698861585709,0.767149934169894,-1.71842616837296
"Ezr",-0.287917093504521,0.0943088714944513,-3.02124250031661,0.00265902306652664,0.767149934169894,-1.7391018164683
"Gli3",-0.20212093553324,0.052865977117766,-3.0187953823022,0.00268016359477284,0.767149934169894,-1.74506190417887
"Ssr2",-0.4098764858424,0.205734212368844,-3.01092072726819,0.00274924252510088,0.767149934169894,-1.76420978747109
"Rnps1",0.428618399193364,0.220122591825152,2.99948567561912,0.00285246259960172,0.767149934169894,-1.79193011468794
