"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC149090.1",1.03162666623733,2.05517285182235,6.36131275229888,4.19541323926359e-10,3.15453121460229e-06,12.4123065923899
"Mat2a",0.922454725474453,1.38986258164233,5.71188712918677,1.82591718496819e-08,4.97598415167794e-05,8.94076563394459
"Dlgap2",0.877686014585614,1.87370179007708,5.69678519078449,1.98536407168956e-08,4.97598415167794e-05,8.8639301260858
"Srcin1",0.850346980877567,1.28272370534443,5.39154295319334,1.03610305205526e-07,0.000138076593794494,7.34966378633761
"Trim9",0.866438405541659,1.2948459529758,5.38670190802642,1.06295709039277e-07,0.000138076593794494,7.32624683932527
"Gm26917",0.955929867718455,2.03553126434638,5.37990188475093,1.10182146930039e-07,0.000138076593794494,7.29338577295612
"Mir124-2hg",0.86552313054762,1.32084181760999,5.26790851033295,1.97958363172217e-07,0.000212635561813128,6.75753416561007
"Cd47",0.832263857059849,1.11854543510942,5.19465374995945,2.88784647528066e-07,0.000271421470595442,6.41251806390518
"Srsf7",0.809905585613292,1.33184542390736,5.10451135864106,4.5679184041337e-07,0.000361678486190204,5.99394918437548
"Dpm1",0.578261465794722,0.394821967737185,5.08577193367603,5.02051007243674e-07,0.000361678486190204,5.9077662037672
"Tra2a",0.812957523398537,1.55305610913183,5.07297497628504,5.35418227710922e-07,0.000361678486190204,5.84907770165227
"Abat",0.710801959060355,0.668366246279176,5.05798863307527,5.77223278931035e-07,0.000361678486190204,5.78051873171029
"Nktr",0.748078105358005,2.1409455630849,5.02562809542749,6.7852968003468e-07,0.000392451128013904,5.63310447901818
"Gpi1",0.816614555703716,1.40038820677891,4.95375988650407,9.68642556138743e-07,0.000520230241400515,5.30879313432084
"Tmem191c",0.768194120522268,1.18775270234741,4.89031993524795,1.32147877407826e-06,0.000662413260152963,5.02604996259782
"Mfn1",0.720323714236998,0.888435192389614,4.86152051129618,1.51988929249359e-06,0.000714252974391207,4.89879218401752
"Macf1",0.705339781812636,2.18736314551204,4.7797632005924,2.25225898144068e-06,0.000996160898908968,4.54127187105172
"Mid1",0.476341243937231,0.278671340105846,4.72834808994492,2.87590670001273e-06,0.0012013301376331,4.31928221968124
"Fdxr",0.483361151303748,0.303748779744018,4.68128710786624,3.58993793697943e-06,0.00138425786271035,4.11802440376419
"Gpatch8",0.743968332283768,1.30554100236536,4.6758866401807,3.68202650009403e-06,0.00138425786271035,4.09504748694484
