"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arhgdig",0.485593558325307,0.195465068755882,3.9721671727337,8.12742525277294e-05,0.636214645810194,1.10634024029892
"Eef1a1",-0.612674948705389,3.6993062684244,-3.78340183856102,0.000172700871748199,0.636214645810194,0.495474504982154
"Ywhag",0.857861002207967,0.937949296741824,3.74991650955309,0.000196770670962871,0.636214645810194,0.390024255609807
"Naxd",0.416561144946753,0.189002080782889,3.74682828043764,0.000199143042548654,0.636214645810194,0.380343327839079
"Ano3",0.167612496348683,0.0375103320423759,3.63780257048541,0.000302415334781894,0.636214645810194,0.0433837804384414
"Zfr",0.495958732206715,0.259454502745203,3.61485571130919,0.000329776011495043,0.636214645810194,-0.0263418771148052
"Slc2a3",0.229698511832861,0.0658987733041539,3.61415871067334,0.000330642357950031,0.636214645810194,-0.0284532466857632
"Ptma",-0.797461033529873,2.94014633389377,-3.56398069785862,0.00039893691166248,0.636214645810194,-0.17944299711939
"Fdx1l",0.244167785441895,0.0650484232281897,3.55872033287882,0.000406815759310248,0.636214645810194,-0.195156317565416
"Brinp1",0.39159488946515,0.195557665511492,3.47651281836,0.000550515885032858,0.774851108183748,-0.437864532549458
"Zfp212",0.219887513115652,0.0602231200827621,3.42750176007271,0.00065746482625462,0.813276887209372,-0.580005013923642
"Rps27a",-0.92092382479309,1.87109762286739,-3.40415274921023,0.000714963368928742,0.813276887209372,-0.647047286750284
"Dtna",0.266414271212903,0.0928391978486167,3.34365415513905,0.000886470066839688,0.813276887209372,-0.818730319340491
"Spryd3",0.33083063767126,0.135408607792883,3.34257441370689,0.000889852525999202,0.813276887209372,-0.821767806583156
"Mbd5",-0.205362761545179,0.0622754884087066,-3.30019874294296,0.00103247529634703,0.813276887209372,-0.940239444135189
"Higd1a",0.413018841107978,0.222793346198859,3.29119199102653,0.00106540313878119,0.813276887209372,-0.965234432106825
"Rmst",0.338905544187058,0.154641777295266,3.28693951961527,0.0010812860173775,0.813276887209372,-0.977012999046403
"Chd3os",-0.576443443963309,0.450230367157332,-3.2511219428022,0.0012240454683664,0.813276887209372,-1.07564464157334
"Med12",0.144580005112329,0.0282148356938679,3.23571284853745,0.00129067603648457,0.813276887209372,-1.11775968544826
"Crtc1",0.148393943403269,0.0289474352911255,3.22037925825925,0.00136029929718975,0.813276887209372,-1.15947868985705
"Uba52",-0.716430024050008,3.00574597719596,-3.19664851816427,0.00147492775167339,0.813276887209372,-1.22367101682614
"Rpl37",-0.834856549021866,2.09584318428908,-3.15681347116368,0.00168760018502986,0.813276887209372,-1.33040516436939
"Nfix",-0.537654293943214,0.4014001646135,-3.15251443703041,0.00171216926917135,0.813276887209372,-1.34184744941585
"Ptpn5",0.305235536007536,0.150395094275528,3.14550570868224,0.00175293269748927,0.813276887209372,-1.36046983892573
"Tfap2b",0.165196121669404,0.0319632342693671,3.1191658075154,0.00191425998519609,0.813276887209372,-1.43010081910817
"Draxin",-0.224829581251759,0.0731359013791242,-3.11688516813558,0.00192885299495302,0.813276887209372,-1.43610343104173
"Rbbp8",0.131218893560654,0.0310377932973335,3.11391311186805,0.00194802388457633,0.813276887209372,-1.44391952989765
"Snta1",0.183920036064929,0.0585853755689919,3.0923747310367,0.00209228355387945,0.813276887209372,-1.50034894829934
