"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ptgds",0.242920274605426,0.115394701177862,6.46831437694313,1.19765059749863e-10,9.00992544498217e-07,13.3002808975416
"Rap2b",-0.338899469215355,0.3514013146713,-5.66955188285171,1.6039402022217e-08,4.11249829111896e-05,8.88375983277347
"Islr2",-0.419690759487635,0.531961276906467,-5.66569318832156,1.63997007488461e-08,4.11249829111896e-05,8.86379214543196
"Nnat",-0.434203935205248,3.58764349446376,-5.30712087743575,1.21616866274037e-07,0.000228730921244895,7.06602060820962
"Gm42418",0.387835969141956,3.01136971332369,5.14622135843224,2.87396677488997e-07,0.000432417040949945,6.29655180025394
"Hmgcr",-0.44271018480458,1.45213869250799,-4.91145200772778,9.65078966137329e-07,0.00121004817704185,5.2153414460256
"Podxl2",-0.418640677991972,1.79465819296989,-4.85885861384663,1.25702587606018e-06,0.00135094366651439,4.97989701601375
"Lamp5",0.106236946062718,0.0375029616426231,4.82064102899384,1.52070810269632e-06,0.00143003588207305,4.81036553067574
"Ptov1",-0.341846455530187,0.604405032150372,-4.70183700384286,2.72484416128902e-06,0.00227766695837526,4.29173221892752
"Ebf1",0.401902898674391,0.491908971699625,4.47692715038649,7.92769476683237e-06,0.00596400477308799,3.34466481841151
"Gm42047",-0.150867856996079,0.0847501169379837,-4.40528736559934,1.10297129809236e-05,0.00754332097777164,3.05256929419088
"Dlx6os1",-0.265839757212102,0.250707194445801,-4.32842548609325,1.56356974714152e-05,0.00980227933978804,2.74433156386259
"mt-Nd5",-0.36167782477407,0.883812850866509,-4.19944067582875,2.77366014870595e-05,0.0160509579220884,2.23905836045451
"Lrba",0.194775620953452,0.198606867428886,4.13669627001488,3.64507379585376e-05,0.0195870644044342,1.99870826529472
"Adcy9",-0.155039069498912,0.132445965547535,-4.11918454456968,3.93130608474908e-05,0.0197168104503782,1.93226339630261
"Frmd5",-0.337589411039398,0.929417800635676,-4.05781003183241,5.11232466215661e-05,0.0240375115208776,1.70158152276003
"Bmt2",0.151290946362393,0.131297970583978,4.03361239250932,5.66469685515013e-05,0.0250679496713496,1.61157019851908
"Dlx1as",-0.174797537447662,0.139370084318038,-4.00133961011208,6.48986072198724e-05,0.0271240123397278,1.4923463707997
"Cntnap1",0.0957181903294648,0.0528972927035755,3.97103794181751,7.36720552897976e-05,0.0277773434251526,1.3812637063684
"Itm2c",0.203585042444253,0.249389070176377,3.97047094774971,7.38464533434868e-05,0.0277773434251526,1.37919310129349
"Gm47283",-0.159360874619563,0.156039045649678,-3.94381314899243,8.25014014017687e-05,0.0289149990555686,1.28217058534048
"Ptprs",-0.33181262215199,1.84066362027866,-3.92458318967013,8.93311766665192e-05,0.0289149990555686,1.21258227217402
"Kcnq1ot1",0.363282200871467,1.48520119026325,3.92283416990716,8.99781985145698e-05,0.0289149990555686,1.20626965902098
"Fscn1",-0.244761921733211,0.410083955793132,-3.91679868122483,9.22451119677851e-05,0.0289149990555686,1.18450750962276
"Syt5",-0.2730045340641,0.54101230890257,-3.89464699630442,0.000101036386886294,0.0304038695418235,1.1049184891085
"Tmem158",-0.203509641621352,0.271587290462406,-3.83686112423724,0.00012784219732253,0.0365180178311601,0.899395249964379
"Irf2bpl",-0.168307314342682,0.186678564525226,-3.81364320458787,0.000140396233092663,0.0365180178311601,0.817671377492876
"Camkv",-0.199396124890629,0.26994496055892,-3.80665647206906,0.00014439580033971,0.0365180178311601,0.793174873122475
"Haghl",-0.29469810333769,0.762539999764923,-3.80492016948618,0.000145406275748942,0.0365180178311601,0.78709402122903
"Sox4",-0.280280738694956,0.586977616926358,-3.80454500021269,0.000145625486499375,0.0365180178311601,0.785780469006682
"Epha10",0.22898973709132,0.357620873386348,3.78943703676794,0.000154716302526195,0.0371344049714201,0.732990326144814
"Rtn4",-0.325441002281513,1.7147615826315,-3.78198587505754,0.000159394178167334,0.0371344049714201,0.707030879450301
"Cntnap5a",0.374490869405101,1.1099378455039,3.77654796268658,0.000162891846877159,0.0371344049714201,0.688117324817389
"Crmp1",-0.304267752052359,0.872195394840436,-3.74903851631842,0.00018172100692154,0.0402084451491397,0.592848754330474
"mt-Co1",-0.37407075760999,3.0413466647301,-3.72813527523523,0.000197377759608724,0.0424249395867553,0.520918138624612
"Sox5",-0.304405134502376,0.551591547741226,-3.71568748742321,0.000207294847569241,0.0433188649517611,0.478272461673974
"Hsf2",-0.220947937677834,0.381485814156573,-3.67675345169493,0.0002414215028498,0.0483338893758725,0.34579530678152
"Ednrb",0.0909950388238094,0.0526077920822154,3.67387541583833,0.000244143000968118,0.0483338893758725,0.336057203785409
"B4galt6",-0.165116567653629,0.19508656073624,-3.66283027878147,0.000254857011558144,0.0491612640500492,0.298754888807141
"Mest",-0.347136117068412,1.46116947019874,-3.65074537160483,0.000267084302096105,0.050231880116725,0.258068130917709
"Rpl41",-0.310243756416763,1.14172563109028,-3.64206962943896,0.000276199271165845,0.0506791979751379,0.228941077721284
"Celf2",-0.373386430987888,1.91080264578324,-3.61012132502188,0.000312341577167174,0.0557597310778806,0.122271551006855
