"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Auts2",-2.05781989439388,0.408370627387236,-4.83063601107473,2.06515009089924e-06,0.015515472632926,3.61649999074507
"Ptn",-1.7190996997919,0.333608622500032,-4.07946802139444,5.63245947508242e-05,0.187564451806675,1.10168400835342
"Hdac7",-0.930462179609893,0.111319978763872,-4.00945854303692,7.4895961056838e-05,0.187564451806675,0.886285522144054
"Stard5",2.36060108711005,1.57910600877466,3.81756993436054,0.000160219456254767,0.243502167964719,0.31300495924518
"Cntn5",-1.09686917025549,0.155113737981761,-3.79552496819151,0.000174506649960389,0.243502167964719,0.248762021290079
"Rgma",-0.888844618316056,0.0995734571453128,-3.76742734663739,0.000194464662290471,0.243502167964719,0.167367127017056
"Tmsb10",2.21675132454568,1.72699832504945,3.68506021276188,0.000266112124800594,0.285614341946695,-0.0680855810638272
"Dach1",-0.499307084183399,0.0285645377410657,-3.58510899955026,0.000386436085928555,0.362911789197654,-0.347452784542655
"Evi5",1.54718192986292,0.509722479973936,3.54402181754447,0.00044939312906213,0.375143397627087,-0.460261581182725
"Crk",-1.37857517487391,0.396242133869971,-3.48612408886411,0.000554565096895621,0.394593886130825,-0.617206189454299
"Ptprm",-0.652969793692626,0.0532962936025569,-3.42018865336701,0.000702215130131953,0.394593886130825,-0.793050195162579
"Sox5",1.84849293518296,0.845193950355537,3.41604978323106,0.000712610927727332,0.394593886130825,-0.803985267823352
"Opcml",2.28407980103522,1.89563619497288,3.41134109645278,0.000724612542375325,0.394593886130825,-0.816411008395708
"Tigd2",1.15119433474805,0.253057902479208,3.40720858043925,0.000735300732840617,0.394593886130825,-0.82730329909325
"Cox7b",1.64103065615678,0.623182645672792,3.35993701255373,0.000868486292426241,0.418402446998014,-0.951034063517337
"Adh5",-0.727207854191544,0.101384954918298,-3.32283747808058,0.000988396587118384,0.418402446998014,-1.04702294466428
"Rpl7a",1.22373165683586,0.337936385285897,3.31978333466487,0.000998924643473886,0.418402446998014,-1.05488117367545
"Hbb-bs",-1.51376041076808,0.517192762691005,-3.31877356609438,0.00100242833035595,0.418402446998014,-1.05747781203654
"Zfp536",-0.666940767848055,0.073880432678291,-3.26687033704912,0.00119870105919768,0.423747749900942,-1.18996344585048
"Hspa8",-2.00569433146304,1.57680425446766,-3.25878701969502,0.00123229940057995,0.423747749900942,-1.2104224606691
