"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Epha6",-0.588095935988912,0.0316525829615929,-6.91139470744344,1.55893409819864e-11,1.16015875587943e-07,15.2086192212696
"Zfp930",-0.558036335020066,0.055272607813027,-5.07500198237633,5.57906022142155e-07,0.00124723133973929,5.7401028225334
"Gm27243",-0.378094070266901,0.0256593389613033,-4.96496187386789,9.6101698298102e-07,0.00124723133973929,5.2530934541822
"Trhde",-0.193179336008098,0.00570571878504932,-4.95262912536267,1.02077750485608e-06,0.00124723133973929,5.19910579943062
"Cdh22",-0.186822575336105,0.00551796636013811,-4.93728244162441,1.1001659193837e-06,0.00124723133973929,5.13209207730481
"Tcerg1l",-0.185248558651353,0.00547147641586274,-4.93326001936305,1.12194029366646e-06,0.00124723133973929,5.11455831221404
"Col6a1",-0.181789935582736,0.00536932299189514,-4.92408846602547,1.17315498228635e-06,0.00124723133973929,5.07462728497152
"Ryr1",-0.137675272679434,0.00406635826479341,-4.74994999473809,2.70212686437039e-06,0.00201092281246444,4.32913523157853
"Cntnap4",-0.137675272679434,0.00406635826479341,-4.74994999473809,2.70212686437039e-06,0.00201092281246444,4.32913523157853
"Baiap3",-0.137675272679434,0.00406635826479341,-4.74994999473809,2.70212686437039e-06,0.00201092281246444,4.32913523157853
"Lrp8",-0.49526707142637,0.0553932071714025,-4.69346820301775,3.52281953492902e-06,0.00238334754354016,4.0925323360829
"Osbpl3",-0.524365497210061,0.0618256352505016,-4.62943787614803,4.74322970023038e-06,0.00294159295242621,3.82740688754058
"Akap5",-0.433246426129046,0.038285976841626,-4.54028827309558,7.1360977565629e-06,0.00408514150033393,3.4637793668683
"AC124561.1",-0.355337990551026,0.0307817094010231,-4.52092666244142,7.79119137674408e-06,0.00414157473040925,3.38565667315989
"Pdzd2",-0.801940561281729,0.162483878577043,-4.3106240426016,1.98192551221702e-05,0.00983299310794602,2.55677628462778
"Tasp1",-0.5516732071093,0.0801649412324331,-4.29214517806045,2.14754202336486e-05,0.00998875483617582,2.4856749678649
"Brk1",-0.786255215157252,0.156251108595194,-4.25866109780044,2.48186713478592e-05,0.0108647383629864,2.35755389443186
"Lmnb1",-0.478048424962022,0.0604610591095566,-4.17746238505668,3.51109407609177e-05,0.0132969933369297,2.05070264317507
"A230006K03Rik",-0.246900601086209,0.0122936852774035,-4.17220988276889,3.59008481994793e-05,0.0132969933369297,2.03104111075665
"Mccc2",-0.64036081018118,0.106790408280045,-4.17016709703838,3.62126048098673e-05,0.0132969933369297,2.02340058533381
"Tmem47",-0.363802843319057,0.0344975974970587,-4.1617678565928,3.75217495398447e-05,0.0132969933369297,1.99202167876645
"Clmp",-0.213075124311226,0.0106233770580278,-4.14006850182193,4.11157668861999e-05,0.0139083425985045,1.9112253360368
"Bicdl1",-0.205596352638332,0.0103660629616913,-4.09386831910029,4.98893254244551e-05,0.0161424504264693,1.74050381437806
"Tgfbr3",-0.326828172379481,0.0300997740718292,-3.96295016123853,8.54554794842518e-05,0.0264983199300751,1.26638937808657
"Tbc1d8",-0.364077906835617,0.0391037101329046,-3.9317458006717,9.69416228978557e-05,0.0288575823042337,1.15550003613208
"Adcy8",-0.373018090665063,0.0427555199082584,-3.91353258414034,0.000104306384135587,0.0294314792218409,1.09115432461823
"Mettl2",-0.634936977009644,0.123868170871561,-3.907689877381,0.000106779083443927,0.0294314792218409,1.07057158307128
"Rnf157",-0.569031466766797,0.0963824322001449,-3.89580548238827,0.000111980930863076,0.0297629316958218,1.02879366927786
"Tenm3",-0.363853895179302,0.0396296853369029,-3.87163329862506,0.00012331008852502,0.0316439199587309,0.944186340418393
"Eef1g",-0.781601336279202,0.198002089357556,-3.85369145725898,0.000132411075987816,0.0328467742500443,0.881704517904821
"Mfn2",-0.620561993900429,0.125513027065773,-3.80937221326558,0.000157688803778899,0.0366029944139957,0.728527740474388
"Nap1l1",-0.850478261657436,0.250970980986058,-3.80097487385934,0.000162965178525008,0.0366029944139957,0.69969161252394
"D430041D05Rik",-0.624550606148298,0.120359619239153,-3.80047794898621,0.00016328258110417,0.0366029944139957,0.697987059831708
"Ptchd1",-0.212048469988426,0.0116466625474781,-3.79437780714785,0.000167226795226532,0.0366029944139957,0.677079349142803
"Nek1",-0.725706192996302,0.172765518677695,-3.77656089376688,0.000179267936290242,0.0374802686824721,0.616193584198549
"Shank2",-0.378753837267729,0.0451241342715135,-3.77365550002075,0.000181307400237704,0.0374802686824721,0.60629044528684
"Zc3h6",-0.556068878944591,0.099033987031064,-3.71238214355807,0.00022976866080987,0.0462145506418122,0.399103764331302
"Ralb",-0.322624933747488,0.0348084697512114,-3.69928762391143,0.000241598153974106,0.0469395041838097,0.355239643975927
"Nell1",-0.203180322766229,0.0114446816504745,-3.69458170166307,0.000245987726843399,0.0469395041838097,0.33951128697014
"Fezf2",-0.203269222170975,0.0114956956548859,-3.6799065699174,0.000260163160862253,0.0484033560784222,0.290584224810123
"Mzf1",-0.33525410183696,0.0364977948472536,-3.63077804405189,0.000313412657452548,0.0547613589299579,0.128122656861418
"Dmtf1",-1.09752176100922,0.488924517472451,-3.62836122180707,0.000316279837856729,0.0547613589299579,0.12018359901
"Naa40",-0.562158672003315,0.110460846548622,-3.62245004139869,0.000323396666495398,0.0547613589299579,0.100786853870085
"Atoh7",-0.144780008962549,0.0081433377352727,-3.62109012184116,0.00032505509631501,0.0547613589299579,0.0963286762158937
"Zfp612",-0.765519873498532,0.221679721596348,-3.61616459164097,0.000331128883613021,0.0547613589299579,0.0801946817041745
"Radil",-0.144911227401965,0.00821863608025437,-3.59273702371813,0.000361504622553534,0.0584851608922479,0.0037390815781162
"Nop58",-0.429155419049622,0.0650717245759593,-3.56320134109605,0.000403529016945861,0.0638949562576829,-0.0919822469107503
"Itga8",-0.206574880827466,0.0147319509827509,-3.55323741096178,0.000418709743384723,0.0649174564639397,-0.12410581122474
"Lin7b",-0.430646597512635,0.0677137380590181,-3.54218212711854,0.000436178611251581,0.0662457392843727,-0.159648467527611
"Cdkl1",-0.209580075786774,0.0151171137635297,-3.48595558368875,0.000536086597462764,0.0797911291663579,-0.338795903558319
"Clvs1",-0.123036526767745,0.0070929344237503,-3.47255226968732,0.000562874028631065,0.0821354611974977,-0.381100881398057
"Ldah",-0.815297834438542,0.267255525211693,-3.44890704923469,0.000613202600586339,0.0865753559547713,-0.455356181123431
"Vav3",-0.361507528406381,0.0518962315273022,-3.44671532060764,0.000618074469625766,0.0865753559547713,-0.462214733257861
"Nrip3",-0.181489971235429,0.0109439236666669,-3.44221093673662,0.000628200647884661,0.0865753559547713,-0.476297282179359
"Diablo",-0.665878015660476,0.186820693527539,-3.4318796059284,0.000652013934423668,0.0874734568332901,-0.5085313288294
"Pitpnm1",-0.377710993807248,0.0547705910452649,-3.42482537346551,0.000668754612869784,0.0874734568332901,-0.530487967098599
"Nav1",1.27294333033916,0.880868732855154,3.42431573779847,0.000669979446317863,0.0874734568332901,-0.532072573614967
"Efnb2",-0.177045810468839,0.0107389651245026,-3.41815623274556,0.00068494929609262,0.0878860803710565,-0.551206595190412
"Ndst3",-0.212747443876357,0.018274012479161,-3.39623450457801,0.000740794917834621,0.0930054014941151,-0.619039621274703
"Atxn7l2",-0.1848339802218,0.0135905270535516,-3.39282897984379,0.00074984199000899,0.0930054014941151,-0.629540269457652
"Scg3",-0.708033216278768,0.225722278363633,-3.38812545735024,0.000762506643059642,0.0930258104532763,-0.644026742763669
"Cct2",-0.628363977535131,0.171357013837402,-3.37780534194302,0.000790995811760869,0.094945013405232,-0.675745019014382
"Gabra1",-0.618174244062993,0.168339548850339,-3.34337860445217,0.000893359234196116,0.105232966941042,-0.780888855472502
"Grb10",-0.150235439282447,0.0112738800285478,-3.33970324489096,0.0009049865471952,0.105232966941042,-0.792053419149468
"Col4a2",-0.258478443373585,0.0256923160666479,-3.32297064688073,0.000959721631266164,0.109875974201551,-0.842734102247108
"Supv3l1",-0.321359613572419,0.0433310514567832,-3.31862134569542,0.000974444275369843,0.109875974201551,-0.855867880118466
"Tspyl2",-0.832868155738407,0.320858604538828,-3.30195312165903,0.00103283177392702,0.114721403903954,-0.906050107109882
"Coq9",-0.445961750485994,0.0847462254353011,-3.28512090757944,0.00109507620613793,0.118341532556881,-0.956481978235859
"Rev3l",1.25214647562517,0.891544998979061,3.28391507232982,0.00109966628683117,0.118341532556881,-0.960085424339356
"Slc44a5",-0.438080699771033,0.0841553255696351,-3.28040505237948,0.00111312916944124,0.118341532556881,-0.970567387814185
"Gm33533",-0.146511183494743,0.00913675434446437,-3.26528036562421,0.00117290790154608,0.122940571877548,-1.01561206925507
"Slc20a1",-0.451074123967319,0.0913041231395928,-3.25587371228423,0.00121157353378422,0.125229586644752,-1.04352713969179
"Syt2",-0.220498581409886,0.0173599972649981,-3.24665767833311,0.00125059813418417,0.127492483761625,-1.07080209137995
"Gm40841",-0.119656272830992,0.0074876873499406,-3.23245596957343,0.00131301933117993,0.13204716030596,-1.11268788728929
"Agbl4",-0.276358253373207,0.0340143642639619,-3.22431156016092,0.00135010568085954,0.133966486359422,-1.13662958271788
"Tmem256",-0.744896527867341,0.27742575374653,-3.18660108146929,0.00153479762350531,0.150288998870086,-1.24673374541845
"Porcn",-0.617802517375187,0.185865773679341,-3.16822540302451,0.00163301361527235,0.157829705517621,-1.29993740742271
"Gsdme",-0.289438198746799,0.0353169189202941,-3.15424155208111,0.00171160878242973,0.163305032805668,-1.34022827471856
"Rnf24",-0.292808079878511,0.0439359737113856,-3.12221463495645,0.00190493915942637,0.179450091448748,-1.43186347316446
"Rasgrp2",-0.159723857365754,0.0106632925570402,-3.1140080633128,0.00195761731230773,0.18132839119869,-1.45520007290644
"Hes5",0.633958672566309,0.184072217419771,3.11073807967032,0.00197897868713621,0.18132839119869,-1.46448237917061
"Prmt7",-0.525566622193549,0.139141418430502,-3.10785736561767,0.00199797474849403,0.18132839119869,-1.47265195611334
"Elp4",-0.54929949518145,0.153015024126037,-3.10092350545684,0.00204438854853796,0.183305296123126,-1.49228636838297
"Fubp3",-0.523482019946479,0.131303847345551,-3.08370184220541,0.00216399277211113,0.19171945488156,-1.54087079421604
"Vwa5b2",-0.152359969778439,0.0124930198912265,-3.06439158298034,0.00230573437445339,0.199798686449047,-1.59503915975158
"Prpf4",-0.51384155758458,0.137499838500091,-3.05913191529453,0.00234579328738087,0.199798686449047,-1.60973686850159
"Junb",-0.198911707247958,0.0207881338711177,-3.05724120276769,0.00236034893783308,0.199798686449047,-1.61501439622476
"Arhgef25",-0.417013752429923,0.0898309283264364,-3.05695297025872,0.00236257516897556,0.199798686449047,-1.61581866214514
"Sntb2",-0.339271391557513,0.0493470313041219,-3.05246444430523,0.00239749313415594,0.200473527015601,-1.62833378425159
"Fgfr1",-0.485147261413033,0.118299258610999,-3.04000051190963,0.00249695482246065,0.206470419875024,-1.66299386144568
"Phldb1",1.34985825443563,1.88326751160322,3.03394071264414,0.00254666746673115,0.208267025136409,-1.67979600162043
"Kcnb1",-0.562501363898613,0.154017253972813,-3.01714891139962,0.00268920429170819,0.215732201389844,-1.72618696840973
"Fubp1",1.236059230307,1.25994904448489,3.01637715779318,0.00269592780559735,0.215732201389844,-1.72831316628644
"Eif3i",-0.511722430475836,0.136992144879165,-2.99191962734755,0.00291715127494162,0.230951487107612,-1.79542374028957
"Schip1",-0.865982214329981,0.430360996538457,-2.98742837948908,0.0029595381370334,0.23184087174529,-1.80769055200936
"Gtf2h5",-0.659013985095754,0.244632367046416,-2.98280405399129,0.00300376935265145,0.232854703358668,-1.82030234306195
"Eif3f",-0.588772274398435,0.190619666012917,-2.96774926512273,0.00315199054281062,0.240141864087839,-1.86123083286629
"Abhd12",0.884577729618449,0.476850351806818,2.96414671890382,0.00318843700501961,0.240141864087839,-1.87099534048791
"Cdh13",0.553652448462149,0.168678818809789,2.96231355912835,0.00320713037043449,0.240141864087839,-1.87595964620643
"Rora",-0.545758891815464,0.156865309969473,-2.96039072484912,0.00322684579532167,0.240141864087839,-1.88116362442597
"Rheb",-0.456861448442815,0.109492070330835,-2.94535257078835,0.00338489962528296,0.241905446803406,-1.9217510064685
"Rhbdd2",-0.521342445879151,0.142866360439156,-2.94430198925118,0.00339620141754368,0.241905446803406,-1.92457905853882
"Pgam1",-0.641855312139865,0.238568711475341,-2.9437156549614,0.00340252397347535,0.241905446803406,-1.92615698538362
"Rnf32",-0.41197209706406,0.092662913398621,-2.94310725739438,0.00340909580467265,0.241905446803406,-1.92779396889722
"Gpcpd1",0.971116199974563,0.589995005790499,2.94184872289029,0.0034227271371914,0.241905446803406,-1.93117920930934
"Ecd",-0.560887576368762,0.174595746502432,-2.9395463132693,0.0034477936958724,0.241905446803406,-1.93736869023791
"Mbtps2",-0.430270454625445,0.0966053685522901,-2.93678462396519,0.00347808153829138,0.241905446803406,-1.94478668849934
"Tcf4",1.26703491200547,1.56308089578591,2.92737535341221,0.00358310705519327,0.245793308911242,-1.97000998901113
"2610507B11Rik",-0.608548625876651,0.217051839870525,-2.92588226259931,0.0036000363707774,0.245793308911242,-1.97400533946358
"Pnpt1",-0.456639703079283,0.111130997923122,-2.92295741013539,0.00363341131219139,0.245816790775712,-1.9818262475476
"Btaf1",-0.609137109046334,0.211184466857627,-2.91899879529485,0.00367903190710413,0.246660859933954,-1.99239939962875
"Slc45a1",-0.429680935729961,0.102602688386305,-2.90781929502899,0.00381070416977287,0.253207682423658,-2.02218452418572
"Ttc19",-0.414739918297088,0.0960944630880076,-2.90186431759534,0.00388258224259497,0.254049392205588,-2.03800524812512
"Cntn5",-0.201432374366512,0.0197640624776005,-2.89898307825464,0.00391780113041051,0.254049392205588,-2.04564869612752
"Peg3",-0.719724869077951,0.297376264324674,-2.89833333403992,0.00392578340548812,0.254049392205588,-2.04737134934332
"Kcnk9",-0.176498318076233,0.0153571096784518,-2.88886731834436,0.00404376848524977,0.259428664372662,-2.07242623829693
"Ypel4",-0.37409691949537,0.0809480925388091,-2.86738588383533,0.00432358210436773,0.272963943439095,-2.12899101965163
"Slc22a23",0.751268942344374,0.350497719019218,2.86453763483788,0.00436197671071576,0.272963943439095,-2.1364604749088
"Dkk3",-0.389661091090821,0.0816085048304889,-2.86433040720052,0.00436478221838918,0.272963943439095,-2.13700364462552
"Rps26",-0.856185754280941,0.465175353482239,-2.85855577708163,0.00444362380428896,0.275247844715053,-2.15212444854361
"Arxes1",-0.337411677395459,0.0640649361908828,-2.85333942384632,0.00451595379701988,0.275247844715053,-2.16575813178711
"Trpm4",-0.19128466187424,0.0196005173405417,-2.85297959803327,0.00452098237766245,0.275247844715053,-2.16669770306939
"Acad8",-0.471148662434673,0.132187472908242,-2.85096394070963,0.00454924548507813,0.275247844715053,-2.17195884284037
"Nudt21",-0.525189883467089,0.164851053244257,-2.84005699874737,0.00470498406703354,0.282374930861803,-2.20036527375282
"Adcy3",-0.325711032327407,0.059724137412446,-2.82672606988413,0.00490190229270141,0.290549413928434,-2.2349422502398
"Map4",1.06883383340285,0.884465183257392,2.82557359362881,0.00491927252821589,0.290549413928434,-2.23792410753438
"Fry",0.901911472894445,0.544327736664271,2.79943646377758,0.00532851455071641,0.312242561310485,-2.30523496714885
"Ophn1",0.583478281511665,0.218911107246909,2.78132820536941,0.00562987573958792,0.327324494171979,-2.35151506987953
"Rpia",-0.335220866170432,0.0656378088629316,-2.76980513879264,0.00582959069524057,0.336308635302173,-2.38081411606033
"1500009C09Rik",-0.204505102409979,0.0263450108429552,-2.75954091892172,0.00601285957485557,0.344213084277501,-2.40681342930224
"Trafd1",-0.503078574142815,0.155484499893705,-2.75590356736082,0.00607904426802057,0.34534540032526,-2.41600447919332
"Fasn",-0.640904909861278,0.273750990161608,-2.75204465337338,0.00614997949486559,0.34637831070356,-2.42574258002651
"Trim46",0.391209605692728,0.0948292220674538,2.74849546897262,0.00621588046195151,0.34637831070356,-2.4346874277862
"Ddx6",-0.658094993322132,0.292474801722028,-2.74737285158007,0.00623685751602755,0.34637831070356,-2.43751438718137
