"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttc19",0.430089651836771,0.251454969055308,3.73138843303351,0.000209027886487233,0.407062946640972,-0.88105611892936
"Sox5",-0.442434205693474,0.239801955677123,-3.72570402230642,0.000213682819839219,0.407062946640972,-0.89359047315472
"Phf12",-0.399337699461091,0.218437623967079,-3.70442305431894,0.000231990665680961,0.407062946640972,-0.94035712039747
"Rap1gds1",0.42389186804707,0.255673571354204,3.6274364279406,0.00031130066643656,0.407062946640972,-1.10744480167917
"Ago1",-0.381400100081644,0.208267236416222,-3.61445615104524,0.000326956178897057,0.407062946640972,-1.13529222372829
"Gm42047",-0.434370660884327,0.247404563648622,-3.59850575802634,0.000347205759147903,0.407062946640972,-1.16938324894358
"Cdc16",-0.465409901823439,0.324975139285318,-3.5733456383651,0.000381553377944136,0.407062946640972,-1.22287034034728
"Ptgds",0.28092828539675,0.111279996908271,3.45860512744943,0.000582532234980628,0.538501232668989,-1.4623115834935
"Glrb",-0.537843014508904,0.53345949932953,-3.42880383681754,0.000648970419660003,0.538501232668989,-1.52329495375291
"Pcgf6",0.408975992975351,0.319152791146383,3.29567420635456,0.00104137811390895,0.705127805820216,-1.78962087173701
"B3galt1",0.43478151207356,0.358119472769668,3.29392947247095,0.00104774365360844,0.705127805820216,-1.79304484076204
"Mbd5",0.380072513281782,0.240392837961608,3.27106419024754,0.00113457094775866,0.705127805820216,-1.83775790906094
"Dnajc15",-0.242759198335993,0.106606636382216,-3.20724819489334,0.00141342757502392,0.705127805820216,-1.96098379612217
"Ankrd28",0.37504266190916,0.264468105871837,3.20630453389774,0.00141799000249929,0.705127805820216,-1.96278863650205
"Tmem2",-0.317533931595144,0.174261370970537,-3.1769617910623,0.00156683440452536,0.705127805820216,-2.01865704453939
"Ercc6l2",-0.35834586421927,0.237033505381052,-3.16859777697337,0.00161183042698454,0.705127805820216,-2.03449247107715
"Zdhhc23",0.229536948285916,0.101645926698194,3.15893250067024,0.00166531055144509,0.705127805820216,-2.05274200577696
"Ero1lb",-0.351092459728651,0.226276984410498,-3.15289234471274,0.00169955818221262,0.705127805820216,-2.06411977110792
"Kcnj6",0.288994518075293,0.157797061320388,3.10292008055324,0.00200882664751293,0.789574600190873,-2.15745495742714
"Trmt6",-0.461876464443147,0.472750014496547,-3.06703138316226,0.00226201611061002,0.841834700224304,-2.22360716673032
"Sema4f",-0.208938730555559,0.0861648491324384,-3.03661200160637,0.00249922715028723,0.841834700224304,-2.2791019362393
"Wasl",-0.496499914183444,0.614700861439821,-3.00160061976408,0.00280036453272656,0.841834700224304,-2.34231876886173
