"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Trub1",-1.47706738097573,0.364864741569672,-5.93180235110041,1.35296105331521e-07,0.0010030853249279,6.937995548425
"Zer1",-1.64275118714739,0.732985311730013,-5.01341854374819,4.55401898631656e-06,0.0103039341324754,3.87753441762784
"Actr10",-1.24556386352921,0.306822030111578,-4.97933489736687,5.16917783034136e-06,0.0103039341324754,3.7671514082594
"Kcnt2",-1.39858675318121,0.386555757397537,-4.95972939164312,5.55917676421657e-06,0.0103039341324754,3.70378545255402
"Rps13",-1.23660897264088,0.363322370613587,-4.75220065654811,1.19242010296303e-05,0.0176812052867358,3.03910117592397
"Gtf2i",-1.39443147538122,0.487099994905783,-4.51462875216934,2.80984260040044e-05,0.0347202883989481,2.29307124834374
"Mtss1l",-1.36499297798757,0.492303762644777,-4.43812737028951,3.68804965049219e-05,0.0390617144410702,2.05655634129946
"2810004N23Rik",-1.2490828244623,0.337301959882248,-4.40028268536865,4.21594271064036e-05,0.0390712490708595,1.94026537475791
"Ap3m1",-1.22304066033538,0.355063149776505,-4.32493867758243,5.49398331281676e-05,0.0452582136458038,1.71019157482911
"Scaf1",-1.19078033333228,0.367162873663108,-4.27332207399093,6.57865848267262e-05,0.0458508433060671,1.55371510273592
"AC149090.1",2.10583359807078,1.66486994624465,4.2474667990687,7.1972812963343e-05,0.0458508433060671,1.47569229643556
"Slc27a4",-0.907871363486549,0.194250638438394,-4.23863462368374,7.42123171935265e-05,0.0458508433060671,1.44909514915092
"Tbcel",-1.0326487350367,0.313503338807239,-4.21388483862494,8.08531361376876e-05,0.0461111654865243,1.37471576879568
"Eif2s2",-1.31384991091263,0.423440568777665,-4.12567166471581,0.000109523851736356,0.0524385117848961,1.11146935495473
"Ube2b",-1.67139918514992,0.964885613544666,-4.12015736468394,0.000111610125739699,0.0524385117848961,1.09511160079673
"Camk2d",-1.99888535345144,1.21131428209656,-4.11218953784629,0.000114692567658491,0.0524385117848961,1.07149634321932
"Gucy1a1",-0.729656408908339,0.141909772339113,-4.0823837852955,0.000126968310833959,0.0524385117848961,0.983375610988108
"Nceh1",-1.09205828416779,0.265465744702003,-4.08158930584577,0.000127312275711914,0.0524385117848961,0.981031474095003
"Akap6",-1.66793704824718,1.0048129247185,-4.00693005993949,0.000163974259881919,0.0639844822507657,0.761863189570289
"Agap2",-0.972487702809276,0.217145332634151,-3.98092996669911,0.00017898304442259,0.0640475285937922,0.686064160260871
"Kif1bp",-0.798869906477919,0.174292177756741,-3.97691861915988,0.000181413285739093,0.0640475285937922,0.67439431370593
"Npy",-2.20922830711064,0.841362201055583,-3.95047079711368,0.000198249562806084,0.0668101026656503,0.597617923911305
"Kansl1",-1.39635235907334,0.621103927318732,-3.89587658447976,0.000237880405076246,0.0766802314450126,0.44005627679581
"Actr2",-1.35914091790278,0.518936588646653,-3.81550769367906,0.000310336911995274,0.0856133409086883,0.210419919330723
"Kat2a",-0.896592902803598,0.203604992270447,-3.80923276002842,0.000316808211811848,0.0856133409086883,0.192608873814462
"AC129186.1",-0.634012902672954,0.122127813281759,-3.80705374357779,0.000319085511798311,0.0856133409086883,0.186427911981721
"Abhd14b",-1.1230136709449,0.403057584749361,-3.80097993776109,0.000325516354200853,0.0856133409086883,0.169210107310933
"Cadm2",-1.69645155033151,1.75818914671194,-3.78554523023003,0.000342421732384844,0.0856133409086883,0.125529788690409
"Ormdl3",-0.750079284378001,0.168478390757511,-3.78370982720713,0.000344487068958519,0.0856133409086883,0.120342620167752
"Exosc10",-0.733510568356925,0.16660338027149,-3.77784928911026,0.000351161938507467,0.0856133409086883,0.103789758291263
"Rabgap1",-1.37457901513521,0.621894552393974,-3.7667482508292,0.000364146346211537,0.0856133409086883,0.0724773250568251
"Rb1",-0.750550811354777,0.181244414021869,-3.76226387402909,0.000369520759249801,0.0856133409086883,0.0598439919796849
"Scrn1",-1.43304808550481,0.643649428100703,-3.71871497907358,0.000425814499512891,0.0937387259064224,-0.0623695799542876
"Magee1",-0.893431060468008,0.249116645101215,-3.71578822237256,0.000429878160347769,0.0937387259064224,-0.0705522002053476
"Jph3",-0.72911371868496,0.165555001071267,-3.69405987606045,0.000461226829137412,0.0960699728512562,-0.13117749732514
"Abcc8",-0.727159260674819,0.162947969538855,-3.69055421034612,0.000466484896499221,0.0960699728512562,-0.140938474966502
"Sgip1",-1.60933503294398,1.17671277286833,-3.66028889478765,0.000514321165623463,0.102646012808558,-0.224970698710637
"Chga",-1.41709470726045,0.639423170898272,-3.64231849337021,0.000544902147877466,0.102646012808558,-0.274663667384858
"Tmcc1",-1.34058782499496,0.599162155388274,-3.63638049987337,0.00055538272591556,0.102646012808558,-0.291050460265273
"Diaph1",-0.539817967658615,0.104334873403001,-3.63203732373614,0.000563169836423377,0.102646012808558,-0.303025585820649
"Sptbn4",-1.31860554550118,0.622664139176168,-3.5950646141538,0.000633806425128255,0.102646012808558,-0.404605446076764
"Mapk3",-0.715187559147833,0.140811950461452,-3.58920264932719,0.000645753066747378,0.102646012808558,-0.420650856549879
"Dcun1d4",-0.985250301980108,0.2708166988156,-3.58627218912827,0.000651805392979026,0.102646012808558,-0.428665948336609
"Tnrc18",-1.15545012660706,0.500673076878136,-3.57901078657673,0.000667035997267621,0.102646012808558,-0.448508787404442
"Mboat2",-0.898944157663979,0.30763920646919,-3.57747919050324,0.000670291448134681,0.102646012808558,-0.45269085288722
"Zfp871",-1.27492584849857,0.494030490400118,-3.57685628976582,0.000671619761377602,0.102646012808558,-0.454391376978306
"Ireb2",-1.06334854120874,0.432229378475464,-3.5751253657383,0.000675324057725962,0.102646012808558,-0.459115830730385
"Zeb1",-0.887374068138915,0.261587714000714,-3.57482931658284,0.000675959566932031,0.102646012808558,-0.459923734395349
"Hpca",-1.08197043754763,0.329736434544823,-3.57369509348278,0.000678399599085427,0.102646012808558,-0.46301858209242
"Etv3",-1.18092192144328,0.434102108356984,-3.5374940754765,0.000760829082642762,0.112815736374269,-0.561469025696258
"Agap1",-1.09152752111212,0.401151083664895,-3.52728576622755,0.000785741687986829,0.114225272053615,-0.589115413562783
"Syt6",-1.18136605768571,0.353933781415322,-3.49851237715794,0.000860198470720349,0.122040114573968,-0.666763919986051
"Prune2",-1.21690180604926,0.497057931575651,-3.49401660878578,0.000872420565473467,0.122040114573968,-0.678859260672159
"Mrpl42",-0.598508159150047,0.117084026703619,-3.47316900631596,0.000931281843560925,0.125954932997352,-0.73481559252595
"Tmem65",-1.09706139070713,0.387219937659982,-3.46548040010545,0.00095392563306853,0.125954932997352,-0.755397399362903
"Kif3c",-1.00139017452226,0.374650107062991,-3.4631678084831,0.000960837946418869,0.125954932997352,-0.761582218237017
"Nufip2",-1.37628881909464,0.711320398688619,-3.45317855300295,0.000991244917038829,0.125954932997352,-0.788266637186201
"Arih2",-0.654368077272261,0.188682454402237,-3.45053609136718,0.000999439720694611,0.125954932997352,-0.795317055226314
"Xpo7",-1.00504206171764,0.336015432491165,-3.44400710431511,0.0010199635425752,0.125954932997352,-0.812722065835521
"Cstf2",-1.35723294538021,0.623178503587647,-3.43927042892566,0.00103510247056761,0.125954932997352,-0.825335604491158
"Nlgn1",-1.0934727316799,0.396831159807871,-3.43666028959813,0.00104353546516926,0.125954932997352,-0.832281414167429
"Selenos",-0.667309928802442,0.132009354958657,-3.43272053058258,0.00105638760319866,0.125954932997352,-0.842758901794933
"Snd1",-0.797721304042598,0.189188363450895,-3.42850835343288,0.0010702941433549,0.125954932997352,-0.853952128715648
"Ctdspl",-0.526663502923965,0.102735571019029,-3.41384404269984,0.00112007270290007,0.126244092132898,-0.892849710503343
"Cyfip2",-1.37702000777809,0.769456306089596,-3.40502740815667,0.00115104746336385,0.126244092132898,-0.916183143884347
"Rps15",-0.914746637102898,0.34024247717547,-3.40240007039193,0.00116043348279147,0.126244092132898,-0.92312873598745
"Pnck",-0.76444517820676,0.183677404479644,-3.40210598835752,0.00116148856853169,0.126244092132898,-0.923905946103161
"Snap47",-1.09075463953788,0.382451233182689,-3.39750564445893,0.00117811192204028,0.126244092132898,-0.936058098834319
"Smc1a",-0.853002906021269,0.267670602404969,-3.39310053135158,0.00119424049939506,0.126244092132898,-0.94768431470952
"Ide",-0.804366803163741,0.23795355495268,-3.38950111833199,0.00120757391793237,0.126244092132898,-0.957176648996576
