"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Dnajc19",0.606308885926724,0.403826903240968,3.86177762454355,0.000130160659672018,0.3864754065532,0.295264508166357
"4931428F04Rik",-0.582751279162891,0.406858244041889,-3.77298977342986,0.000184283903272678,0.3864754065532,0.0448850563755459
"mt-Co1",-0.882102786339952,3.29439406795028,-3.71809466229702,0.000227716070277396,0.3864754065532,-0.10723841911095
"Auts2",0.8509531216243,2.05323702468468,3.69686006401238,0.000246970855701489,0.3864754065532,-0.165531874764329
"Kirrel3",-1.00964184328528,1.66379476258377,-3.66995859779489,0.000273568090426042,0.3864754065532,-0.238939603539746
"Ptgds",0.362971376337752,0.135578800872814,3.60718756504354,0.000346472456998932,0.3864754065532,-0.408298913976147
"Cpsf4",0.343207997135906,0.134747244989787,3.57651629573174,0.000388392222808449,0.3864754065532,-0.490067321348612
"Ttc14",0.763788744087072,1.16558027499844,3.46893571812808,0.000576080216249628,0.3864754065532,-0.771743912212264
"Rprm",-0.388098052519397,0.18358228347287,-3.45491495926316,0.000606008967530407,0.3864754065532,-0.807864447826499
"Tubb5",-0.766484026552062,2.23105962907535,-3.44736401154394,0.00062272280276021,0.3864754065532,-0.82726083996798
"Amer2",-0.530628830852313,0.380564276209303,-3.41244996326767,0.000705751123313209,0.3864754065532,-0.916430978777019
"Tacc2",0.516253136686735,0.365550298504748,3.40676202898707,0.00072021783059446,0.3864754065532,-0.930877635925286
"Ngef",-0.492899462390401,0.322807601695978,-3.39418814183704,0.000753184984635794,0.3864754065532,-0.962733872930217
"Cntfr",-0.432151722586466,0.238015250973646,-3.38507677588226,0.000777946751172137,0.3864754065532,-0.98574894450539
"Rps6kl1",-0.413611371930527,0.226135677058712,-3.37444002932522,0.000807812796043921,0.3864754065532,-1.01254391095407
"Fam19a2",-0.476411052187577,0.302616836814787,-3.36790586863721,0.000826685361611123,0.3864754065532,-1.02896497088863
"Hnrnph1",0.701924824737436,0.914106287612068,3.3417672127041,0.000906362178737728,0.3987993586446,-1.09435634668264
"Lrp1b",0.814296342550602,1.01321387436328,3.30080709818953,0.00104570400123772,0.415822980980414,-1.1958665896546
"Zdhhc17",-0.505015401721592,0.389522146274239,-3.29792148700369,0.00105623484473635,0.415822980980414,-1.20297365393539
"Mrps16",0.352212056353978,0.176323849056145,3.22762296431339,0.00134528000811268,0.478067967587817,-1.37431040360299
"Ssrp1",-0.411727267689963,0.245581484288998,-3.223238832538,0.00136553513928682,0.478067967587817,-1.38488077066983
"Pdap1",0.446153028487929,0.288995053992717,3.21464053527859,0.00140608225761123,0.478067967587817,-1.40557245119362
"Stk19",0.446346219043091,0.343873843113576,3.15959312295261,0.00169321125080332,0.516368675877575,-1.53680959631317
"Lnpep",0.502786197277311,0.423588168702179,3.14523602473873,0.0017765277335522,0.516368675877575,-1.57068660910436
"Psen1",0.432700723397649,0.299729155832459,3.13355896564939,0.0018470629699233,0.516368675877575,-1.59813243791701
"Tmem240",0.164886449993666,0.0374650985784939,3.11505658921344,0.00196413099864065,0.516368675877575,-1.64142316751344
"Pde1c",0.431945730308844,0.243912251770971,3.11412317788769,0.00197021419419315,0.516368675877575,-1.64360069042394
"Slmap",-0.429104881402486,0.301357336017938,-3.09308411437505,0.00211201838199198,0.516368675877575,-1.69251838365572
"Zfpm2",0.492016280069556,0.277821778547453,3.08689731465557,0.00215547069880139,0.516368675877575,-1.70684359863632
"Ubl3",0.412354872495171,0.275096490627598,3.08003218748093,0.00220464891928884,0.516368675877575,-1.72270769799923
"Numa1",0.423546639326571,0.285569363155257,3.08003156216018,0.00220465344539159,0.516368675877575,-1.72270914148373
"Thsd7a",-0.542308286665313,0.487404073107093,-3.07942278599783,0.00220906385402171,0.516368675877575,-1.72411430315768
"Fgf14",-0.426556734983795,0.281634157618202,-3.05404863687823,0.00240027284736847,0.54406184540352,-1.78244847556353
"Sdhb",-0.452226791798369,0.344182000996216,-3.04064991585819,0.00250726548741627,0.544376592240891,-1.81306725537763
"Zfx",-0.265825726519375,0.108488468890012,-3.03578111352847,0.00254721667492395,0.544376592240891,-1.8241618642113
