"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ptgds",0.313078793002532,0.131512098202733,8.03784957143593,1.34643908091644e-15,9.50040649451705e-12,23.7578488951923
"Tenm2",0.832519105432231,1.43659289763097,7.95853027578062,2.52636790174632e-15,9.50040649451705e-12,23.1819797558334
"Ssbp2",0.736315583136598,1.67929838496758,7.22876597587232,6.29441315021812e-13,1.57800937675968e-09,18.1398470070386
"Ptprd",0.763368027155343,2.90025470546975,6.02041836722051,1.97227129182994e-09,3.70836309646325e-06,10.8184533146807
"Tcf4",0.587659723190693,2.0717582706787,5.46611652969284,5.01482279622013e-08,7.54329645007433e-05,7.89415207059785
"Celf2",0.438566263665831,3.02501486837663,5.06512246297681,4.35271013355348e-07,0.000545612215240929,5.95060998322597
"Nrxn3",-0.432997842512502,0.604252695283734,-4.93841610703524,8.34955031486963e-07,0.000897099541687635,5.36664002122554
"Ralyl",0.460460808058537,1.31372980230145,4.766990660942,1.96780503817975e-06,0.00168658281339792,4.59967717542861
"Met",0.257977766616357,0.267734179473589,4.76184402757847,2.01824828089101e-06,0.00168658281339792,4.57706238376967
"Sox5",0.537014520341881,1.56364846340212,4.66774795683822,3.19187508339733e-06,0.00240060925022313,4.16782730293606
"Xist",0.414956366272071,3.70888739888846,4.50685725915367,6.85583708822907e-06,0.00461632867673453,3.48670361074852
"Tnik",0.415290476311266,1.45219956893216,4.49149873813559,7.36550247584289e-06,0.00461632867673453,3.42291306357802
"Akap7",0.25320613399321,0.321369494366671,4.42034311558325,1.02382806272778e-05,0.00592323912290435,3.13017069314846
"Arpp21",0.448998313377249,2.03425203455136,4.37217262423668,1.27608465290691e-05,0.00685530905322345,2.93460515552267
"Nnat",-0.421556156856747,2.86726311699576,-4.29185288556351,1.83344686391629e-05,0.00919290257567627,2.61321354310706
"Gm42047",-0.246706261776693,0.270923308906741,-4.25796372313986,2.13248920804723e-05,0.00969600146651854,2.47937126421573
"Ctif",-0.182325369983399,0.186574603658438,-4.25180269470572,2.1916237858106e-05,0.00969600146651854,2.45515119312695
"Dlx6os1",-0.315636778846417,0.340743523638433,-4.17449392566523,3.0797294325426e-05,0.0128681361456405,2.15417685899646
"Rhobtb3",0.228982556830265,0.317535482910151,4.12060582912968,3.89099527005231e-05,0.015402197592665,1.94760501467325
"Fndc4",0.289722677233289,0.657960132036922,4.01233792921657,6.17324413800428e-05,0.0232144845809651,1.54058456822942
"Runx1t1",0.433533655673723,1.57418700129825,3.97786244281719,7.13416259896461e-05,0.024820245947546,1.41322416549984
"Cntn2",0.283097807562151,0.522899025686891,3.96918766368963,7.39735127997057e-05,0.024820245947546,1.38134845950758
"Mef2c",0.510041409106077,2.23640402916163,3.95792456856981,7.75279393944919e-05,0.024820245947546,1.34006447974912
"Rps11",-0.338518852854704,0.8847252217283,-3.95278504885501,7.9203018580123e-05,0.024820245947546,1.32126448400779
"Ypel3",0.264040727554423,0.532411235509707,3.91886730219736,9.11461310216435e-05,0.0274204020565512,1.19780096469322
"Dlg2",0.395039610585722,1.73731667930534,3.89634848881697,9.999477529459e-05,0.0289254117304081,1.11641122755133
"Dync1i1",0.380271023226157,1.29106244516297,3.85013104746168,0.000120758867455538,0.033176787318785,0.95081953120837
"Gm10076",-0.36262859223809,1.22288593290246,-3.84457191197159,0.000123514166324422,0.033176787318785,0.931033383169302
"Cdkl2",0.19283166284605,0.280621343539428,3.7977045440198,0.000149217671582147,0.0381795846968829,0.765346046067332
"Auts2",0.34787236153143,2.16521847068632,3.77586126408217,0.000162847701589367,0.0381795846968829,0.688811325128838
"Uba52",-0.361078357829692,1.46938971764925,-3.77567956776074,0.000162965844628316,0.0381795846968829,0.688176526395483
"Uhrf2",0.269471399681853,0.619020173007186,3.77080496883991,0.000166165703478232,0.0381795846968829,0.671157248076906
"Sept3",0.278513531649924,0.687616328598078,3.76876675737447,0.000167521113548349,0.0381795846968829,0.664047439793625
"Nr2f1",0.204832407085633,0.298041573640057,3.75434698806092,0.000177411678536828,0.0388998249729346,0.613856147420726
"Hivep2",0.254314910479583,0.529149352040654,3.7492661838434,0.000181025644735103,0.0388998249729346,0.596216588431415
"Rpl37",-0.335213370781347,1.17051304459694,-3.73649647874743,0.000190416842952,0.0391976277689282,0.551986984915894
"Tmsb10",-0.244024636989065,3.30880974091257,-3.73330430510304,0.000192835025588398,0.0391976277689282,0.540953778464459
"Tenm1",0.358270694649578,1.164989232036,3.71359805728379,0.000208414378438431,0.0401274842364261,0.473049016104943
"Trmt6",0.260344925007443,0.611025851897213,3.70970719231294,0.000211627044780035,0.0401274842364261,0.459683708617892
"Evl",-0.257651315419664,0.565276332267966,-3.70756495274201,0.000213415685341982,0.0401274842364261,0.452330929646695
"Epha5",0.412178788455285,2.43231747181922,3.69683032281246,0.000222594368146686,0.040495814850823,0.415549890747078
"AI480526",0.323830886360337,1.35679264941836,3.69279085799921,0.000226143361751704,0.040495814850823,0.401736427872869
"Vezt",0.311654140379108,1.19616458130444,3.65775205594168,0.000259235862150572,0.044668232792071,0.282543766426294
"Rpsa",-0.340839375159682,1.57355255725747,-3.65279610410446,0.000264267686447785,0.044668232792071,0.265775711038252
"Cog8",-0.166314224120632,0.210221851226796,-3.64988968869094,0.000267261065768275,0.044668232792071,0.25595255959845
"Fau",-0.33324950900752,1.29938236629492,-3.62024057945726,0.000299668642394334,0.0484111519554949,0.156186138576612
"Pdxdc1",0.165481178611231,0.214241929910197,3.61776963994189,0.000302529469739165,0.0484111519554949,0.147908021045296
"Gm1673",-0.310415223855849,1.04377654107933,-3.60394780641271,0.000319009893508154,0.0491500042610863,0.101705424708083
"Gm39469",0.216447957862848,0.402193854569027,3.60296209979363,0.000320216754260501,0.0491500042610863,0.0984171655770432
"Rps15a",-0.319279766147843,1.15119738622388,-3.57737957928972,0.00035307564801578,0.0522948479531163,0.0133868405125241
"Dab1",0.355100211837961,1.4726933783106,3.57154286239587,0.000361002145153564,0.0522948479531163,-0.00592900252320572
"Ccnh",0.226350369755302,0.445226879910691,3.57113280711248,0.000361565229831412,0.0522948479531163,-0.00728485229065789
"Pfdn5",-0.243849255875663,0.50376937519111,-3.55817829868665,0.000379783111661484,0.0530529122081471,-0.0500396433558521
"Hs3st5",0.217370593662647,0.350597293340549,3.55739314522253,0.000380914407557498,0.0530529122081471,-0.0526260029025307
"Ank2",0.306996677019605,2.21888399885547,3.53875832659804,0.000408707589329498,0.0544699857810939,-0.11384472550461
"BC037034",-0.116526619480038,0.107801035063165,-3.53771981931559,0.000410310921118868,0.0544699857810939,-0.117247042176071
"Atp5o.1",-0.262048583002357,0.625102300167416,-3.53610479661693,0.000412816007116388,0.0544699857810939,-0.122536151243922
"Gad1",-0.189873304572143,0.233303199726704,-3.51680408800206,0.000443880654224477,0.0557030754856652,-0.185559809240084
"Irf2bpl",-0.165809197024901,0.230821753350468,-3.51514118506757,0.000446656829700548,0.0557030754856652,-0.190973793127879
"Lrrc45",0.151951890127962,0.188895554944025,3.5127730782487,0.000450638322162792,0.0557030754856652,-0.198679362168956
"Il1rapl1",0.210320449053366,0.364530538103882,3.50992462061027,0.000455471329662827,0.0557030754856652,-0.207941128304325
"Tle4",0.338137472485636,0.879546965657276,3.50517913749992,0.000463630656378414,0.0557030754856652,-0.223354551705889
"Zbtb20",-0.3156189945944,0.616550584806964,-3.50041342184854,0.000471961934995307,0.0557030754856652,-0.238812904585018
"Hdlbp",0.173091464312442,0.254893017846122,3.49727174234596,0.000477530321058587,0.0557030754856652,-0.248992046626039
"Sox4",-0.306108688804868,1.11327022594015,-3.49510184366712,0.000481412033847658,0.0557030754856652,-0.25601730203068
"Ap1s2",-0.179336620802756,0.250622460567594,-3.4887026120674,0.000493031712747266,0.0561832047207907,-0.27671028020252
"Rai14",0.180070526787906,0.26668976890503,3.47552202230008,0.000517794135930439,0.0581243238258631,-0.319213541535015
"Map2",0.257491044123825,2.66759749779333,3.46359610248529,0.00054119418957115,0.0590287961833037,-0.357533547322507
"Clstn2",0.329245988903925,1.03151731046415,3.46341920478763,0.000541548588837649,0.0590287961833037,-0.358100967571342
"Atp6v0b",0.286544119904864,1.90689338770811,3.45557746251358,0.000557477954301722,0.0598970242043321,-0.383225435864793
"Cttnbp2",0.315320991692217,1.24694413839828,3.44020055137401,0.000589989151076656,0.0624973014823596,-0.432328333961687
"Ybx1",-0.301834474859952,1.29561243433934,-3.42353526299707,0.000627213242393855,0.0652624403947684,-0.485300383990846
"Rnf220",0.128341499954511,0.138112487921971,3.41712745868585,0.000642099077502663,0.0652624403947684,-0.505600297472583
"Neto1",-0.13379311607627,0.131719401081267,-3.41711650804328,0.000642124795800141,0.0652624403947684,-0.50563495683463
"Uqcrh",-0.242414018715284,0.560750892216263,-3.40894162062449,0.000661593812858309,0.0663398763416911,-0.531478197390767
"Diras2",0.167090931104543,0.24328439307322,3.405330728183,0.000670367052515426,0.0663398763416911,-0.542873767226721
"Akt3",0.252713265381217,0.689494728803007,3.38431431708832,0.000723614974934136,0.0706793276166186,-0.608961641370657
"Nsfl1c",-0.207082690814701,0.412103104962765,-3.37524799757805,0.000747777917226046,0.0717885782617724,-0.637346256137426
"Ablim1",0.236613653757434,0.588503672578091,3.37056849846437,0.000760540737342912,0.0717885782617724,-0.651967191385395
"Cox6c",-0.286520444123125,0.908291485524909,-3.36945522049641,0.000763606735931631,0.0717885782617724,-0.655442629863389
"Pex19",-0.140057018951765,0.174638970774158,-3.36599610665668,0.000773206652845063,0.0717936695808361,-0.666234053158528
"Rprd2",0.169340147398471,0.273213626678355,3.33455047851969,0.000865763053143961,0.0794073649109236,-0.763831277987885
"Erbb4",-0.13035943252414,0.116127672243283,-3.31798614646909,0.000918554288398602,0.0826331352426379,-0.814876524851073
"Opcml",0.429218991018071,2.08863156500086,3.31387045862151,0.00093212626337997,0.0826331352426379,-0.827520490059201
"Rpl28",-0.278922553901601,0.847626031566018,-3.31031237784888,0.00094400903752647,0.0826331352426379,-0.838438868741981
"Meis2",-0.383211998030978,1.55976100604036,-3.3100529368307,0.000944880950786711,0.0826331352426379,-0.839234538355541
"Osbpl9",0.277675911797634,1.0936586305236,3.30594933529236,0.000958771728982746,0.0827718883768229,-0.851811491690786
"Gfod2",0.219450688078662,0.528309261167377,3.30311436990551,0.00096847841738604,0.0827718883768229,-0.860491221380843
"Fn1",0.125059058765423,0.119801186129719,3.29570229028541,0.000994288685574226,0.0832281554408034,-0.883149679949092
"Dscaml1",-0.178933305165995,0.288842563545143,-3.29298948794333,0.00100389340259061,0.0832281554408034,-0.891430001777044
"Pcbp2",-0.204915951610698,0.428588220144241,-3.29211289708457,0.00100701530981427,0.0832281554408034,-0.89410418612709
"4931406P16Rik",0.186061590912618,0.345016940095049,3.2876935205988,0.00102289195531383,0.0836214173469054,-0.907575468486565
"Anks1b",0.295239180174058,1.18972543788599,3.26172149614822,0.00112097686538333,0.090654483919871,-0.986381595839971
"B3galt2",0.232852147813801,0.563326816815442,3.24471805971496,0.00118982897972255,0.0951989761329073,-1.03763887195045
"Meg3",0.408930207170355,3.54501597832926,3.22635645279902,0.00126855664786418,0.100429626827226,-1.09269198989242
"Bmyc",-0.19307235111581,0.398287472287938,-3.21677055557851,0.00131154329043275,0.102751219659841,-1.12131000922667
"Add2",0.270888531814697,1.16639025420095,3.17568336281583,0.0015114655071671,0.117193114220657,-1.24301591039146
