"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Unc5c",1.59669468154181,0.68431464208121,7.89393432780979,2.06855274990307e-14,1.54789802275247e-10,19.9774985513378
"Gm2694",0.765097853431625,0.307546355587073,5.23376078360174,2.5048794111546e-07,0.000859623108873406,6.05348473446744
"Chd7",0.874520937636971,0.494296262277682,5.17107344661293,3.44630405802515e-07,0.000859623108873406,5.78305987241923
"Neurod1",0.710567342032481,0.311445878077455,4.90247710160275,1.3041330202073e-06,0.00220839752082308,4.6569955859472
"Ndst3",0.781652940249571,0.386929685764311,4.87692262675506,1.4756097292684e-06,0.00220839752082308,4.55264066523866
"Cadm2",-1.04834202587136,0.998384723857163,-4.36964448707196,1.53175562593502e-05,0.0191035455814529,2.58292215406231
"C1qtnf4",-0.478121363815588,0.214112619310737,-4.25624565348185,2.50920192241064e-05,0.0268233685505697,2.16949428570147
"Zic1",0.710396381756444,0.459557239816794,4.1398751309222,4.11697602467218e-05,0.0385091644907774,1.75560645184503
"Dlx1as",-0.313762919451209,0.078402606031674,-4.03014924975492,6.49767595264759e-05,0.0540245657262911,1.37504208286298
"Glce",0.587622196557799,0.343414081611904,3.91955778476925,0.000101854796379256,0.0762179441305976,1.00105568646951
"Cadps2",0.436634961548498,0.152574664336602,3.88838234088242,0.000115396444293256,0.0785010538769484,0.897375961161989
"Abca5",0.553190612451626,0.358649688515247,3.81712430789443,0.000153017957199067,0.0954194478100514,0.663289267450207
"Atxn1",-0.565272415150553,0.353702939372131,-3.76905702242038,0.000184645256386407,0.106284650272268,0.50766672450499
"Zbtb18",0.586390469706374,0.379311368852879,3.65313687572264,0.000288111358142966,0.153995520927415,0.139956508516499
"Sox11",-0.757709474599145,0.83894123361346,-3.62122332104684,0.000324991260233951,0.16212730668871,0.0406144555646568
"Dlx1",-0.315595024917454,0.101543353938164,-3.59694536540449,0.000355968094313519,0.166481828109254,-0.0344107278607249
"Nav2",0.820452592690351,0.927987932038638,3.56781773856365,0.000396786270134308,0.17465597996559,-0.123796403160335
"Kcnj6",0.574722236211092,0.391651075146872,3.53329466550263,0.000450839905175206,0.187424167245893,-0.228853435647971
"Nrn1",0.807061248424411,0.872670538763457,3.5164751402521,0.000479603920714279,0.188888217826576,-0.2796882212448
"Gm12063",-0.450203288204938,0.228572155047548,-3.48426339711784,0.000539544203772912,0.194758752379975,-0.376405402080972
"Nrp2",-0.595042668318541,0.398407641616507,-3.48071285006495,0.000546563383666909,0.194758752379975,-0.387014695266058
"Gpr89",0.406950395026392,0.219319404771154,3.46308240287939,0.000582699190223525,0.198197183656484,-0.439544512184258
"Timm17a",0.371301477877753,0.1850274205775,3.44567354681211,0.000620560309763357,0.201897947737356,-0.491166888362229
"Prickle2",0.388678127697624,0.194601377697369,3.41790909461801,0.000685725353214165,0.206056526598962,-0.572987835592771
"Cd81",-0.675202348442489,0.759981769527366,-3.41315763227852,0.000697497354787402,0.206056526598962,-0.586927513487201
"Ddx5",0.772620291437295,1.5305228841168,3.39698680681591,0.000738988172720683,0.206056526598962,-0.634231452527892
"Astn2",0.462274429220617,0.305199728221373,3.39161192025619,0.000753280549512923,0.206056526598962,-0.649907340322615
"Camk2d",0.716911460697564,0.803246071340898,3.38506935296634,0.000771025356778155,0.206056526598962,-0.668957065498014
"Elmod1",-0.703208219470553,0.808016107104485,-3.34936522877617,0.000874917248085313,0.22575881956629,-0.772301382626948
"Zfp397",0.66922808074109,0.821197553357627,3.32552162160261,0.000951394983441879,0.23325425785209,-0.840737365993255
"Marc2",-0.378794828053945,0.206643516278308,-3.31339050534932,0.0009926472223052,0.23325425785209,-0.875378114961249
"Nme2",-0.584979532966531,0.549708174260794,-3.30659195634711,0.00101648625345326,0.23325425785209,-0.894739036178671
"Msra",0.315825775416817,0.137740242733947,3.3031797843928,0.00102865034199104,0.23325425785209,-0.904442000100754
"Ash2l",-0.45708368890655,0.30143674523006,-3.28676690716214,0.00108907197259045,0.239691928555716,-0.95098127904945
"St18",0.216209801345049,0.0650051276520276,3.26300281475717,0.0011824093154428,0.252799111641671,-1.01797490461186
"Dlgap2",-0.388389261457786,0.19826605379571,-3.25042122295611,0.00123477646073541,0.256085626764936,-1.05325673771898
"Echs1",0.344555376453818,0.177706442597051,3.24310085452189,0.00126622587068056,0.256085626764936,-1.07372518302466
"Tmbim1",-0.13396635083101,0.0268509585711038,-3.22522080567897,0.00134618628989663,0.263358919634648,-1.12353493052124
"Grm5",-0.656419426329016,0.662619288302081,-3.21953483969838,0.00137257755789807,0.263358919634648,-1.13931982505388
"St8sia2",-0.495530940004969,0.394211219075703,-3.21093141020465,0.00141342153418585,0.264415833507818,-1.16315352725284
"Esrrg",0.353520092042058,0.176898769920988,3.18190384178113,0.001559667020057,0.283973172098171,-1.24311915521957
"Zfp536",0.574635990016734,0.519354759689775,3.17321144263804,0.00160610738920959,0.283973172098171,-1.26693050369941
"Vps9d1",-0.501526016370002,0.423606038006172,-3.16849958513218,0.00163181162638265,0.283973172098171,-1.27981188769916
"Hes5",-0.273151981945494,0.0888120412181235,-3.153586155097,0.00171569206407699,0.291784629897457,-1.32046226968574
"Ndfip1",-0.692315532872215,1.50058393282816,-3.12157531287569,0.0019093338935873,0.317501011682528,-1.40709818708395
"Herc4",-0.540888895131429,0.521006389281682,-3.11007921305468,0.00198365548233779,0.318013061014868,-1.43800595947101
"Nkain2",-0.565569276317544,0.515820925584581,-3.10701365706716,0.00200391915693703,0.318013061014868,-1.44622945200269
"Tmed10",-0.469712719940889,0.39508666772957,-3.08834839497642,0.0021314673655678,0.318013061014868,-1.49613267937376
"Wdr36",-0.363035577645366,0.23222040155304,-3.085694947019,0.00215019401749081,0.318013061014868,-1.50320358273594
"Fzd3",0.555512440838811,0.567168532825853,3.08557762438541,0.00215102550235484,0.318013061014868,-1.50351608980274
"Uimc1",0.343437079591113,0.193625785578287,3.08327541559281,0.00216740159184261,0.318013061014868,-1.50964608306054
