"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arpp21",-1.64826328914204,0.545965870672675,-8.15551962684804,7.22815220698583e-16,2.88664476108616e-12,25.0620468076518
"Ahi1",-1.74701127363666,1.92313678131968,-8.1480456880551,7.66908810065399e-16,2.88664476108616e-12,25.0059940280573
"Rgs9",-0.974783046863126,0.2271502810407,-7.22772287168284,7.76325338283808e-13,1.94805904886683e-09,18.4657887795214
"Dgkb",-1.16300320754265,0.502076295832272,-6.77023193575051,1.83409773040944e-11,3.26715818689009e-08,15.4857512448388
"Tmem158",-0.841092837740447,0.217326678525212,-6.74512123533299,2.17000410925218e-11,3.26715818689009e-08,15.3274675009458
"Dlgap1",1.32324155613091,2.57294054171449,6.50376192479997,1.06165851833186e-10,1.3320275543337e-07,13.8343074216736
"Meis2",-0.874523141686023,0.224379424895673,-6.40166589519206,2.04560647915054e-10,2.19990365357789e-07,13.2181387657313
"Sgcz",-1.26041690819757,0.628424099074656,-6.35979819528117,2.66962834552579e-10,2.51212027313977e-07,12.9681232250018
"Cacna2d3",-1.06553588919557,0.390452274246744,-6.31275236473703,3.59386629898986e-10,2.77149970035963e-07,12.6890379593839
"Tcf4",1.41732756444402,2.24390459233982,6.30892217417182,3.68158833735339e-10,2.77149970035963e-07,12.6664028389411
"Rnf144b",1.23515131529014,0.812283457668806,6.22443171528545,6.24603937595983e-10,4.27456222020233e-07,12.1704030504622
"Gprin3",-0.637154525229951,0.130536638170221,-6.16102231959655,9.24816641292159e-10,5.62826846783516e-07,11.8023245685175
"Pcp4",-0.973881240114677,0.344275010437311,-6.15295113931845,9.71937966018293e-10,5.62826846783516e-07,11.7557296098294
"Gpr88",-0.68987788643182,0.160431233408525,-5.97433901702996,2.87544851218478e-09,1.54616974283765e-06,10.7394612596885
"Ddx5",-1.28392903649188,1.43699441504288,-5.81867193865214,7.22785596692033e-09,3.47620238068192e-06,9.87700201318959
"Ndufb8",1.2241365373541,0.962674953852415,5.81491775682779,7.38831536808059e-09,3.47620238068192e-06,9.85647052862898
"Phactr1",-1.36958432841758,1.13528887848936,-5.65624987203146,1.84706425680577e-08,8.17923513249048e-06,9.00030025835655
"Erbb4",1.35758014047192,2.16227170890854,5.62422422713253,2.21612241543711e-08,9.26831641300588e-06,8.83023822486405
"Penk",-1.06322300389245,0.269816329917399,-5.59703369364128,2.58489353108766e-08,1.02416202642252e-05,8.6865772515621
"Unc13c",-0.548094132370817,0.132115265690596,-5.50484424302096,4.33423987521818e-08,1.63140788903212e-05,8.20446133070616
"Pde1a",-0.657815553495769,0.191855226621347,-5.41045125959409,7.29886519726161e-08,2.61646939071359e-05,7.71878218772834
"Gda",-0.740584709842733,0.281409455237714,-5.29437614674276,1.37005210507509e-07,4.68806920318422e-05,7.13260926385826
"Lrrc7",-1.15438693074335,1.09458164210628,-5.2477845638434,1.75793872851296e-07,5.75380989054154e-05,6.90076412150282
"Auts2",-1.12688219124749,1.07336770620158,-5.23095250639803,1.92266962953224e-07,6.03077373796612e-05,6.81749099587281
"Cadm2",-1.24093247160078,1.65682298044521,-5.21201673374346,2.12585073604121e-07,6.24688202554648e-05,6.72411815378031
"Dab1",-1.11640699245755,0.981023829682844,-5.2085270482709,2.16549628821385e-07,6.24688202554648e-05,6.70694600946327
"Arhgap6",-0.462665425607029,0.108289537804958,-5.20208979352839,2.24051294752597e-07,6.24688202554648e-05,6.67529845371834
"Pvalb",1.169161389784,0.989762753212569,5.17692580154073,2.55861583045214e-07,6.87902141844419e-05,6.55194627409951
"Ppp1r2",-1.04035720519016,0.815939776519505,-5.0868971048826,4.09468364790685e-07,0.000106292339660147,6.1153550214177
"Adcy5",-0.690832474819573,0.275903680422666,-5.0677249088206,4.5216007546322e-07,0.000113462034936237,6.023334515264
"Myo19",0.639627943982603,0.274694910520427,5.05164159943997,4.91260255042007e-07,0.000119250914721256,5.94639841388424
"Gabra1",1.1692335627988,1.66532146922268,5.04554779464897,5.06911433459111e-07,0.000119250914721256,5.91730977629091
"Sez6",-0.59364359168347,0.198258397488892,-5.03189004196015,5.43757408668794e-07,0.000124042599165415,5.85223795878185
"Cacna2d1",-0.738553132045307,0.295312193601931,-5.01894179611259,5.81067459424093e-07,0.000128655171604252,5.7907038659025
"Wfs1",-0.506159688781273,0.149296606810241,-5.01287240175989,5.99395312864473e-07,0.000128921369006964,5.76191293354701
"Kcnc1",1.16505369602151,1.85118448994328,4.97901499068601,7.12325075597947e-07,0.000148955088030593,5.6019236992825
"Elmo1",-0.705971118417436,0.316892703287918,-4.96491222531263,7.65189069769727e-07,0.000155684954519635,5.5355918749965
"Pde10a",-1.19619885563673,1.10352547095046,-4.86220956727023,1.28171122441542e-06,0.000253913739405244,5.05802242311018
"Csmd3",-1.00348344568894,0.847540817061326,-4.85053789181825,1.35825937544016e-06,0.000262178886623424,5.00436019633079
"Rtn1",-1.01553237261769,2.14235644609962,-4.83369557028465,1.47652170572996e-06,0.000273751978613845,4.92714527886248
"5330434G04Rik",1.0126201083436,2.23732626697076,4.83173107075365,1.49094462316255e-06,0.000273751978613845,4.91815581651039
"Uqcr10",0.924940987988448,0.723371385947325,4.80565349502613,1.69572630986063e-06,0.000303938753824544,4.79916131844723
"Camk4",-0.690807304789572,0.306916610284616,-4.74518466789175,2.27991314054346e-06,0.000399143863302586,4.52563739551088
"6330403K07Rik",-0.650285495322073,0.259750848370952,-4.72611644681519,2.50124459923444e-06,0.000427940212341748,4.44008079056778
"Cemip",1.14051067072387,1.43044090023572,4.70197834974089,2.81115048598759e-06,0.000470274241300325,4.33225548428602
"Ryr3",-0.499357160667192,0.162549793319456,-4.65562535562667,3.51273306732395e-06,0.000574866402843798,4.1266979411986
"Grm7",-0.755717690582228,0.419489931511746,-4.6367022902116,3.84503050733607e-06,0.000615859354451615,4.04334966257592
"Foxp1",-0.556285571465202,0.194107974311035,-4.62340841906375,4.09629678469349e-06,0.000642435879066096,3.98499275820047
"AC149090.1",-0.912558991538649,1.58140002923046,-4.5821556388069,4.98025886120029e-06,0.000765130381777873,3.80493899238966
"Foxp2",-0.48299945232721,0.123753663550202,-4.57751327819404,5.09048361609078e-06,0.000766423213238628,3.78477486839071
"Gsg1l",-0.408968642625666,0.120627965219945,-4.543586027208,5.97003977490355e-06,0.000881224694617135,3.63801464575729
"A730017C20Rik",-0.367494658574596,0.0878790777241895,-4.51946592864337,6.68200614385134e-06,0.000967348889440632,3.53432299972007
"Zeb2",0.999204949281906,1.16367194288107,4.51090793970318,6.95362922445658e-06,0.000987677750975644,3.49766141584483
"Brinp3",-0.676673535308231,0.309312576535693,-4.50057594338865,7.29565475123831e-06,0.00100417331035338,3.45349019464441
"Pdzd2",-0.512179610894809,0.181787210578506,-4.49937181318594,7.33654783069023e-06,0.00100417331035338,3.44834872124814
"Aplp1",-0.886033604713775,0.795589217186449,-4.45522514751019,8.99682285383322e-06,0.00119536759708983,3.26077244830361
"Gpm6b",-0.921713599828625,0.809474351033918,-4.45016718641641,9.20852642573051e-06,0.00119536759708983,3.23939640457181
"Tusc3",-0.78846391710281,0.574454994429041,-4.45013726515,9.20979285749337e-06,0.00119536759708983,3.23927002109672
"9530059O14Rik",-0.902459838713928,0.828296136184416,-4.44420700035689,9.46410939051439e-06,0.00120755619477614,3.21423769046183
"Lmo7",-0.565454836299452,0.222181674162096,-4.43980990257155,9.65699801528595e-06,0.00121163135098454,3.19569800826576
"Pde1c",-0.330282422352685,0.0729317379989247,-4.42205019887639,1.04750078277955e-05,0.00129271899881385,3.12099874462138
"A830036E02Rik",-0.721011671933048,0.339981117114765,-4.40758911457059,1.11896004783352e-05,0.00135863407098238,3.06038913034623
"Nrp2",-0.493043116791523,0.18663244933733,-4.40280423831828,1.14361339505977e-05,0.00136652724412857,3.04037721195901
"Nkain3",-0.679745320014083,0.337320158345387,-4.39481307890596,1.18594786424998e-05,0.00139497117532404,3.00700276023646
"Plk2",-0.647364887569218,0.353524131135639,-4.38128890039295,1.26102615278243e-05,0.00146046228894556,2.95065460881697
"Pde4b",-0.486991685093437,0.16955032152235,-4.34401085465878,1.49219845089213e-05,0.00170201059671454,2.79621239736381
"Lrp11",0.677714059472458,0.44402249949962,4.28924197846928,1.90642523967599e-05,0.00211900484239691,2.57163895102947
"Ramp1",-0.434901551588005,0.144780709239529,-4.2883403352966,1.91408513925332e-05,0.00211900484239691,2.5679651085968
"Gm20754",-0.594135337509945,0.249276597919065,-4.28196140230897,1.96912144186433e-05,0.00214283336200423,2.54199496908266
"Syt2",0.787678861191558,0.587474949607715,4.27929861246933,1.99253899229936e-05,0.00214283336200423,2.53116527655906
"Ttc14",0.873543442698716,2.00309421738436,4.25831268504065,2.18661367555797e-05,0.00228279356186822,2.4460444441211
"Utp11",0.584377222478605,0.306142801077774,4.25358988305444,2.23270732734656e-05,0.00228279356186822,2.42694459072412
"Pde7b",-0.507809879215276,0.190767812529694,-4.25308790437357,2.23766061017832e-05,0.00228279356186822,2.42491571491407
"Btbd3",0.834051024497579,0.791317984212983,4.25244913723687,2.2439787935474e-05,0.00228279356186822,2.42233431112478
"B3galt1",-0.704831500511198,0.461930242166742,-4.23762913777637,2.39542829319213e-05,0.00240437122548672,2.36254949884109
"Ptprf",-0.342201433693187,0.0933295449543576,-4.22747621488513,2.50475008257398e-05,0.00248102087126539,2.32170950550041
"Smdt1",0.806705355846923,0.700752468381675,4.20648413743308,2.74603429511455e-05,0.00267569518750981,2.23757232454576
"Nlgn1",-0.743815368003802,0.534558292686031,-4.20429997171299,2.77237280321155e-05,0.00267569518750981,2.22884156823686
"Actg1",-0.89405665144069,1.36541586147502,-4.18390245945744,3.03022652407039e-05,0.00286698218996872,2.14752035710601
"Ngef",-0.480659457378834,0.179304225570817,-4.18265311070295,3.04673984056188e-05,0.00286698218996872,2.14255197610704
"Ywhaz",-0.858414926522647,1.09105229750425,-4.11076186943278,4.15527961175409e-05,0.00386184505151664,1.85909747234355
"C130073E24Rik",-0.837097049963498,0.546996566806574,-4.09112594332854,4.51907329569586e-05,0.00414872972804859,1.78251120586164
"Kcnc2",0.968955497363432,1.50749641212971,4.07052634593436,4.9331173645891e-05,0.00446336656531802,1.70255152131501
"Adgrl2",-0.81972822089405,0.690062641714904,-4.06828034171386,4.98037714514763e-05,0.00446336656531802,1.69385725265559
"Nnat",-0.583604817973492,0.248103948639921,-4.05564969011218,5.25425054678404e-05,0.0046534115430812,1.64505144282551
"Pde1b",-0.569607528445833,0.288942332709021,-4.04167425171377,5.57391301296089e-05,0.00487911827460111,1.59122218549326
"Cplx2",-0.561101311226338,0.285256974331104,-4.0370113983401,5.68460935094511e-05,0.0049188205970017,1.57330267420646
"Phf20l1",0.880865064245767,1.44935565384648,4.02776390957935,5.91034042563948e-05,0.00500623768968256,1.5378240849696
"Dapk1",-0.605270250442344,0.372487378724821,-4.02743035603288,5.91863913897115e-05,0.00500623768968256,1.53654587193363
"Stox2",-0.744100077991656,0.657684673033203,-4.0118951933627,6.31762082204912e-05,0.00528433883870953,1.4771281617187
"Gm27243",-0.263082504444847,0.0591674006388383,-3.9871099462428,7.00736574447777e-05,0.00576270203094211,1.38279651482795
"Gabbr2",0.69327320866342,0.564738713570925,3.98590604613017,7.04262203568909e-05,0.00576270203094211,1.37822908420922
"Map1lc3b",0.635065387239439,0.449520050268236,3.98080359281618,7.19392086402442e-05,0.00579937411087957,1.35888606269923
"Nrxn1",-0.876756986067459,1.34309913364909,-3.97921954581405,7.24151390040754e-05,0.00579937411087957,1.35288598958804
"Snx27",0.648687909343086,0.464588024948544,3.96683674121818,7.62396623555134e-05,0.00604139134960321,1.30606277871015
"Serpine2",-0.412715676981624,0.143836784880574,-3.94720740827803,8.26965115542502e-05,0.00648478478104579,1.23213085516697
"Ncam2",-0.528837656908245,0.274676556736864,-3.92598820342575,9.02567353392156e-05,0.00700466704776923,1.15261463172692
"Ndufs5",0.749364069722463,0.714860227602923,3.91397299234631,9.48227741131663e-05,0.00726077548151139,1.10777526263103
"Kcnh5",-0.324949497735306,0.099673764976853,-3.91227406131751,9.54857561994724e-05,0.00726077548151139,1.10144590915662
"Gm30382",-0.46052888131004,0.192611499695396,-3.90932980888642,9.66450936952319e-05,0.00727544265337706,1.09048349331421
"Gm28285",0.811575274488388,0.874911827636144,3.8940989769006,0.000102857898722958,0.0076664778374894,1.03390316486376
"Sorcs1",-0.428589808996968,0.162364533611133,-3.88481492683923,0.000106828073843568,0.00788433078327825,0.999520382216707
"Scn8a",0.810683999265681,1.14637428592077,3.88014538093161,0.000108879218949682,0.00795253342801486,0.982257452829452
"Ptn",-0.527504078062069,0.28673261959001,-3.87637935903358,0.000110560518741311,0.00795253342801486,0.968349593253217
"Arhgef9",-0.776732641054149,0.866249512185426,-3.87557814363697,0.000110921361575659,0.00795253342801486,0.965392424045464
"Scn1b",0.780646563363974,0.856898373029935,3.86066901795781,0.000117842289405638,0.00829553512478379,0.910474264903941
"Gap43",-0.565957885459389,0.317101765697616,-3.860528453915,0.000117909439207208,0.00829553512478379,0.909957480313815
"Atp5e",0.716124821043118,0.625860256802032,3.85685684888916,0.000119676273118009,0.00834187948178125,0.896465330940775
"Iqsec1",0.664418668714358,0.589103618884067,3.841222044204,0.000127483541481445,0.00880455137864511,0.839152510216551
"Ralyl",-0.633654525927418,0.399854134222364,-3.83866462999726,0.000128805444134562,0.00881497621313618,0.829799454300557
"Csgalnact1",-0.358594857089863,0.124980147834014,-3.83638725116457,0.000129993473679773,0.00881613396271472,0.821475690866502
"Tef",-0.769513034844281,0.864748312864204,-3.83249407309845,0.000132048381791386,0.00881650674863225,0.80725743233021
"Hcn1",0.854954395247204,1.44282956244001,3.8319437881092,0.000132341294181116,0.00881650674863225,0.805248880101088
"Nell2",-0.646647011541055,0.462266540624358,-3.82940339228523,0.000133701489689881,0.00882898959987214,0.795980044331316
"Inf2",-0.309711137490452,0.0861464681111127,-3.82477743505898,0.00013621227867357,0.00891657420743162,0.779117345220576
