"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Psap",-1.69200375551879,1.91648851679162,-4.02770772987079,0.000104458134471158,0.392231672480348,-0.990128196805474
"Pou2f1",-1.58616613266959,0.717235738476591,-3.98165314783229,0.00012377628992755,0.392231672480348,-1.07229917473932
"Bcl11a",1.13294469840065,0.340603789617547,3.91480502676506,0.00015798805282506,0.392231672480348,-1.19052158426195
"Tspyl5",-0.750167432473342,0.162287357616134,-3.71251575102031,0.000325179496509434,0.595223002597192,-1.54041760841101
"Serp2",0.705995872872551,0.154603160270104,3.61026505653608,0.000463826022505516,0.595223002597192,-1.71258749110772
"Sucla2",-0.960053395791241,0.309582973770879,-3.60059497041658,0.000479502955905364,0.595223002597192,-1.72870115715339
"Nrg3",0.63314128387158,0.130128219800711,3.51827403012105,0.000634782434827777,0.675408510656754,-1.86466960596452
"Cox7c",-1.45362168357139,0.969527244355027,-3.40740946480447,0.000919745225975579,0.751310690178442,-2.04429789106785
"Mtss1",0.773916718342023,0.221388539259939,3.33454606790206,0.0011683803543365,0.751310690178442,-2.16011627843377
"Rhobtb2",-1.0635307801235,0.450467694296729,-3.30844671929672,0.00127183600522614,0.751310690178442,-2.20116093425502
"D130040H23Rik",1.18725249514831,0.556486242002106,3.22211633587248,0.00167836520239956,0.751310690178442,-2.33523966012612
"Nme1",0.6958969668543,0.145633243956678,3.21731876775794,0.00170418152356146,0.751310690178442,-2.34261386250533
"Psen1",0.869242758574397,0.282241647596661,3.21042427093385,0.00174193062414236,0.751310690178442,-2.35319689313082
"Far1",1.23609739206188,0.632912453663804,3.20872034290316,0.00175137943604063,0.751310690178442,-2.35580981496527
"Fxr2",0.791195554806537,0.243306663756489,3.20102858897854,0.00179463016680959,0.751310690178442,-2.36759203022094
"Sh3bgrl3",-0.730350558783261,0.19934399126257,-3.18897981144156,0.00186438544209988,0.751310690178442,-2.38600593288521
"Cnnm2",-0.783673906867461,0.245032548581826,-3.188322999477,0.00186825963784687,0.751310690178442,-2.38700823507132
"Faah",0.63717187809033,0.137077483407856,3.15539397185458,0.00207238241597874,0.751310690178442,-2.43705996319957
"Xrn1",-1.04702671980262,0.535996214789159,-3.15174964552673,0.00209620535029236,0.751310690178442,-2.44257531249814
"2610037D02Rik",0.402319202912065,0.0664903700962382,3.14930350687118,0.00211233828784803,0.751310690178442,-2.44627462578338
"Phf20",0.757676918557001,0.210719018798709,3.1483953414252,0.00211835720914974,0.751310690178442,-2.44764750055173
"Parn",-0.76217266574758,0.241448494870875,-3.09819409640922,0.00247697432709948,0.779089919390329,-2.52307091157282
"Ckb",-1.37611316820264,2.50368063218536,-3.09247863975324,0.00252119455942128,0.779089919390329,-2.53159960869797
"Ccdc84",-0.697967847436835,0.217686498419873,-3.0881349719123,0.00255528968797687,0.779089919390329,-2.53807328315074
"0610009O20Rik",0.970092191775837,0.383583281854966,3.08064369348031,0.00261509774231448,0.779089919390329,-2.54922177055991
"Zxdc",0.717387885424066,0.176998216411914,3.05629029044663,0.00281860866591166,0.802262101989413,-2.58532142000509
"Gstz1",0.881973927712136,0.291594533971815,3.03485094863888,0.00300980301405158,0.802262101989413,-2.61691963459884
"Amph",0.719690618761101,0.220374644620192,3.03417486502946,0.00301602293980982,0.802262101989413,-2.61791329463035
"Mtm1",0.666716711519999,0.17555501666842,3.00186362896976,0.00332751933305507,0.825905232011877,-2.66520290241162
"Tmsb10",-1.03766686169032,0.461993586580357,-2.99274364284195,0.00342066957097154,0.825905232011877,-2.67847973539453
"Ociad2",0.537971288654685,0.126033388424303,2.99111306883476,0.00343757548232656,0.825905232011877,-2.68085021766051
"Atp5f1",-1.02163582975428,0.587884818347383,-2.95023310042597,0.00388745418743192,0.833960304620887,-2.73995178972474
"Rpl18",-1.03037008937279,0.535208467527909,-2.94391938168611,0.00396158375786728,0.833960304620887,-2.74902317987378
"Gpx4",-0.957392300576774,0.460516816818883,-2.93984168395302,0.00401014942459305,0.833960304620887,-2.75487383265102
"Atp5k",-0.671124080712048,0.198395838758629,-2.9395130649315,0.00401408706296311,0.833960304620887,-2.75534505662997
"Zfp62",-0.938659343387091,0.467279366242585,-2.93810848354702,0.00403095743372072,0.833960304620887,-2.75735869441823
"Tubb2a",-1.09462018227436,0.774898671322057,-2.92192523245406,0.00423009657555384,0.848008582039634,-2.78050492031488
"Txnl1",0.803794990687893,0.248223121756255,2.91427641414879,0.00432733109447042,0.848008582039634,-2.79140977366159
"Plekhh2",0.511566623856205,0.12856796942154,2.88500484545463,0.00471871785398176,0.848008582039634,-2.83293398544545
"Asrgl1",-1.11723372451453,0.73513710346998,-2.88411886085377,0.00473105557763415,0.848008582039634,-2.83418567128251
"Gm14305",0.637263039041681,0.166175340527423,2.88212620274705,0.00475891244245802,0.848008582039634,-2.83699971354914
"Kdm2b",-0.526124909523811,0.124774012811929,-2.87315590822412,0.00488618812267129,0.848008582039634,-2.84964855510035
"Kdm6b",0.619101250805246,0.166197017409624,2.87044365878831,0.00492528126640962,0.848008582039634,-2.85346689972422
"Ccnh",-0.799071877698246,0.332526607748408,-2.85373960181049,0.00517243512601886,0.848008582039634,-2.87692005493117
"Mgat5",-0.969419473777023,0.5121329155773,-2.8531183241691,0.00518184301892953,0.848008582039634,-2.87779025696789
"Ndrg2",-1.46978558787796,1.79699727172216,-2.84693115066102,0.00527639325187738,0.848008582039634,-2.88644819661931
"Dhx29",-0.584924554514943,0.157431407946836,-2.83774439657482,0.00541969881524881,0.848008582039634,-2.89927596554591
