"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Zfpm2",-1.77003063034335,0.363474168982172,-4.96993551164591,1.6658159158964e-06,0.0124303183644189,4.25704543491304
"Zdhhc6",-1.05056823837033,0.136427544811617,-4.60268216144124,8.2909952964698e-06,0.0309337034511288,2.9516323913912
"Fn1",-0.680484730106867,0.0531565358962094,-4.46422601656983,1.484966120406e-05,0.0369360573015653,2.47854307026328
"Cadps2",-0.94962119611491,0.131138629157729,-4.37363195336047,2.15964140241841e-05,0.0402881103621155,2.17486576771136
"Cers2",1.18906129483677,0.203028912682509,4.26774816395724,3.32273408928309e-05,0.0456297023500902,1.8259494241559
"Srsf6",1.50835787366188,0.359551054771806,4.24312280340251,3.66896561378372e-05,0.0456297023500902,1.74574370892824
"Prkar2b",0.854181483574324,0.114839953537027,4.11033558817544,6.21704977540994e-05,0.06627375060587,1.31947314380555
"Nespas",0.509963525277552,0.0471666824175315,4.065897001104,7.39709919927809e-05,0.0664833606244963,1.17918997430069
"Gm26917",2.33468835000987,2.09321474550714,4.04514753016738,8.01863100536675e-05,0.0664833606244963,1.11410050714963
"Ctcf",1.27764498886208,0.270958451323949,3.96925964374253,0.000107433548877339,0.0801669141722705,0.878299113248067
"Arhgef40",1.06855716432415,0.17663490599353,3.86303905300373,0.000160696912208072,0.109010941717876,0.554257794324243
"Ptprm",-0.425918762696392,0.0259706562619751,-3.77766594802412,0.000220816946358823,0.137311337810795,0.298973093955749
"Sdc3",0.747035820058558,0.115921627534078,3.65135906710056,0.000349994698132625,0.195005519130571,-0.0701358728573869
"Fam126a",0.657802022234888,0.0715055898008074,3.63902862731516,0.000365864013378182,0.195005519130571,-0.105614490197164
"Rpl28",-1.47944533863981,0.509975449203575,-3.60895684802992,0.000407460104563964,0.202697820017087,-0.191723126646922
"Gmeb2",-0.961351702307932,0.184829920220576,-3.58941385107063,0.000436840531929791,0.203731503078756,-0.247364793870155
"Rpl32",-1.14481086039382,0.311688268010131,-3.55308415886346,0.000496833157064828,0.213466495868053,-0.350130958897518
"Phactr2",0.550720157924269,0.0500978752289681,3.54293577830634,0.000514928561461398,0.213466495868053,-0.378681675154015
"Faim2",-1.74321116326991,0.970870445334916,-3.49817051671587,0.000602400716326218,0.219023358821001,-0.503803716284527
"Dock10",1.49573503082686,0.284520248798508,3.49491261875223,0.000609283347730736,0.219023358821001,-0.512857602734911
"Pik3r1",1.24117976835395,0.315921312089931,3.49158547323704,0.000616388439458727,0.219023358821001,-0.522096608437874
"Fam91a1",0.953338086472353,0.177370582907622,3.4778143679554,0.000646632113440932,0.219325855931647,-0.560258205232977
"Pde1a",-0.733760469541642,0.118122835770135,-3.40449075922587,0.000832511161891693,0.270095577827644,-0.761301614957953
"Resp18",1.03143392683843,0.240766472794196,3.37817765495414,0.000910635005668211,0.280552529363114,-0.832562642344381
"Herc2",1.651538599483,0.933880646503397,3.36242940479348,0.000960617624134923,0.280552529363114,-0.87498691042478
"Mtmr12",0.663525791660617,0.103984057276241,3.35727235102004,0.000977534945516078,0.280552529363114,-0.888842802428791
"Ttc5",1.27781121721623,0.422767377761416,3.32745641122823,0.00108092775876358,0.298736405033104,-0.968595857584232
"C1qc",1.1491524121516,0.167660167100342,3.28256980189328,0.00125598123450834,0.313712567393431,-1.08751175147031
"Hspbp1",-0.758696399245415,0.141227942983785,-3.28142853357376,0.001260758614702,0.313712567393431,-1.0905171959677
"P4ha1",-1.44967977740464,0.600640129633112,-3.2754339831484,0.00128613117582258,0.313712567393431,-1.10628865161717
"March5",0.621783482788377,0.0948101900762503,3.27144401542272,0.00130328190688774,0.313712567393431,-1.11677238172697
"Cdk5r1",-1.10265628579574,0.358667958308273,-3.22095269183144,0.00153953211658272,0.358999645435632,-1.24848826588265
"Rgs17",-0.855783976706959,0.204695300585455,-3.20338916666833,0.00163064306786307,0.368722987042248,-1.29389127693677
"Gsdme",0.884090124798512,0.200502640624054,3.17744666626787,0.00177441365222032,0.38027236310951,-1.36056134644496
"A830082K12Rik",0.415397660063446,0.0415895323274853,3.16954811326834,0.00182046862794314,0.38027236310951,-1.38076663424507
