"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm26917",0.951654834361648,1.99539677221133,6.41438131733098,2.36237556291139e-10,1.7783963237597e-06,12.8274846254932
"AC149090.1",0.8011082317763,2.10176405751375,5.81737028721903,8.50553494548447e-09,3.20148335348036e-05,9.55996188187055
"Gpi1",0.803747852199007,1.28032832864294,5.50266058954574,4.97408115202419e-08,0.000124816276374794,7.95528557168862
"Malat1",-0.393496570951576,5.97704119825587,-5.39705573184329,8.82546302197411e-08,0.000166095214073553,7.43530785706101
"Mid1",0.498717737649449,0.38414271730001,5.11395461204413,3.91247576118437e-07,0.000589062350603919,6.08766501791869
"Macf1",0.675581509095829,1.92797410242196,4.83007230512699,1.62275300239087e-06,0.00203601410033308,4.80461672023408
"Kcnq2",0.605887633226719,0.809097253739817,4.73918043033455,2.52071870800515e-06,0.00271085291912326,4.40839608798753
"Gm42418",-0.512423023673492,4.44596602969777,-4.63706207803791,4.09853089720195e-06,0.00381113266177891,3.97172117179076
"Slc38a2",0.555401723380459,0.664884634338722,4.59849519660604,4.91258016393344e-06,0.00381113266177891,3.8091449825418
"Rufy2",0.618621268493611,1.07492741620822,4.58310410564198,5.27897045888088e-06,0.00381113266177891,3.744623984542
"Psd",0.582258344590641,0.731849318276774,4.5716358309843,5.56887078634006e-06,0.00381113266177891,3.69668113956191
"Rbm28",0.54285780221491,0.667102949666371,4.4800991570004,8.49698499388429e-06,0.00533044191949674,3.31810055430763
"Kcnq1ot1",0.558915334486861,2.61462267180786,4.44928673246291,9.77920873470572e-06,0.00566291410422036,3.19230175926899
"Fus",0.590808255102803,2.02175197209198,4.43144976500797,1.06040197798726e-05,0.00570193292163437,3.11985549532721
"4931406P16Rik",0.432701778308317,0.404598075711076,4.37573030615166,1.36311281201795e-05,0.00668567499894051,2.89533036056567
"Nktr",0.597932208306035,1.90588334542845,4.36644687755518,1.42097236959416e-05,0.00668567499894051,2.8581850841084
"Adgrl3",0.627619525234185,1.29253446797734,4.34298293705954,1.57785809477472e-05,0.00697710723644565,2.76463517572176
"Lrrc4c",0.440549983484691,0.391654676843576,4.32918627172099,1.67768971108836e-05,0.00697710723644565,2.70985264667722
"Snrnp70",0.538873497003399,2.32137645071365,4.31826538501545,1.76095958411885e-05,0.00697710723644565,2.66660683222169
"Fnbp1l",0.597317590858675,0.938727833524002,4.24423682141461,2.43857698937887e-05,0.00917880378802206,2.37620799816413
"Usp4",0.44648554114096,0.451317889806627,4.22729954087429,2.62534242558512e-05,0.00941122751419274,2.31044057568003
"Hjurp",0.527896486877823,0.735931589327649,4.21316235430631,2.79159028759563e-05,0.00955231440228177,2.25573832113234
"Abcc5",0.588831583227391,1.47391698013196,4.20282838417018,2.9194068244893e-05,0.00955534546728497,2.21586299371565
"Ubr2",0.513299120620701,0.703211634136599,4.16968192150708,3.36804868468889e-05,0.0102366921504118,2.0885938043741
"Gtf2h2",0.377503902497106,0.310759848613603,4.16751613786644,3.39953910414844e-05,0.0102366921504118,2.08031160764477
"Aak1",0.601125432115225,1.54068063260041,4.13722844952822,3.87035164253901e-05,0.0110192271127131,1.9649196060897
"Rab10",0.376986600144403,0.314195763672597,4.12631825536419,4.05465881187272e-05,0.0110192271127131,1.92355063443981
"Exoc1",0.441992442926294,0.485246553821898,4.12379003735805,4.09854355945757e-05,0.0110192271127131,1.91397913509329
"Pitpnc1",0.445669026680069,0.510403638762889,4.09472280766247,4.63663351392803e-05,0.0117261348479384,1.80433813342341
"Epb41l1",0.541934133734124,0.938522074906648,4.08731149128378,4.78420560850391e-05,0.0117261348479384,1.77650168359061
"Washc4",0.427655139120795,0.441710390113984,4.07740104474631,4.98852180572509e-05,0.0117261348479384,1.73935417903754
"Ubn2",0.570388674499698,1.26083386615823,4.07491375690693,5.04108614185477e-05,0.0117261348479384,1.73004460285654
"Ctnnd2",0.553930525535912,1.0003642671936,4.07028503596295,5.14030884673176e-05,0.0117261348479384,1.71273443383694
"Prpsap1",0.36596419392713,0.324327267794319,4.0437418797984,5.74606939553606e-05,0.0124432956452052,1.61383446334381
"Dopey1",0.524204342187835,0.864794147641471,4.0381179759937,5.88283487502193e-05,0.0124432956452052,1.59295943888453
"A230057D06Rik",0.549387340758032,0.923995192579087,4.03537857326093,5.95056646157527e-05,0.0124432956452052,1.58280131174003
"Map2k4",0.534796424118145,0.88372388981191,4.00572566635719,6.73267158846885e-05,0.0136982572210793,1.47326713543809
"Fubp1",0.554262268329904,1.73875127362488,3.9945043363951,7.05330413081004e-05,0.0137947875149153,1.43201918181749
"Cacna1b",0.486902994398049,0.668875849683012,3.98673893231306,7.2836040075679e-05,0.0137947875149153,1.40353974947301
"Trim2",0.580215312802901,1.60261771308683,3.98520750022139,7.32985521515161e-05,0.0137947875149153,1.39792954178414
"Lrrc7",0.590420128789026,1.73384417815196,3.9597844499024,8.13952011628789e-05,0.0144297538158965,1.30509790837651
"Pdlim7",0.508324652975289,0.864554851444041,3.95396118687661,8.33654540987002e-05,0.0144297538158965,1.28391475542114
"Fgf12",0.516454204784627,0.839461947791113,3.94823354513373,8.53473393532923e-05,0.0144297538158965,1.2631086669037
"Unc45a",0.337091653084105,0.274540235796159,3.94679616137483,8.5851660229046e-05,0.0144297538158965,1.25789181250613
"Zfp292",0.493153202226706,0.779033226802264,3.94530828286635,8.63766682181811e-05,0.0144297538158965,1.25249361502655
"Srrm3",0.439076451709486,0.514767918288117,3.94028055644327,8.81733097145639e-05,0.0144297538158965,1.23426690974231
"Rab36",0.41566915625104,0.443924481739667,3.933442558187,9.06736707433049e-05,0.0145232211352255,1.20951339501092
"Creb1",0.312790285843718,0.23195424241575,3.91474739397369,9.78566126696261e-05,0.0151245464746034,1.14204802343312
"Map2",0.533578568955432,1.95974611358914,3.91062024872976,9.95132627453471e-05,0.0151245464746034,1.1271960155967
"Ftx",0.531625357975987,0.963012830145279,3.90830233420352,0.000100455276797313,0.0151245464746034,1.11886134061214
"Nav2",0.557943078158816,1.46460065137676,3.90233560122471,0.000102919135570672,0.0151916716191376,1.09742824010425
"Slc12a6",0.381236183018413,0.361163034109318,3.89009149201587,0.000108155174099081,0.0156575413580362,1.05354483217061
"Tnrc6a",0.535934292840093,1.1235824636951,3.87931238761725,0.000112972180773348,0.0157911646760955,1.01502189685987
"Mir124a-1hg",0.575255539178541,1.6814979390135,3.87865264445398,0.000113273497942237,0.0157911646760955,1.01266741247613
"Grin3a",0.56679112508101,0.973923452305321,3.86652728619893,0.000118948455744681,0.0162807995426538,0.969463204178878
"Pcgf6",0.43479941705745,0.536300624013852,3.85503908482726,0.000124572108473493,0.016625021671802,0.928649412045584
"Gpatch8",0.517376774739629,1.09080437942013,3.85243714897638,0.000125880211914548,0.016625021671802,0.919421832771084
"Cers4",0.544286256077258,1.10748096415635,3.8435970930519,0.000130422036704161,0.0167382195220917,0.888116025416644
"Nsd2",0.517247171148616,0.915528651261122,3.83708561270368,0.000133865963455264,0.0167382195220917,0.86510083928072
"C130073E24Rik",0.60980453906487,1.01323687794619,3.83648675660348,0.000134186972793981,0.0167382195220917,0.862986036752307
"Mroh1",0.38299921905874,0.419471336593564,3.83380917838991,0.000135631162439904,0.0167382195220917,0.853534316579942
"Glt8d1",0.470882778827669,0.677817061773348,3.82067401949156,0.000142930793292532,0.0173545647081641,0.807259934248904
"Nsd3",0.522105095965034,1.32841972891634,3.7895025871818,0.000161764756834437,0.0193296045944387,0.698057432963503
"Asah1",0.351128029019273,0.335653388242399,3.77872855007613,0.000168801626005369,0.0198552912588815,0.660513439404562
"Ccnt2",0.523460774516624,1.26750612125453,3.75389750915241,0.000186133499137403,0.0213031752740122,0.57437800205695
"Prpf3",0.276537246328346,0.207075122376427,3.75302677754216,0.000186770665261,0.0213031752740122,0.57136749649733
"Pclo",0.552035213570931,1.69493255281324,3.74216668186135,0.000194892160880422,0.0218977341359375,0.533875940661127
"Ncoa2",0.392142501488531,0.439536221749752,3.73648163809154,0.000199275046647668,0.0220609198700536,0.514291663904281
"Slc35b1",0.351525431951388,0.362685478567896,3.71204337645293,0.000219193885352791,0.0234971252957321,0.430432179511464
"Fam193b",0.413907230281493,0.526400309638884,3.7112324049613,0.000219885942527783,0.0234971252957321,0.427658451617335
"Btbd7",0.413564764087659,0.517888988240732,3.70922005937329,0.000221612100956028,0.0234971252957321,0.420778247613155
"Lactb",0.313106715383373,0.267644596044532,3.69445445907909,0.000234673119532454,0.0244067426345055,0.37040493167249
"Armcx1",0.335167910668179,0.306961014586353,3.69087007219638,0.000237951111235185,0.0244067426345055,0.358205953175879
"Caskin1",0.399444686445618,0.490505367545591,3.68569649516769,0.000242758411962309,0.0244067426345055,0.340618548874541
"Pacsin1",0.506114616939641,1.10610973751437,3.68499576716641,0.000243416504964348,0.0244067426345055,0.338238279633417
"Frmd4a",0.522214426363324,1.03547655483886,3.67924070136653,0.000248885192024811,0.0244067426345055,0.31870571501798
"Ccdc93",0.288606992636273,0.232974593213972,3.67845167998132,0.000249643887202036,0.0244067426345055,0.316030093109235
"Fyco1",0.499638282038017,0.901480330911892,3.67306104886994,0.000254885758275779,0.0245997434397444,0.297764952729157
"Eps8",0.223777024716475,0.124673302220221,3.66580503342805,0.000262104934394892,0.0249762777990475,0.273220176042163
"Fam168a",0.50084590674087,1.10442917276995,3.66144395520971,0.000266535813321758,0.0250810200335774,0.258490611697306
"Zfp57",0.402517309132751,0.463487664631149,3.65258467023558,0.000275754358127679,0.0252589502988271,0.228620510431969
"Lynx1",0.396092539273517,0.478785103925516,3.64955227860355,0.000278977893911236,0.0252589502988271,0.218412519947359
"Myo18a",0.330204733006631,0.318970710270464,3.64891604939309,0.000279658701821867,0.0252589502988271,0.216271811095104
"Cdk16",0.365186740717174,0.42489512482406,3.64687990466,0.00028184801077331,0.0252589502988271,0.209423256907165
"Xkr6",0.398436393473702,0.482054632946821,3.63969365777119,0.000289704093030683,0.0256575577921763,0.185281919427578
"Baiap3",0.47840661474059,0.600372153619898,3.62440328692191,0.000307108532534444,0.0268428115167333,0.134068955645312
"Sec24b",0.417006063376134,0.583262261357649,3.61896771363123,0.000313528505622498,0.0268428115167333,0.115913496486127
"Idh2",0.253139579507813,0.177702609031784,3.61875339923626,0.000313784194138221,0.0268428115167333,0.115198201037175
