"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC149090.1",-1.76567841119017,1.28004418027568,-5.38113758195756,1.57770204025987e-07,0.000741440995416503,6.49911220977332
"Hnrnpa2b1",-1.66222714478292,1.34171100147003,-5.35872269985376,1.76565100706563e-07,0.000741440995416503,6.40323397990746
"Mag",0.903422131369787,0.158416549470289,5.30957957566541,2.25700536886338e-07,0.000741440995416503,6.19413409929245
"Cst3",-2.14989235074566,1.28887693383854,-5.29338806937703,2.44625400778197e-07,0.000741440995416503,6.12557478544375
"Plp1",1.6651243266724,0.529269697052571,5.28102850515784,2.60099977343894e-07,0.000741440995416503,6.07335282604722
"Rpl8",-1.22146020904566,0.608216041104872,-4.93156969920896,1.40807061610085e-06,0.00334487174854756,4.63753597407207
"Mog",0.695642585729259,0.113146881714987,4.85368648888701,2.02689489346067e-06,0.00344949709769366,4.32845499415772
"Atp5g3",-1.05394696378385,0.461410690638204,-4.84294273888781,2.13060375349968e-06,0.00344949709769366,4.28613608806083
"Calm1",-1.42772561905617,1.00713033682464,-4.83818289527865,2.17817118355735e-06,0.00344949709769366,4.26741211092748
"Oaz1",-1.18407287136597,0.643688655212135,-4.74637672198461,3.32366401010816e-06,0.00473721831360715,3.90925358351551
"Slc25a4",-1.16916518859946,0.676256233293799,-4.51312808219291,9.45236045174582e-06,0.0122476812289757,3.02512864292974
"Rpl9-ps6",-1.19526113051152,0.780898305222762,-4.46735051985479,1.15484653545992e-05,0.0137166897249252,2.85602306374038
"Luc7l3",-1.31332582585617,1.00069364017906,-4.35905675805413,1.84298198467907e-05,0.0202061709443314,2.46182538128859
"Bcas1",0.717570394514579,0.141292414641165,4.33763980601494,2.01930843025114e-05,0.0205580021831211,2.38484567678707
"Gjc3",0.726520567634575,0.162587543542006,4.28827526342904,2.48930899425824e-05,0.0222464223904367,2.20865294485702
"Efnb3",0.57758668386638,0.121214801002359,4.28751396391924,2.4973181663298e-05,0.0222464223904367,2.20594927847027
"Tmem59",-0.995777266250147,0.492751194605959,-4.16834009478328,4.10621652063502e-05,0.0344270023933005,1.78783195590941
"Ttr",0.488096740667284,0.0988997894403088,4.12175856920918,4.97217906253858e-05,0.0364352204251926,1.62718100977802
"Snhg20",-0.734295300802706,0.265972896325071,-4.12052270645385,4.99737063244515e-05,0.0364352204251926,1.62294013817713
"Gm32834",0.423649776748402,0.0733812648286595,4.11494249296199,5.11263880238443e-05,0.0364352204251926,1.60380538672054
"Rundc3a",-0.660545329988374,0.239752555635486,-4.05239291439096,6.59063629171349e-05,0.0447315900313297,1.39086921537564
"Ppp1r12a",-0.918355158158482,0.528846228614122,-3.99278088496523,8.3710880573013e-05,0.0542332354912343,1.19059069236024
"Kcnh7",-0.843536685113483,0.447660774383538,-3.97692030419089,8.91677790810536e-05,0.0552568850105329,1.13774268339391
"Tubb4a",1.15374261206378,0.689250234748954,3.94654134665588,0.000100576598524984,0.0597299274490251,1.03703559595102
"Aspa",0.536573168821733,0.10742880168693,3.89491936108429,0.000123202253826063,0.0702400689513148,0.867469084067863
"Sfswap",-0.767921011447452,0.365695742777902,-3.88210777026543,0.000129522694601744,0.0710033448522561,0.825691399930245
"Cntn2",0.697715277491765,0.228599695990408,3.84580127793666,0.000149145028543838,0.0787320034013082,0.707960539850992
"1700047M11Rik",0.438944853393842,0.0688041841967054,3.79477499522324,0.000181524331038771,0.0924023675105571,0.544157367355184
"Apod",0.652680749466305,0.163664243840359,3.7531187333611,0.000212774390862229,0.104574944584805,0.411877022572202
"Cnp",0.70532440774286,0.238677345840525,3.72475238222664,0.000236890758583707,0.105840174243449,0.322544427624284
"Ifi27",0.646469931244503,0.212535370255387,3.72308831902276,0.000238382719387682,0.105840174243449,0.31732267743665
"Dnajb14",-0.62877616818467,0.237807585246468,-3.71768112580464,0.000243292113638803,0.105840174243449,0.300369559904921
"Mkrn3",0.297915149730516,0.0395084607169501,3.71576785400098,0.000245051971517141,0.105840174243449,0.294376172603824
"Ddx50",-0.818174227968205,0.448640998957041,-3.68135479639466,0.000278830225874298,0.116887270864305,0.18704746199016
"Rpl27a",-0.728454619598857,0.341633424264701,-3.6672614362672,0.000293891694136121,0.119681094757775,0.143350707296263
"Fbxo7",0.421696779715638,0.0969702273443924,3.65673349719891,0.000305639271074478,0.121007681406237,0.11080666448843
"Cmip",-0.670601940725332,0.304982676777952,-3.62913201729522,0.000338571878779959,0.130423378060831,0.0258834741151661
"Camk2d",-0.91336398114263,0.590326442510223,-3.62110019786581,0.000348764858027444,0.130814355828031,0.00128004816816407
"Zranb2",-1.03399013048287,0.952795818181031,-3.60333269442553,0.000372347447147413,0.13607867087672,-0.0529719918530471
"Cabin1",-0.635817585264728,0.278930161716587,-3.56884869778906,0.000422455580247715,0.147648491499651,-0.15758106288791
"Lrp1b",-1.20761804657228,1.23935637717654,-3.56738031963508,0.000424723788078698,0.147648491499651,-0.162015342922619
"Srek1",-1.0656313264752,1.00065948729746,-3.51465047783306,0.000514176054486325,0.174489316776038,-0.320159277823022
"Mirg",-0.83077946279045,0.541915490213902,-3.49518866833825,0.000551441106020245,0.182783490328059,-0.377989798231837
"Kcnk1",-0.561430631427717,0.212784048193535,-3.48181626163829,0.000578496458326689,0.187393409557507,-0.417557171320801
"Nrcam",-1.11296167944529,1.21500816250763,-3.46784476690598,0.000608087955418504,0.192601725079554,-0.458750315355062
"Ckb",-1.18123141675709,1.75760089251044,-3.45578857490419,0.000634755259806217,0.196677537348218,-0.494175676915918
"Cyp46a1",-0.692580147077505,0.374745433850835,-3.44510399622556,0.000659298997283779,0.198690249988806,-0.525477150792532
"Yipf5",-0.507045188233399,0.185871812923672,-3.42420661656454,0.000709887921704847,0.198690249988806,-0.586443427869385
"Zwint",-0.96258569867274,0.816795388381012,-3.41932000314628,0.000722229651130841,0.198690249988806,-0.600651049313598
"Pcdhgc4",0.453424572186813,0.122988883244502,3.41922836796293,0.000722462989717981,0.198690249988806,-0.600917298473606
"Robo1",-0.633253223936892,0.276528852441707,-3.41915735559581,0.000722643863071022,0.198690249988806,-0.601123622872524
"Hcfc2",-0.428819545451519,0.140446711037796,-3.41827590023532,0.000724892513815891,0.198690249988806,-0.603684341748664
"Bri3bp",-0.638226173830953,0.28905626685427,-3.40595614613926,0.000757012824275577,0.203579316686789,-0.639411630020616
"Unc79",-0.688379403911527,0.395362603741843,-3.37244467325652,0.000851233758425915,0.221823793579258,-0.736000423379484
"G3bp2",-0.811478154455241,0.569984211811762,-3.36662715906951,0.000868664515977844,0.221823793579258,-0.752679330408913
"Atp2b4",-1.01309919487947,0.820528820607231,-3.36567625533303,0.0008715451091306,0.221823793579258,-0.755403089324826
"Mblac2",-0.690072419393116,0.382713008967157,-3.35073703511781,0.000917985776454622,0.228163229900124,-0.798102670326817
"Uchl1",-0.91518229204233,0.78665183329197,-3.34583865808786,0.000933708198468648,0.228163229900124,-0.812065560994062
"Meis2",-0.963495176745941,0.758589546361631,-3.32962766422112,0.000987547639727618,0.228163229900124,-0.858142151606456
"Gm9925",-0.630464687085872,0.2322428490728,-3.32541666535756,0.00100199852133376,0.228163229900124,-0.870077631745786
"Gprasp2",-0.963505439451079,0.889312539944748,-3.31934413911967,0.00102318444609735,0.228163229900124,-0.887265030873001
