"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Oaz1",-1.30165288790782,0.59242717284593,-19.5210310454754,1.65080676796721e-78,2.80273973065473e-74,166.968558290792
"Atp5g3",-0.982574250119541,0.419230396067084,-16.8546828112125,4.13961615583614e-60,3.5141201546893e-56,125.291219257346
"Rpl8",-1.19819539006262,0.651062212853689,-16.6808356637718,5.57066760495172e-59,3.15262648656235e-55,122.734594137098
"Hnrnpa2b1",-1.27507388076198,1.07682092773455,-15.3156243147508,1.95678315847376e-50,8.30556611614189e-47,103.386213586691
"Syt1",-1.00369080923958,2.92682328370801,-14.7712179373142,3.43891809739477e-47,1.16771902915137e-43,96.0418904116192
"AC149090.1",-1.34987417319337,1.85868990462486,-14.6893073526977,1.03846343701148e-46,2.93850537226348e-43,94.9556944006617
"Calm1",-1.2553746226521,1.43554578988463,-14.2026833364204,6.6485342292221e-44,1.61255448776761e-40,88.6056711057236
"Actg1",-1.23392368531997,1.14893197314539,-14.1683600442791,1.04166551854422e-43,2.21067464673046e-40,88.1644887199606
"Pdlim7",-1.10382850054947,0.88431668133834,-13.7926780675852,1.33818864746332e-41,2.5244185396258e-38,83.39400543653
"Pgrmc1",-0.868997043626295,0.474507747608559,-13.1754130878156,3.07820154013867e-38,5.22617057484743e-35,75.7913138140301
"Plk2",-1.0843789431449,0.918645631950826,-12.9497501589662,4.8403009546576e-37,7.47078450983424e-34,73.0860322668642
"Pea15a",-0.985569819066426,0.745457579614348,-12.8399875780885,1.8219670646459e-36,2.57777973529651e-33,71.7846942537296
"Chd3os",-0.669147667869493,0.306588534739698,-12.6692085629899,1.40577000893232e-35,1.83593563166562e-32,69.7789444837822
"Mtif2",-0.723779698068941,0.351283592763992,-12.6426342500559,1.92789402658404e-35,2.3379846273817e-32,69.4689234712456
"Ctxn1",-0.847580631469762,0.541954604641388,-12.6170746200256,2.61085179225606e-35,2.81410543863064e-32,69.1712714242245
"Ly6h",-0.902248940001489,0.565273586934195,-12.6157553328131,2.65200182695784e-35,2.81410543863064e-32,69.155921952659
"Slc25a4",-0.8864650823877,0.58072227941807,-12.51573627402,8.64359587091463e-35,8.63241004096403e-32,67.9962840426262
"Rpl27a",-0.718673688257693,0.346240925143012,-12.400278511284,3.34705749304499e-34,3.15701900649543e-31,66.6676141191736
"Cst3",-0.727544589446288,0.388708287040621,-12.2028089012791,3.3068190203827e-33,2.95490385937144e-30,64.4200338972701
"Atp6v0c",-1.11374878840609,1.44490021839127,-12.0576818536685,1.74460882622437e-32,1.48099843258187e-29,62.7883222231991
"Snhg20",-0.627931732823131,0.31210349572488,-11.6548041139889,1.61243822426234e-30,1.30361791292981e-27,58.3486511286114
"Mecr",-0.566740855778958,0.261174231737693,-11.5574111939814,4.72026507420631e-30,3.64275729226703e-27,57.2953924930205
"Ube2b",-0.920839589071044,0.887492740960824,-11.3368209627121,5.22237908610312e-29,3.85502400538516e-26,54.9388235820291
"Tmeff2",-0.788008974176975,0.546120025934092,-11.0307547646276,1.37088759599361e-27,9.69788733532478e-25,51.7362039389769
"Grcc10",-0.625083468072909,0.341702011482848,-10.9658560546267,2.71344586417406e-27,1.84275535527788e-24,51.067195726036
"Snrnp70",-0.947133257075266,1.54458737380774,-10.952715127556,3.11439404788335e-27,2.03369931326783e-24,50.9321634973078
"Sncb",-0.822827884128951,0.703714717506915,-10.8506993848331,9.03366494198467e-27,5.68050234759318e-24,49.888826187576
"Camk2d",-0.931320807744502,0.942638379564118,-10.8195278172634,1.24858438836365e-26,7.57088062344217e-24,49.5717781063723
"Klhl7",-0.728765629353343,0.518327722037233,-10.7799055537631,1.88174186287781e-26,1.10166252923929e-23,49.1699620181626
"Rbm39",-0.911843836645832,1.74004742445651,-10.7142931103736,3.70068240898074e-26,2.0943395313225e-23,48.5074948575825
"Grm7",-0.879834225317334,0.926380724841203,-10.7063821090113,4.01410781655631e-26,2.19843620998365e-23,48.427866313471
"Map1b",-0.913327520834115,2.01465792315315,-10.6037587798326,1.14684943631656e-25,6.08475304055703e-23,47.3997165054991
"Dnajc24",-0.495970409247697,0.210706534513391,-10.5365766985682,2.26913459005229e-25,1.16743536575478e-22,46.731486531455
"1700020I14Rik",-0.815625041503883,0.693810500021353,-10.5177257151241,2.74609239531533e-25,1.37126931434305e-22,46.5446743577396
"Ndufb9",-0.509759185348516,0.244299999586468,-10.4788690302553,4.06522026829776e-25,1.97198027757598e-22,46.1605620629082
"Ptma",-0.496470907941613,0.221660434330568,-10.4749607865236,4.22852521856222e-25,1.99421947668748e-22,46.1219989106779
"Ndufs3",-0.512411794558034,0.261806625186874,-10.4542557711596,5.20849129661573e-25,2.3899936549714e-22,45.9179171687724
"Tmem59",-0.599892234601575,0.332858043884606,-10.3695744518396,1.21697594086591e-24,5.43732040105826e-22,45.0870545622698
"Mblac2",-0.755537330823517,0.626698144179589,-10.2955790807241,2.54188210925851e-24,1.10656601156387e-21,44.3660597910061
"Lrp1b",-0.998056786869105,1.32670297306566,-10.1804377525044,7.92196011276535e-24,3.36247596986325e-21,43.2534843678071
"Col6a1",-0.664132676451328,0.341027659089868,-10.1332495126604,1.25812274797744e-23,5.20985561345389e-21,42.800810013238
"Ndufb5",-0.519172006050514,0.259958024976739,-10.1155223181548,1.49615252595066e-23,6.04801847275958e-21,42.6312491902072
"AC124490.1",-0.521407237213291,0.235102059434276,-10.0826468137137,2.06168438260828e-23,8.00465031584242e-21,42.31751117464
"Ndufs7",-0.532761882120597,0.283529500564928,-10.0820116390815,2.07447646305258e-23,8.00465031584242e-21,42.3114587389263
"Timm23",-0.424704908799178,0.180601763309827,-9.85749364246295,1.80699027846232e-22,6.81757354394072e-20,40.1939120297529
"Dgkg",-0.620109444394979,0.417293032244979,-9.83819590691685,2.17204313426121e-22,8.01672789858408e-20,40.0139416929017
"Srek1",-0.85465671870768,1.20554270118824,-9.80565106322085,2.96018838326164e-22,1.0693208164046e-19,39.7111611921013
"Gnptg",-0.485563627496143,0.249101171484142,-9.76148604110259,4.49920847363542e-22,1.59140753052879e-19,39.301743867208
"Fam212b",0.821151517068445,0.896267737507829,9.75033662233741,4.99941286763817e-22,1.73224554421961e-19,39.1986548898715
"Erp29",-0.480876414410506,0.246144785793583,-9.72794452910579,6.17626102686984e-22,2.09721119428392e-19,38.9919413358273
"Hint1",-0.500184303980318,0.27478084237797,-9.58270890699057,2.40754201411147e-21,8.01475457168326e-19,37.6617973895906
"Trim35",-0.578367297542517,0.377149011894339,-9.57514870565899,2.58292145532993e-21,8.43323855165222e-19,37.593061051321
"Arnt",-0.650256992647763,0.52835549827407,-9.43857853364451,9.12023696778505e-21,2.92157326866141e-18,36.3599918251964
"Hap1",-0.791119871672248,0.762750281796415,-9.37177807623613,1.68039189269882e-20,5.28327658411863e-18,35.7628136344537
"Ccng1",-0.4273636700185,0.20497450343946,-9.28742145953044,3.61521289149371e-20,1.11598335403237e-17,35.0142881196975
"Rps16",-0.755873296858808,0.843095590179719,-9.25007410910252,5.06491755925624e-20,1.53557447001879e-17,34.6848914847654
"Osbpl1a",0.707376437756018,0.754861530281481,9.23941503944317,5.57530427478299e-20,1.66065817503975e-17,34.5911058182198
"Trmt112",-0.4569406294389,0.247976104378939,-9.21199577336539,7.13390844245949e-20,2.08826719889788e-17,34.3503127191173
"Ddx50",-0.693954077668229,0.691823078361154,-9.17279651250123,1.01363486989049e-19,2.91686319000012e-17,34.0072203403516
"Opa1",-0.567440423490463,0.405426991396173,-9.15404179806659,1.19856626369072e-19,3.39154300415685e-17,33.8435488621039
"Lmo3",-0.603348228079616,0.399475515958359,-9.12211634700873,1.59310105498479e-19,4.43404421500521e-17,33.5656514201384
"Syngr3",-0.538697589392738,0.379625758361995,-9.10584121910324,1.84116515501841e-19,5.04182290353268e-17,33.4243299373376
"Mdh2",-0.522060268979373,0.357859863970985,-9.07807427830078,2.35551124436222e-19,6.34791585821933e-17,33.1837624321835
"Cd34",0.482163996278943,0.269134901419345,9.05759428567488,2.82364150906317e-19,7.49059149076164e-17,33.0067646890277
"Ptchd4",-0.519113049992855,0.293649400708634,-9.03284060069838,3.51355458460386e-19,9.17740457498529e-17,32.7933272095117
"Mettl26",-0.409954409747438,0.202382186770694,-9.00058502031105,4.66769136862574e-19,1.20072824328072e-16,32.5160192958861
"Tm2d2",-0.435810792362756,0.230602650415224,-8.93902340033868,8.00611233174822e-19,2.02877276370778e-16,31.9893213048529
"Vdac2",-0.494860345587374,0.311250664774214,-8.92936050918108,8.71101233344657e-19,2.17493481466553e-16,31.906954569388
"Ccdc30",-0.492832321795366,0.316841166561325,-8.84483273811093,1.81597210980888e-18,4.4683441275848e-16,31.1899740306694
"Dnajc30",-0.289550610678239,0.104967173478547,-8.83412263260275,1.99221627146884e-18,4.83197826528542e-16,31.0995823274653
"Sptbn4",-0.672858993775349,0.674294133294492,-8.80791837177863,2.497889884198e-18,5.97312316252305e-16,30.878852675495
