"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Malat1",0.392551338888584,6.3135045259037,4.43298306666511,1.35328517443709e-05,0.107668648950169,1.36194107095932
"Atxn10",0.807401221513656,0.43208623043072,4.41332931938193,1.47309685251291e-05,0.107668648950169,1.30655673897621
"Myo18a",-0.804988923191518,0.461431544564071,-4.08084249117568,5.91435044284795e-05,0.288186582578504,0.400712472180231
"Fos",-0.437934700350682,0.112716759613026,-3.9836736990779,8.73503543897265e-05,0.319221870117256,0.14728453173123
"Ppfia4",-0.466522767680236,0.142466953938678,-3.90188849222111,0.000120587409487635,0.322266694218549,-0.0619752249899541
"Cdh19",0.78365390355997,0.432023966688598,3.87817272639962,0.000132275288364434,0.322266694218549,-0.121958382743141
"Insig1",0.800552323695749,0.526358028762895,3.77836174882007,0.000194283428487163,0.386423274744438,-0.370942658088055
"Gtf2a2",0.650122997807904,0.354091872500336,3.75606173827048,0.000211478054313552,0.386423274744438,-0.425802268754096
"Tshz2",-0.511074034505706,0.161241778358071,-3.69680171922124,0.000264420082008601,0.429476973200192,-0.570211820713285
"Gclm",0.572949556424083,0.284412242978408,3.62698109077703,0.000342799896459286,0.479906668753692,-0.737779364288525
"Stxbp5l",-0.597025208054485,0.310179746122883,-3.61284388175325,0.000361128290894145,0.479906668753692,-0.771367120577615
"Dnm1",-0.758750901500205,0.550112764386303,-3.5417432790513,0.000468127582946921,0.570257417293175,-0.938539244865798
"C030018K13Rik",0.765192285791158,0.571538464574903,3.4628033309899,0.000621449714971578,0.685545375712477,-1.12070028429982
"Dnm2",-0.605573896286409,0.340100910328543,-3.44732067781682,0.000656568488442009,0.685545375712477,-1.15600049192801
"Ier2",-0.337573733841677,0.0935767038240483,-3.4125497555985,0.000742312531775741,0.685545375712477,-1.23476452953014
"Ccdc85a",0.466268129531426,0.208742649324125,3.40948272636266,0.000750357505226408,0.685545375712477,-1.24167790725503
"Thy1",-0.636975923919026,0.402095299440409,-3.37205817547255,0.00085530917225574,0.695471475836226,-1.3255895000813
"Eny2",0.732964366396894,0.631924092739925,3.34641303234759,0.000934965217407741,0.695471475836226,-1.38261176995259
"AI480526",0.798810866295522,0.782379828173267,3.34138655110635,0.000951366492311148,0.695471475836226,-1.39374253599006
"mt-Co2",0.40007334626855,0.153947142493564,3.34133759768358,0.000951527535690555,0.695471475836226,-1.39385086599603
"Nol11",0.484492159131937,0.215759861993384,3.32117383210538,0.00102006315685225,0.704243090606189,-1.43835070247883
"Gpam",0.506099750183893,0.250176353256322,3.3100308434052,0.00105988151548339,0.704243090606189,-1.46283875441938
"Ehd3",0.32266084858133,0.0945558459980665,3.25472617392859,0.00127979587501063,0.777345273584058,-1.58328250950093
"Aldoc",0.870233114655341,1.12106806145,3.23901054721277,0.0013496143978847,0.777345273584058,-1.61717493698798
"Rpl35",0.52238542169009,0.29805952002994,3.21514366191366,0.00146242960222478,0.777345273584058,-1.66836335524864
"Mrpl50",0.317037127378932,0.0948657914078473,3.2131299272306,0.00147233741812521,0.777345273584058,-1.67266666898834
"Shd",0.322259793967965,0.102349507136287,3.20143702370769,0.00153110768948566,0.777345273584058,-1.6976060441174
"Uap1",-0.355207848648542,0.117304057207178,-3.20107950999047,0.00153293837507916,0.777345273584058,-1.69836727761987
"AC149090.1",-0.919338759362258,1.35378626031659,-3.18975455160273,0.00159198892893919,0.777345273584058,-1.72244107436202
"Prepl",-0.52478652861256,0.30994514000298,-3.17241504951343,0.00168649202002406,0.777345273584058,-1.75915055044678
"Tmem200c",-0.257642508089063,0.0710982773699074,-3.16541703710645,0.00172608152159631,0.777345273584058,-1.77391472470561
"Actl6b",-0.353469845842917,0.138286135409556,-3.16393642831659,0.00173456708712034,0.777345273584058,-1.77703467791923
"Tmem161b",0.644412031020243,0.490409246279176,3.15582111461694,0.00178176610296694,0.777345273584058,-1.79411184735238
"Rnf152",-0.232139158735496,0.0584357733797806,-3.1475582907531,0.00183104041217452,0.777345273584058,-1.8114585663239
"mt-Atp8",0.302406294568296,0.0956892260723347,3.14260091540653,0.00186120430807511,0.777345273584058,-1.821846128186
"Cops7a",-0.446680642707158,0.223675560405237,-3.12840489138229,0.00195013998726282,0.781150666360774,-1.85150991098981
"Akap6",-0.728897461518802,0.733904863370227,-3.12420550894998,0.00197719076859684,0.781150666360774,-1.86026149802574
"Gm47283",-0.338978139891427,0.123793178956778,-3.11138121947996,0.00206195830955945,0.793202804451053,-1.8869214200737
"Cobll1",0.296485761882412,0.0845710768325811,3.10067232432147,0.00213529845617943,0.796140378224774,-1.90910733581151
"Hist1h4h",-0.327525187961711,0.0970567979633315,-3.09451894032057,0.00217852066828506,0.796140378224774,-1.92182399065362
"Gldc",0.482809663859256,0.27433086359295,3.05721326669336,0.0024582924665013,0.821173259076075,-1.99842761148338
