"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Krtcap2",1.34748260203943,0.32006947276316,4.44800797750212,2.12276870570841e-05,0.264284703860697,-1.52352095274415
"Glul",1.18882617528867,0.335889469783975,4.02929021919525,0.000104720270485069,0.651883683769558,-2.05309660302519
"Nsf",1.12438508494341,0.310705134770387,3.8847318859189,0.000177469477352881,0.736498331014455,-2.22917108781091
"Mbnl2",0.898795957892576,0.290088616467207,3.49378562631257,0.00069297619371823,0.785510899668217,-2.685414660647
"Prkar1a",-1.36731832699239,0.558997810466084,-3.48474773801158,0.000714324103764006,0.785510899668217,-2.69559247451503
"Mrps15",0.792441146016748,0.185891628020132,3.45019898198359,0.000801775927263251,0.785510899668217,-2.73433638291819
"Rint1",0.80257657871859,0.21811143450879,3.35755862832524,0.00108859198604885,0.785510899668217,-2.83693451385833
"Specc1l",0.707752908061418,0.183088823445055,3.24396600335991,0.00157154014337009,0.785510899668217,-2.96009759446541
"Rac1",1.31771518170356,0.728239719329883,3.20985850356232,0.00175172967994233,0.785510899668217,-2.99649570954162
"Elmo2",0.655432559197486,0.150478901734962,3.20449056282029,0.00178178410517304,0.785510899668217,-3.00219921838847
"Ap3b1",0.638112807538563,0.15586566132317,3.19647769075686,0.00182754241454664,0.785510899668217,-3.01070032058857
"Cachd1",0.678450271888811,0.182422562716388,3.16449770634229,0.00202129154275683,0.785510899668217,-3.04447686201948
"Rpl4",-1.47679656996712,1.08669400380847,-3.13977788860013,0.00218397157970695,0.785510899668217,-3.07041765118284
"Kat8",-0.602766045205966,0.12182702874431,-3.10621766356787,0.00242434929176304,0.785510899668217,-3.10539921597165
"B230307C23Rik",-0.700637136736562,0.16281526211529,-3.08930202515437,0.00255460818855413,0.785510899668217,-3.12292731044164
"Fam96b",-0.764259201827519,0.209957691414972,-3.06624667852906,0.00274261220362501,0.785510899668217,-3.14670436319328
"Isca2",1.00052925864671,0.411616694921902,2.96171380854129,0.00376678959629049,0.785510899668217,-3.25284930085395
