"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC149090.1",-1.89509689581168,1.72816727962189,-10.7697922747275,4.07948416048022e-25,6.507185184382e-21,42.8905091463105
"Mid1",-0.678856756910519,0.280038931276461,-7.1565594794663,2.11133533752339e-12,1.68389549844178e-08,16.7101537976603
"Fos",-0.550434710267874,0.196582270506964,-6.27992378992188,5.97622806567621e-10,3.17756046252004e-06,11.6818377701833
"Coro6",-0.557412105271143,0.272493175924983,-5.42710213542288,7.92492869342861e-08,0.000316026343972199,7.3502006502971
"Junb",-0.524574146441187,0.254634122960937,-5.15364065329158,3.33512816790512e-07,0.00102148139086157,6.08266655355504
"mt-Nd4l",0.353211916598394,0.127346596895191,5.10736486312483,4.22641701262631e-07,0.00102148139086157,5.87412309410936
"Gm47283",-0.461389874854207,0.237605847018952,-5.09580571209851,4.48270938250328e-07,0.00102148139086157,5.82230173637465
"Egr1",-0.672740597803213,0.574893639782145,-4.83726309255792,1.62303298182299e-06,0.00323612488663232,4.69160034632143
"mt-Co3",0.374178862624242,0.181566291104463,4.74999350559165,2.47321587640702e-06,0.00438336293828538,4.32227249413533
"Plk2",-0.59149775173813,0.476435339293897,-4.62392879843033,4.49193383634357e-06,0.00708946659651826,3.79983234233591
"Adcy8",-0.425403432141169,0.245560213240782,-4.60579501090417,4.88898078877192e-06,0.00708946659651826,3.72576189005428
"mt-Atp8",0.28584130500193,0.107377016682095,4.5167212586443,7.38063840353057e-06,0.009810713597893,3.36588284260574
"mt-Co1",0.493837837660008,0.352808705499862,4.48160876674412,8.66516569703507e-06,0.010570037283106,3.22583078958653
"mt-Co2",0.347062640212676,0.168363964156797,4.46660146076773,9.27719402943285e-06,0.010570037283106,3.16628459356695
"Dicer1",-0.581663234570361,0.617687950344547,-4.26935024014406,2.23360969174605e-05,0.0237522054620275,2.40110874049327
"mt-Nd2",0.204764277751668,0.0618160550680759,4.19656266980896,3.06239578324756e-05,0.0305301719616136,2.12698981224033
"Tenm2",-0.50360184439463,0.455195334918947,-4.16994074806961,3.43306278101211e-05,0.0322122261293672,2.02784493845408
"Epha5",-0.785654411387166,1.33453188780593,-4.1469647239901,3.7869379724073e-05,0.033558581998816,1.94275834563807
"Cct4",-0.33615572000508,0.193617413590019,-4.10963198596829,4.43696266483156e-05,0.0372494691930148,1.80545487400469
"Malat1",0.299996006277044,6.29408982598555,4.03638168385742,6.03279240605103e-05,0.04811453583446,1.53947648213838
"H3f3b",0.563305893901553,0.730683371194641,3.98186436456751,7.55942711827362e-05,0.0574192485540869,1.34446959414066
"Acly",0.311853267140764,0.152283891270089,3.9638326996766,8.14031529048327e-05,0.0590209859993176,1.28052596374176
"Cacna1h",0.306622496281728,0.162152512203373,3.93445612746822,9.17814300371799e-05,0.0632399471383938,1.17694291714921
"Idi1",0.336670892846038,0.181843033639749,3.92559177278315,9.51513216300828e-05,0.0632399471383938,1.14583095197808
"Osbpl6",-0.557678813420979,0.733454631012365,-3.88349302772337,0.000112817013038591,0.0719817669991427,0.998986588642826
"Nsf",-0.538419158558188,0.673717390383391,-3.87215338940589,0.000118080880138104,0.0724426199647268,0.959690965966399
"Cadm1",-0.54471665758889,0.715850302998081,-3.81976745604361,0.00014555593767408,0.0859912134014538,0.779579957021198
"Zdhhc16",-0.248149077471226,0.114050562683273,-3.78269108179803,0.000168535113155205,0.0960108424978101,0.653521888004041
"Peg3",-0.718064058100733,1.74891601839027,-3.73998889349789,0.000199229445450846,0.109583064978843,0.509793208127669
"Panct2",-0.118140932246293,0.0302747182208789,-3.68376638364354,0.000247713773772865,0.121668547812251,0.322939663289302
"Cs",-0.38376931412445,0.332412193784088,-3.68118452601019,0.000250187111561971,0.121668547812251,0.314424059688664
"Stxbp5l",-0.535903654981372,0.726905253323559,-3.68007901436129,0.000251253238088257,0.121668547812251,0.310779558851498
"Pkib",-0.24026090440388,0.12199931548502,-3.67960440413185,0.00025171224862418,0.121668547812251,0.309215250080789
"Nfkb1",-0.238355879433267,0.118780100877981,-3.6469426825785,0.000285263478439124,0.132168027675597,0.202027332985855
"Btg2",-0.249864722492659,0.131337635512641,-3.64262045135226,0.000290005703005823,0.132168027675597,0.187911469642298
"Kcnk2",-0.285422272353484,0.170073646169626,-3.61164445392902,0.000326220570129277,0.144542897614781,0.0872177613151921
"Cacna1e",-0.544193363735323,0.701090878478182,-3.58052234056029,0.000366846108276618,0.151344963727362,-0.0131195538753177
"Nrp2",-0.299544271475351,0.183365384851032,-3.57584455849736,0.000373347246078209,0.151344963727362,-0.0281285727604557
"Cx3cl1",-0.528300849812323,0.806033298994626,-3.57286158010378,0.000377549155168358,0.151344963727362,-0.0376898433413384
"Dvl1",-0.354633880247348,0.285008202195445,-3.57146985092754,0.00037952470372356,0.151344963727362,-0.0421480977030999
"Gm28175",-0.36303836816904,0.281211228820337,-3.55170232170049,0.000408650751870859,0.158985076660782,-0.105291036630422
"Ywhaq",0.463777187452926,0.499989928145084,3.5396544459924,0.000427415184038356,0.162326180966567,-0.143610064619308
"mt-Nd1",0.185119758511933,0.0710117693723209,3.53091076936442,0.000441534981448194,0.163788941606515,-0.171341488863945
"Sgpp2",-0.17775976675302,0.0715583558095765,-3.51385380887128,0.000470343999544239,0.17051038947114,-0.225249461333538
"Dusp1",-0.230217119070125,0.113480126409625,-3.5038800613881,0.000487994215360341,0.172977682871395,-0.256654822259233
"Ttc14",-0.571531095823911,2.0922363772865,-3.49490786197459,0.000504399074081448,0.174905861536374,-0.284833118704773
"Trhde",-0.404243876959734,0.392537751179195,-3.48115042029401,0.000530556948344015,0.176674939758092,-0.327905008144257
"Btbd3",-0.385020197654735,0.347604771006579,-3.48058789509817,0.000531653006607011,0.176674939758092,-0.329662685932099
"Ptma",0.481084217966612,0.606196408948036,3.47318400022509,0.000546277669720022,0.177830104279675,-0.352771562190204
"Tshz2",-0.368698366527388,0.279135095498294,-3.46570937003897,0.000561422371786677,0.179104965047386,-0.37605315442034
"Rreb1",-0.374342995968299,0.248887972789255,-3.44167428575752,0.000612818794116806,0.185448849298845,-0.450588961738926
"Mical3",-0.544283934172725,0.857519996894537,-3.44068906481777,0.000615016407623542,0.185448849298845,-0.453633593989295
"Fam20b",-0.241509436979287,0.135960811420175,-3.44016588631996,0.000616186384103741,0.185448849298845,-0.455250033209548
"Adamtsl4",0.195685076058946,0.0736437534981297,3.42955824967729,0.000640360388978279,0.189155343788751,-0.487972846972295
"Pdia4",0.229617753236861,0.11742948600745,3.41638344811425,0.000671615653100271,0.191597427583495,-0.52847933756369
"Ccdc191",0.270261358259116,0.170789626172004,3.41117062061309,0.000684370256171859,0.191597427583495,-0.544464902386911
"Arc",-0.338981515842774,0.230561672669951,-3.41105219737928,0.000684662615024714,0.191597427583495,-0.54482778360954
"Coq10b",-0.276317798634574,0.181420846690954,-3.40455426928898,0.000700883955367721,0.19275517193225,-0.56472059652698
"Zfp28",-0.151437318499126,0.0555743826398011,-3.39258884512611,0.000731694409582346,0.197817924190644,-0.601255957211518
"Auh",-0.321192487824434,0.271906345839152,-3.37938042819532,0.000767167052885474,0.201920817091936,-0.641442613126909
"Bcat1",-0.222835714861254,0.125811400071978,-3.37699199573885,0.000773749835634033,0.201920817091936,-0.648693281678622
"Fat3",-0.364799211282559,0.324333582940818,-3.37300816493375,0.000784846759432014,0.201920817091936,-0.660776165475216
"Tnrc6c",-0.449980394442044,0.625624068042991,-3.34043282987008,0.000881298140095979,0.223136295756682,-0.759060052646192
"Cnot3",-0.314558150335039,0.263995664145747,-3.33122100696004,0.000910506893418628,0.226690625674552,-0.78668625987382
"Rasgrf1",-0.448448794378877,0.583459011097398,-3.32598112185093,0.000927520091413409,0.226690625674552,-0.802367773961199
"Itpr1",-0.404953712573483,0.422408136879608,-3.31651551541743,0.000959004053373828,0.226690625674552,-0.830635251311805
"Cit",-0.65025328892787,1.47199929784071,-3.31472150448867,0.000965081889509005,0.226690625674552,-0.835983997336339
"Gm13629",-0.269629847584668,0.181484812194174,-3.31385326270476,0.00096803618105255,0.226690625674552,-0.838571609014857
"Tmem151b",-0.197184053102248,0.0976732609377151,-3.31018625047212,0.00098060643041465,0.226690625674552,-0.84949314221946
"Apod",0.443188270604374,0.331522291046938,3.30158269964246,0.00101069572970405,0.230308679778703,-0.875071399989816
"Etnk1",-0.546074025887131,1.43520722512849,-3.28146285956227,0.00108443555226873,0.243631429496317,-0.93463630500697
"Epha10",-0.392374550321779,0.382877044528218,-3.27591382192832,0.00110563315174248,0.244943811158949,-0.951002341147069
"Ypel4",-0.381650986636065,0.459052794614314,-3.26627851285501,0.00114335510825732,0.249830922353596,-0.97935658149845
"Mettl13",-0.18903715883862,0.088682363890706,-3.25185860969023,0.00120204070315112,0.258119961482885,-1.02163975539393
"Zfp612",-0.38238072503944,0.426470825393342,-3.24908249445484,0.0012136541352402,0.258119961482885,-1.02975932588158
"Dpm1",-0.350230627407606,0.384658831114974,-3.24140940234331,0.00124629574635578,0.261574519080541,-1.0521666567336
"Mir670hg",0.300255021655697,0.206058540073027,3.22381284107247,0.00132424354080464,0.269724076107429,-1.10335938306514
"Tcf4",-0.506155691701776,2.80515360725762,-3.21890787870438,0.00134676106745016,0.269724076107429,-1.11758105863168
"D130043K22Rik",-0.28958945714829,0.244202660313796,-3.21839397186318,0.00134914066758441,0.269724076107429,-1.11906989089494
"Gm2163",-0.0688153669434305,0.0152527674513083,-3.21761323973126,0.00135276321789194,0.269724076107429,-1.1213312986172
