"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl8",-1.37605138360551,0.690145179117716,-20.5880181790214,3.62169439263951e-88,6.18983788646019e-84,189.037147345795
"Calm1",-1.45799176491755,1.34616460121761,-18.4890491394408,2.42114577985332e-72,2.06899012617366e-68,153.13248336006
"Oaz1",-1.09274026453281,0.602339079048782,-17.4451395654383,5.69708673855189e-65,3.24563031495301e-61,136.411577327425
"Hnrnpa2b1",-1.25904522674633,1.14664624973592,-16.3140893938538,2.23493437717579e-57,9.54931586007786e-54,119.191737361779
"AC149090.1",-1.37686072271922,1.7612360738298,-16.297270601511,2.87752638931462e-57,9.83596070395525e-54,118.942893026196
"Rpl27a",-0.863216962865476,0.408669229596934,-15.4559785882509,6.73362354979295e-52,1.91807266815852e-48,106.771202921118
"Pgrmc1",-0.90774682868601,0.483053979170114,-15.1127405101908,8.91177754899845e-50,2.17587414414189e-46,101.962554844495
"Cst3",-0.87351794758078,0.459628110488252,-14.7669182497919,1.11344521338412e-47,2.3787365177435e-44,97.2113371047186
"Ly6h",-0.963899115916867,0.611940919357276,-14.6980746118226,2.87818394422411e-47,5.46567131008159e-44,96.2768037692802
"Pdlim7",-0.953431030496948,0.821141548339064,-13.2288496712195,7.29330577620012e-39,1.24649889021036e-35,77.2436385626337
"Atp5g3",-0.764248749133594,0.4559606681432,-13.1333212918092,2.41317363232798e-38,3.73612696931648e-35,76.0673061445244
"Ube2b",-0.969100609733426,0.897141719292283,-13.1266353529543,2.62322413151939e-38,3.73612696931648e-35,75.9852595539172
"Mtif2",-0.651340786707544,0.335188809327276,-12.9708830165934,1.81394628849189e-37,2.31625605515214e-34,74.0844721598867
"Mecr",-0.593591251023045,0.265792219310222,-12.9672426274977,1.89734859119594e-37,2.31625605515214e-34,74.0402870238887
"Slc25a4",-0.833593612297819,0.614853172618957,-12.6127302385611,1.4325748051463e-35,1.63227573298369e-32,69.7905566446993
"Plk2",-0.909247354613546,0.768538746631694,-12.6071514398588,1.53215155491209e-35,1.63662513906265e-32,69.7245242195603
"Tmem59",-0.663145441976597,0.378170123917631,-12.2182969326499,1.55320104804868e-33,1.56151524189412e-30,65.1867386657116
