"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Oaz1",-1.17282147223234,0.508819818343779,-7.07021101443403,6.22627974279316e-12,9.48137879232542e-08,16.1319594654847
"Rpl8",-1.13874945064325,0.569956960437957,-6.75164778391568,4.70706600984866e-11,3.58396005989877e-07,14.2859503931902
"Hnrnpa2b1",-1.39486622052382,1.02878525993777,-6.6325623208216,9.84358127737199e-11,4.99660185639402e-07,13.6132430609602
"Calm1",-1.34031256391225,1.10752950613653,-6.36758532921924,4.89926032382074e-10,1.86514840527855e-06,12.1511084894005
"Atp5g3",-0.902640606281715,0.363981507895746,-6.23719706294363,1.05900947315932e-09,3.22531925145404e-06,11.4495006874658
"Ddx50",-0.989198079327201,0.542018898822843,-5.81732946547525,1.16246030218026e-08,2.95032424693351e-05,9.27234711878573
"Cst3",-1.10477067747063,0.535215424668585,-5.72559023337063,1.92739866348421e-08,4.19291812107679e-05,8.81364953480037
"Tmem59",-0.756162811922044,0.300944696235137,-5.62970833958052,3.24689558286726e-08,6.18046574198782e-05,8.34086880216977
"Arnt",-0.851184855823726,0.461308975264476,-5.29399250273172,1.90526145378735e-07,0.000322370237980819,6.73967535668592
"Pea15a",-0.821600167222042,0.464550446826675,-5.15725016015343,3.81842915944662e-07,0.000542070902563227,6.11200856482244
"Atxn10",-0.722334900055768,0.348737826235601,-5.15224837216657,3.91566845823187e-07,0.000542070902563227,6.08932212405014
"Rpl27a",-0.666121302786815,0.280873649981592,-5.13432322742883,4.28423398406668e-07,0.000543669292578062,6.00817823622831
"Grcc10",-0.707729390894519,0.302435545242549,-5.09158142513364,5.30366468744645e-07,0.000621263122003342,5.81569607706295
"Pgrmc1",-0.774340382516684,0.435415336699647,-5.06960972444664,5.91537929326861e-07,0.000643424256270674,5.71730008783077
"Ndufb9",-0.634075122335051,0.283184976931111,-5.01503322066948,7.74475226890069e-07,0.000786247250338798,5.47451273207716
"Mid1",-0.52500467945568,0.161503039332479,-4.98773221364659,8.85433189911137e-07,0.000842711038497924,5.3539328874238
"Sf3b5",-0.435710603207764,0.127495576946269,-4.89192562214433,1.40974559591683e-06,0.00126280034909538,4.9353991628253
"mt-Co1",-0.699764182065967,0.328742980413157,-4.87425135943747,1.5347908092994e-06,0.00129843302466729,4.85897586199067
"Ptma",-0.549673113779052,0.18903660873147,-4.85487965142828,1.68412980410023e-06,0.00134978571878096,4.77549538877044
"Ly6h",-0.762092898234538,0.443684431963649,-4.77570036242482,2.45370781447068e-06,0.00186825312993798,4.4373608798456
"Usp11",-0.817259206702401,0.520014667935587,-4.72613182868464,3.09751057557547e-06,0.00224613766880301,4.22820732500112
"Tmeff2",-0.769796605826027,0.479267678559273,-4.69601478344828,3.5650613292172e-06,0.00241686231052939,4.10208333487243
"Ccdc30",-0.581764965695397,0.263523801043852,-4.69093309445958,3.65036992002731e-06,0.00241686231052939,4.08087353574604
"Spcs2",-0.495837945543931,0.180856582378974,-4.67144247935616,3.99614376703414e-06,0.00253555322018316,3.99971526393472
"Chchd2",-0.480377279427072,0.162937358598759,-4.65673747707797,4.27764771511307e-06,0.00260560077622968,3.93868491174949
