"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl27a",-1.05383785639346,0.286359697402663,-5.35873642069231,1.70292316189625e-07,0.00228464171400001,6.18215599144137
"Slit2",-0.489586566119114,0.0904397727320983,-4.94278491288258,1.30014790714383e-06,0.00850307190629946,4.50457375636845
"Usp16",-0.978876782335673,0.301566932395245,-4.86197690511707,1.90140248351956e-06,0.00850307190629946,4.19152450527633
"Slc25a4",-1.27412085384286,0.599392563053612,-4.57846772044582,6.93969669734917e-06,0.0221793338461681,3.12731968496396
"Vdac2",-0.835775677205635,0.250197362582991,-4.53910840522817,8.2660009861986e-06,0.0221793338461681,2.98383694108689
"Ptma",-1.10365281131962,0.519554424453265,-4.20520567772689,3.47266111223923e-05,0.0672626170165526,1.80937986882419
"Snrnp70",-1.43033058371117,1.10659137357202,-4.1675843619694,4.05994186764451e-05,0.0672626170165526,1.68191689644992
"Ckb",-1.55462907829382,2.00085100783667,-4.1610748909488,4.17072545736362e-05,0.0672626170165526,1.6599637265903
"Phf20l1",-0.743547243896608,0.245837649080472,-4.12804529457518,4.77872571255764e-05,0.0672626170165526,1.54903300646902
"Mtx2",-0.215788938936366,0.0249551834144096,-4.11556027211603,5.02983750578804e-05,0.0672626170165526,1.50730289074519
"Osbpl10",-0.203574840146549,0.0235426685883764,-4.09303666425076,5.51497307082646e-05,0.0672626170165526,1.43229939080187
"Gatm",-1.40292634079855,1.18760765606463,-4.03130299887009,7.08352253653465e-05,0.0791937819584574,1.22857756021031
"Wasf3",-0.494157382477655,0.101168199398819,-3.94500327984892,9.99993809701516e-05,0.100881264498611,0.948358216260532
"H3f3a",-0.804637138884505,0.282297169486834,-3.93201193923761,0.000105272637371837,0.100881264498611,0.906638554914304
"Ttc3",-1.31662519855889,1.0342074028686,-3.87054221179965,0.000134003721723654,0.119852928709636,0.710892215911239
"Rabac1",-0.820896832799669,0.3236559565064,-3.83859517459547,0.000151726686900807,0.124781914656996,0.610240978098063
"Wipf2",-0.432120933938827,0.100819770564326,-3.81315384343275,0.000167403910722109,0.124781914656996,0.530617651611862
"Zfp334",-0.370412428891991,0.0556694520540087,-3.81313263647725,0.000167417595693645,0.124781914656996,0.530551477363273
"Gpr22",-0.48361944010162,0.132949613207732,-3.77339189446058,0.000195007352396796,0.137695717881864,0.407121427808614
"Sf1",-0.656865683731867,0.210091762711617,-3.75645662907788,0.000208024278318188,0.13954268589584,0.354873615116304
"Cnr1",-0.587143203919232,0.172282304156202,-3.69999210780061,0.000257601924786408,0.162932867206069,0.182193355601636
"Phf21a",-0.635971484590534,0.207427175047886,-3.69027706943341,0.000267182698161413,0.162932867206069,0.152719302363868
"Cir1",-0.395692881923766,0.085788506954173,-3.66619875266154,0.000292395576873533,0.170555611275449,0.0799692573106272
"Cst3",-1.17815536686189,0.933957406729671,-3.62583283860343,0.00033975320593811,0.183941411162824,-0.0410303407726342
"Pbx3",-0.284460701355155,0.0434627502125677,-3.61704916411251,0.00035097243697982,0.183941411162824,-0.0672000772106935
"Dusp11",-0.964231197070198,0.545962560799968,-3.60528262504874,0.000366548101529026,0.183941411162824,-0.102167110804779
"Psd3",-0.814635651700869,0.377551520571448,-3.6026020267051,0.000370186203145219,0.183941411162824,-0.11011875729786
"Oaz1",-0.86230423281427,0.427741339327937,-3.56692631053533,0.000421951008944372,0.19994417331111,-0.215437275670719
