"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Oaz1",-1.63945176859972,0.671481190086095,-4.28265719897712,3.9087802951953e-05,0.198261938115649,0.591890171706885
"Otud5",0.723399337940314,0.122912430819835,4.2560284332333,4.33131666606262e-05,0.198261938115649,0.527050692278822
"Dnajb5",1.28297251892908,0.372178591268247,4.21740574748608,5.02299758559648e-05,0.198261938115649,0.433458608643436
"Pla2g4e",0.964051273301832,0.207120329969893,4.1045466783019,7.7058384060897e-05,0.198261938115649,0.163100141639799
"March1",-1.50139820548652,0.570190352598517,-4.10321139862818,7.74460695764255e-05,0.198261938115649,0.159929774335833
"Rpl8",-1.69942199790118,0.837416359947555,-3.9650852825676,0.000129405505583634,0.276065078578419,-0.164345870599504
"Ccdc157",0.390537220033251,0.0445349461441426,3.75254451258415,0.000278692236380579,0.509608660810201,-0.648567413267568
"Cdk2ap1",0.525957021395566,0.0599775550714242,3.65878180855163,0.000387422207296843,0.559463706148524,-0.856242690993174
"Fxyd7",0.978292601306596,0.225962497428448,3.60702265465267,0.000463560756301888,0.559463706148524,-0.969273017631401
"Pea15a",-1.35876771017111,0.589556007999603,-3.59696385476498,0.000479912960906282,0.559463706148524,-0.991104252805007
"Uchl1",-1.6769721803925,1.13009715474833,-3.58442313994526,0.000501063935337228,0.559463706148524,-1.01826023410526
"Nde1",0.678033233428092,0.0906727478370782,3.56365939609992,0.000538031516322529,0.559463706148524,-1.06307092956123
"Cnnm3",0.5648886020857,0.091388023315595,3.53788450987035,0.000587506715806127,0.559463706148524,-1.11843185508052
"Dkc1",0.637221136072664,0.113621786903283,3.515400007458,0.000634141257844413,0.559463706148524,-1.16648482105997
"Cacng3",1.47282438083612,0.674395727333346,3.45817326906448,0.000769064771729875,0.559463706148524,-1.28776635080453
"Eftud2",1.20276278432999,0.462887063499942,3.44592417108642,0.00080125782665319,0.559463706148524,-1.31353402993105
"C130071C03Rik",1.17472042741982,0.449445537321958,3.4384235199311,0.000821592164027875,0.559463706148524,-1.32927904372363
"Gm40841",1.27965347453259,0.546691679517671,3.41970499683391,0.000874474369571001,0.559463706148524,-1.36846024238098
"Brix1",0.652448320917967,0.111566435500454,3.40959498952043,0.000904350260035448,0.559463706148524,-1.38955566145519
"Hspa4l",-1.18283375211497,0.455908002396428,-3.40818547687218,0.000908590829233906,0.559463706148524,-1.39249301237441
"Fbxo3",-0.882323257423616,0.293655277041248,-3.40512257403829,0.000917870142899922,0.559463706148524,-1.39887279902034
"Mob1b",0.8367314511151,0.215796111711971,3.37103458336142,0.00102732745071237,0.580064953519395,-1.46958388117909
"Rpl27a",-1.00138405237203,0.343960965911852,-3.36663815377511,0.00104230421335516,0.580064953519395,-1.47866461472376
"Hsp90aa1",-1.77212562897095,1.53926487594169,-3.30464009908606,0.00127652219205266,0.667230598035154,-1.60576143116336
"Brd9",1.21317902523349,0.558960637651395,3.26833268328764,0.00143567302661466,0.667230598035154,-1.67935364160595
"Atp5g3",-1.16920853918238,0.466386179038183,-3.26265258336358,0.00146218742691573,0.667230598035154,-1.69081024667112
"2810403A07Rik",0.878337743623388,0.260763096748349,3.25989762743541,0.00147521145503071,0.667230598035154,-1.69636139176671
"Ern1",0.474871598137168,0.0775934449974891,3.25043808498563,0.00152076050182671,0.667230598035154,-1.71539454595499
"Cltc",-1.36188711920544,0.7428190648577,-3.23040519671671,0.00162158885874383,0.667230598035154,-1.75556085473393
"Mdn1",-0.915798299446489,0.30368177609921,-3.217404797263,0.00169032143211049,0.667230598035154,-1.78152403208249
"Gm14296",0.569648681562301,0.109196223329837,3.20532497416208,0.00175661189722282,0.667230598035154,-1.80557589421109
"Tenm3",-0.935121438253003,0.306100929318057,-3.20281157433713,0.00177070565677425,0.667230598035154,-1.81057143168489
"Stmn3",-1.43262185320051,0.830082428453489,-3.18830952737215,0.00185410373087194,0.667230598035154,-1.83933556535867
"Kalrn",1.54546197513465,1.03534883937814,3.18508456931923,0.00187314015632826,0.667230598035154,-1.84571829369375
"Zwint",-1.46768776944277,0.988521769549971,-3.18055126671938,0.00190020730058708,0.667230598035154,-1.8546819331512
