,gene,Astro_F_E18_WB,Astro_F_P60_CORT,Astro_F_P150_CORT,Astro_M_E18_WB,Astro_M_P60_CORT,Astro_M_P120_CORT,Endo_M_P60_CORT,L2_3_IT_F_E18_WB,L2_3_IT_F_P30_CORT,L2_3_IT_F_P60_CORT,L2_3_IT_F_P150_CORT,L2_3_IT_M_E18_WB,L2_3_IT_M_P30_CORT,L2_3_IT_M_P60_CORT,L2_3_IT_M_P120_CORT,L4_F_E18_WB,L4_F_P30_CORT,L4_F_P60_CORT,L4_F_P150_CORT,L4_M_E18_WB,L4_M_P30_CORT,L4_M_P60_CORT,L4_M_P120_CORT,L5_F_E18_WB,L5_F_P30_CORT,L5_F_P60_CORT,L5_F_P150_CORT,L5_M_E18_WB,L5_M_P30_CORT,L5_M_P60_CORT,L5_M_P120_CORT,L6_F_E18_WB,L6_F_P30_CORT,L6_F_P60_CORT,L6_M_E18_WB,L6_M_P30_CORT,L6_M_P60_CORT,L6_M_P120_CORT,Lamp5_F_E18_WB,Lamp5_F_P30_CORT,Lamp5_F_P60_CORT,Lamp5_M_E18_WB,Lamp5_M_P30_CORT,Lamp5_M_P60_CORT,Lamp5_M_P120_CORT,Non_neuronal_F_E18_WB,Non_neuronal_F_P30_CORT,Non_neuronal_F_P60_CORT,Non_neuronal_F_P150_CORT,Non_neuronal_M_E18_WB,Non_neuronal_M_P30_CORT,Non_neuronal_M_P60_CORT,Non_neuronal_M_P120_CORT,Oligo_F_P30_CORT,Oligo_F_P60_CORT,Oligo_F_P150_CORT,Oligo_M_E18_WB,Oligo_M_P30_CORT,Oligo_M_P60_CORT,Oligo_M_P120_CORT,Pvalb_F_P30_CORT,Pvalb_F_P60_CORT,Pvalb_F_P150_CORT,Pvalb_M_E18_WB,Pvalb_M_P30_CORT,Pvalb_M_P60_CORT,Pvalb_M_P120_CORT,Sncg_F_P30_CORT,Sncg_F_P60_CORT,Sncg_M_P60_CORT,Sncg_M_P120_CORT,Sst_F_E18_WB,Sst_F_P30_CORT,Sst_F_P60_CORT,Sst_F_P150_CORT,Sst_M_E18_WB,Sst_M_P30_CORT,Sst_M_P60_CORT,Sst_M_P120_CORT,Vip_F_P30_CORT,Vip_F_P60_CORT,Vip_F_P150_CORT,Vip_M_E18_WB,Vip_M_P30_CORT,Vip_M_P60_CORT,Vip_M_P120_CORT
0,Gm42047,-1.02179891033843,-0.0992653530477825,-0.547641475038603,-0.256993469460982,0.234571774627847,0.01901110778756,1.0,-0.278677391202407,-0.0180096620198346,0.0120071181366178,-0.0272640792275062,-0.0799722499864564,0.0154170628078719,0.0403663162818831,-0.0005777249342789,-0.150867856996079,0.0016769393953015,0.0340228374824782,-0.191787087695887,-0.125111650811233,-0.0286446223180329,-0.034710806676797,-0.0139571547208896,-0.611020411958348,-0.0151685047466562,-0.0072284488514706,0.0198199249269128,-0.0564977169112118,0.0002047614770706,0.0177407048694375,-0.0032080321886389,-0.246706261776693,-0.0167860112709063,-0.0001358668955832,-0.0758981362850393,-0.0157957319464072,0.010758333333732,0.022828321548133,-0.322835159119552,0.016543390526595,0.0160552184079318,-0.0817736469213972,-0.0523520743127021,-0.0221967380915863,-0.0134682439517564,-0.513807106873138,-0.0008551208809709,1.0,-0.0143032124822499,-0.341882761559003,-0.0373720584127319,0.0095937383379482,0.0060870533611059,0.039837475904884,0.0846925429640259,0.0359574190549835,-0.0278075746392934,0.0721459203585927,-0.0173099445951294,-0.0442645475047349,0.0017829640343046,0.0323299496166342,-0.0747060804091573,-0.108327670855448,0.0207617868364381,-0.0097433417786554,-0.0592376898746629,-0.0827295528909802,0.0487816485947698,-0.0727160132024867,-0.0139410046734902,-0.205545445290828,-0.073337055842332,0.0010969690945334,0.0388769310385196,-0.0960688578742476,0.0141378615146741,-0.0083715079142673,-0.0164323318446837,-0.0405891864465409,-0.0020242359593143,-0.0004116687338718,-0.077896826761645,0.0354777905507695,-0.0264523818387994,-0.0086589838315692
1,Mpped2,-0.65958827650559,-0.3720426573641,0.502554396596845,0.0882187725673372,0.115138443646658,-0.115436199690276,0.656921121940501,-0.173288550998369,-0.141609123944365,0.0818716905231792,-0.147000036378017,0.183905874737462,0.0063711866916109,0.121408542709466,-0.0816062214336637,0.289618610639085,-0.190614075741335,0.0257312184142042,-0.351486050610481,0.13195186828169,0.109290600436777,0.142730452537795,-0.0558049535661117,-0.550586503309581,-0.167205131372759,0.227770696917551,0.240711622756817,0.0577373377741761,-0.0591669812738857,-0.0543300223656115,-0.0233942040578868,-0.0941822479218042,-0.144601508351293,0.0827607424964203,0.090224996271727,0.0193580016824804,0.0533010261654344,-0.0180133183904819,-0.275007539352,-0.0558115041220652,0.237211959867219,0.29233847401279,-0.119706583622411,-0.190781411082903,-0.138565577763009,-0.409988788162831,-0.195691395193994,-0.161086514311673,-0.410068153370228,0.254250426739242,0.276848546283214,-0.0187095999557025,-0.0117707458947609,0.174097531667449,0.241346131093811,0.0981184395774306,-0.40453031981268,0.117413745769577,0.0367891597124005,-0.0965041551819574,-0.195026090464883,-0.0686109838898618,-0.409563037118839,0.119270097892572,-0.0661656879960077,-0.0144567724962021,-0.0405027741142053,-0.218087398698948,-0.340389773004607,0.0067278039753065,-0.149491986190908,0.0125306481779537,-0.157841785362072,-0.0139295342388872,0.235111674788752,0.0081667151279386,0.0921680691174134,-0.0834837326968071,-0.0050119553553709,-0.126299123926814,0.407200716405346,0.143628752021269,0.0629248012570716,-0.0001043143408645,-0.0375225116888589,-0.0254455913161151
2,Nkain2,-0.574863394832018,-0.0191390661885972,0.285583011747452,0.187304449989763,-0.239385325810049,0.244923469697586,-0.0013901972460828,-0.0256278980649474,-0.190182863342063,0.328491751758654,-0.736533924837233,0.0943480457243887,0.154918934620244,0.0028470454802893,-0.204956708829686,-0.214878667836403,0.0054290249840968,0.611354519627523,-1.12646925740679,0.222222909254643,0.0303272026470592,0.197353356029902,-0.248014866598216,-0.11873425208315,-0.0377198484732303,0.361759940718361,-0.737721368352094,0.0469321467739152,0.0847525627398295,0.127659062529797,-0.204635067103206,0.0123881903492938,-0.335090759562175,0.445729477550946,0.0943437907325594,0.160466242075135,0.0634507981625094,-0.223202565657823,-0.346530714739136,-0.344724140287702,0.290169590433046,0.203809504926759,-0.0849425768242632,-0.0706710445885657,-0.29685760517227,-0.565569276317544,0.124766780030403,0.184646793317868,-0.768597445857422,0.242730219250898,0.0846307422022057,0.0595742826098014,-0.3316411332718,-0.402440380871832,0.286442458275269,-1.38049048685287,-0.0274995068774776,-0.344992345577519,-0.0216525590673682,0.0167135242394227,0.0412845132408175,0.206700448503437,-0.686121546878691,0.0475613548122813,0.247814134406546,-0.247085022307864,-0.272825115449435,-0.645185884516918,0.323770617479368,0.484562917446284,0.0641147977255743,0.0377632664200495,0.11062715217679,0.0191647855416494,0.164567496606079,0.0242634194878377,0.252051038222565,-0.159712813539474,-0.166313326591927,-0.854057900108314,0.191755445654389,-0.369667522206933,0.108545037691688,0.280085166676809,-0.526656031509227,-0.163681264450324
3,Ptgds,0.423066349656045,-0.793988072311405,0.431166419236959,-0.367301789962282,-0.0772128001617266,0.265223710494753,-1.17926405119409,0.283588329083963,-0.0286982349019172,-0.046882684428793,-0.277326603795426,-0.638618362967958,-0.046241893768706,-0.0177564004767416,0.0188342243234577,0.242920274605426,-0.0028524337172138,-0.149592089522134,-0.274987652288841,-0.392004262710714,-0.11441544050983,-0.0268757545988846,-0.0141966740544163,0.339420517837373,-0.0265231837204578,-0.115200333335013,-0.232500410224725,-0.417021646891964,-0.0175702762659296,-0.0152568881934352,0.112097153135178,0.313078793002532,-0.25720540193489,-0.735455730895289,-0.511073418756708,0.153236037338341,-0.0337989288492641,-0.206490356245829,0.256769950880478,-0.205327285258628,-0.253355615949987,-0.545616496594127,0.0556115691106066,-0.0960495302731131,-0.0146236341846653,0.301567313657129,-0.323031281063131,-0.293141795588094,-1.93863130216792,-0.505837346370035,0.297425645642213,0.0548515127239372,-0.372106315218816,-0.818662948431183,-0.193761900194539,-0.170074233737341,-0.602754621761873,0.0601192441974001,0.210248760215639,-0.601443426881108,0.056586079500181,-0.262830817328885,-0.072028670223047,-0.515765893031831,0.0673710909607587,0.0734961990644824,-0.21732247596839,0.091431193752159,0.333752749908513,0.472742019058553,0.209689256134505,0.303091629578623,-0.36170219601344,-0.221357433659695,-0.660273020965959,-0.478906258869383,0.164827639488725,0.24749589051727,-0.0415768431561587,-1.21048273323437,-0.750035758013907,0.0001161272271596,-0.438346041309985,0.0545875112785483,0.0773656399074244,0.0892761556693962
4,Ttr,1.0,1.0,1.0,-1.19270269470521,0.345136111962733,0.488096740667284,0.727296611131086,1.0,1.0,1.0,1.0,-1.08691900408061,0.0015394851338522,0.122390908095648,0.158754561232605,1.0,1.0,1.0,1.0,-1.0484031478302,0.0071326797722476,0.141344235148937,0.188522609400278,1.0,1.0,1.0,1.0,-0.893852681107962,0.0042441425223979,0.201218126727738,0.149704121612571,1.0,1.0,1.0,-1.00489568745622,-0.004482036254839,0.206433612501228,0.170957770116999,1.0,1.0,1.0,-1.04804009586142,-0.0059391502396513,0.130819731889759,0.0811115993454707,1.0,1.0,1.0,1.0,-0.968645201864019,-0.0386913668378171,0.310292904947479,0.0621274564305198,1.0,1.0,1.0,-1.23808269432552,-0.0226192070876554,0.271254799224225,0.297859315387339,1.0,1.0,1.0,-0.936662170155926,1.0,0.233877423724961,0.130796810616269,1.0,1.0,0.308005136215011,0.0678546661300823,1.0,1.0,1.0,1.0,-1.07629688178025,-0.0113771569967144,0.108679470383788,0.228303234902197,1.0,1.0,1.0,-0.899552944856535,0.0117279683159125,0.237425139343692,0.201521214892949
5,Ptn,0.054890587053726,0.888834376855887,-0.770277987776715,0.992607317811361,1.1104214161807,0.572665521984778,0.899026438107878,-0.282203277624169,-0.410564205023208,-0.0046772609057401,0.397997811550007,0.368254482647544,0.108728487180588,0.446580510803668,0.0920855877263805,-0.0059787067001935,-0.478314221150524,-0.38766499685228,0.469061786362555,0.263887521487349,0.219753635674558,0.350168555829095,0.24564433641833,-0.123550346068802,-0.503967491018683,-0.17273357631939,0.298049893505042,0.342034141556533,0.410253840378609,0.44100878339896,-0.0222341741138009,0.080404018841806,-0.482033150716507,-0.186723062217428,0.263547476370527,0.0834828640933576,0.20767760780993,-0.204358611754533,-0.197207382261951,0.160883530640185,-0.187230428847618,0.416907871392877,0.144091859046979,-0.0128062569403457,0.119764834201458,0.357655517044696,-0.0765204156942283,-0.0309470542394828,-1.7190996997919,0.314006315509415,0.197753697282057,0.248005449207897,0.0343271977767212,-0.553203838866678,0.572868490116357,0.0194202793957201,0.206100341622704,0.0437339914301818,0.117969329399626,-0.208103683570215,-0.163084782753654,0.0068396105505618,-0.527504078062069,0.621590601026505,0.13578732501127,-0.0820516618551938,-0.177641135418938,0.0824329839723407,-0.155234333883937,0.602265705655123,-0.211076272623263,-0.0644488987521188,-0.187267116850511,0.119713189831041,-0.374094390155082,0.387646466994552,0.344141742568827,0.0721683128688176,0.0341503181264591,-1.16872369401596,-0.281823370110422,-0.185881892714249,0.2312093521956,0.239759774856552,0.258522490771056,-0.20423667796644
6,Ptprz1,-0.299221367190277,1.84471902140488,-3.98139358488809,0.8515156121101,0.907062149738679,-0.469482664366618,0.0796019430844091,0.234842321176136,0.0007493568123381,0.112417292015414,-0.264647768657629,0.176874374164605,0.035227769652249,-0.0727209195901138,-0.156862249926985,-0.0135931208467023,0.064271486373787,0.290608703309723,-0.222334747692983,0.17274170318747,-0.0576439837591462,-0.0282961511008673,-0.265994756247832,0.122035753874526,0.0557419055677206,0.0716279496888932,-0.252611001218839,0.0348366850486013,-0.0489784303660875,-0.129430214092047,-0.115041263912446,0.262114769768126,0.0195904607309621,0.0308716778731412,0.138253457868203,0.0305937881266167,0.0113020404399619,-0.151169886254443,0.107404317141416,-0.372857523079629,0.375939206054863,0.274118596791986,0.148243244704,0.0244358080558859,-0.0997898859963905,-0.329391081701417,0.111614412471614,0.277867888942388,-0.439590594981549,-0.117430684808627,0.0088468713057752,-0.0305189896575596,-0.229792691598263,0.732398254619259,0.0455465099359271,-0.762889425396622,0.277063206515712,0.465140823121293,0.0539773367687434,-0.226732759942732,0.0381209411778771,0.118016547233049,0.34253536985643,0.0338474565947549,0.044309667877774,-0.146461611642583,-0.119008227370565,-0.624046384050516,-0.0651893310065694,-0.0277309460722929,-0.226389953214372,0.403247133044045,-0.257320005038347,0.267323889375416,-0.139628148216966,-0.0352683269634303,-0.133243722650569,-0.0302149682519918,-0.314329526592439,0.626297270539369,-0.291922363321349,-0.158326030193508,-0.171511723900056,-0.0841029049682456,0.197292952246731,-0.221228493891381
7,Luzp2,-0.061657056292844,-0.0152513575955169,-3.93983044414619,0.8241806397152,1.60299897870491,-0.479621390544852,0.118799114373789,0.303692152178854,-0.162120739151159,-0.0136342710238068,-0.263468932229354,0.338672624164192,0.082261893454153,0.222786565420418,-0.151389122890225,0.083124424094586,-0.0162978284343787,-0.107659835263655,-0.105120793612278,0.296363079339944,-0.0791517338921816,-0.0132786569118642,-0.2441040120414,-0.0518381970322463,-0.0336629442152688,0.0128827368255563,0.058095638323776,0.2563902725293,-0.119853876042064,-0.0718856074071948,-0.161996422797332,-0.125669369017545,0.0175430248959381,-0.0337905206907293,0.330038286104096,0.043961236348032,0.0930264577819598,-0.137571168031471,0.0014369374513795,-0.156125414542983,-0.0395393697583418,0.32809925278364,0.0316261840834496,0.424066491112938,-0.047713744108845,0.33221677277872,0.144011517550516,-0.370305968100152,-0.477019135889456,0.598847582960316,-0.0268754308288419,0.184176070762433,-0.238460522549009,0.199334074805813,-0.133774867429521,0.386637224462851,0.363139421926367,0.0131449568527384,0.151663308694732,-0.103337875372049,-0.291598602440333,0.0479074941760936,0.416567099861521,0.205853888445986,0.0138447541861545,-0.059574187115123,-0.0404415910652356,0.333196263746689,0.430513832299628,0.0251435438969861,0.0077649517280289,0.0289159409938992,-0.303806433764322,0.0757352633551015,-0.516214821360773,0.195479423388325,-0.235981800004605,0.480920333313317,-0.0513313923824338,-0.361558224790099,-0.0012777260276662,-0.5252719873717,0.238343183073479,-0.0484623922794065,0.197157579939379,-0.105594512592925
8,Rps27a,0.111610960714837,0.210064088420581,1.31148621992103,-0.81493323200477,-0.127869887467013,-0.237801894554992,-0.148172796197798,-0.166210113845781,-0.229333088263243,0.0595391426505045,-0.0926985553892942,-0.592558008760685,0.0089188488672112,-0.0300724134194477,-0.115629588890217,-0.17988475700924,-0.159863874229843,-0.0351676450706857,-0.241019142466141,-0.534407619277229,-0.0585621343390506,0.0176339969533886,-0.179466803680375,-0.0064129870119975,-0.152362496438444,0.111056491791955,0.060113657423799,-0.427577489463626,0.0673618856474704,-0.0965192706706562,-0.220622904113837,-0.145684015201081,-0.243662866651675,0.0673338549678661,-0.597352508282703,0.11253039122789,-0.101197608803084,-0.206761894665868,-0.110715860327295,-0.35015054214302,0.184086348751141,-0.37928977392897,0.114604582049585,0.099412125762066,-0.275749081153938,-0.269400349828561,-0.262748303415666,-0.10130108522368,0.120360455371368,-0.393989571321933,0.188438564338622,-0.065027218399932,0.0260420542085857,-0.0781584825085933,-0.217451847270125,0.791011669978019,0.150626947934439,0.215255656027539,0.0963793230630833,-0.0757882225573656,-0.304382336399165,0.0722154741859712,-0.104811142212071,-0.320664248298921,0.136682120212412,0.0521383247934695,-0.189972315004952,-0.497207027371628,-0.296980603434325,-0.245112941496922,-0.0899703530499713,-0.719927609112769,-0.278824201819338,0.0025323664665622,0.81270073994603,-0.327120542924735,0.0649152518893246,-0.0554817407861267,-0.133933456568603,0.0165654923896527,0.063973287728813,0.152752151400023,-0.452240824582431,0.108634183352663,-0.0619989867833908,-0.0640973510819195
9,Aqp4,1.0,1.0,1.0,0.774188717227142,0.593990123493049,0.0280850020941033,1.0,1.0,1.0,1.0,1.0,0.0166673709601863,0.0007241748930154,-0.0069233049071997,-0.0114519241527807,1.0,1.0,1.0,1.0,0.0099751581387964,0.0204509213214146,-0.0157585782981396,-0.0139117497815569,1.0,1.0,1.0,1.0,0.0021602850317555,0.0079492604974545,0.0026338906163529,-0.0110668746778411,1.0,1.0,1.0,0.0103630567387471,-0.0008375087043432,0.0026076096986882,-0.0069340774627707,1.0,1.0,1.0,0.0197001300392336,0.0091036356971981,1.0,-0.0180455703094983,1.0,1.0,1.0,1.0,1.0,0.0166474499453195,1.0,1.0,1.0,1.0,1.0,0.0205514217735852,0.0407969768358737,0.0228997447295349,-0.0387934462607171,1.0,1.0,1.0,-0.0020813599461758,5.90101381528528e-05,-0.0034679515423159,-0.0194319205649461,1.0,1.0,1.0,0.0296891824359465,1.0,1.0,1.0,1.0,0.0233387595298959,-0.0005568196627867,0.0179867082202451,0.0185832242598306,1.0,1.0,1.0,0.0212771685692256,-0.0218295071065576,-0.0061934364437436,-0.0078877366325343
