,gene,L2_3_IT_M_P30_CORT,L4_M_P30_CORT,L5_M_P30_CORT,L6_M_P30_CORT,Lamp5_M_P30_CORT,Non_neuronal_M_P30_CORT,Oligo_M_P30_CORT,Pvalb_M_P30_CORT,Sst_M_P30_CORT,Vip_M_P30_CORT
0,AC149090.1,1.8431188983134596e-84,2.0150369096324398e-26,1.33643596111362e-68,4.9396690410165584e-52,2.7517758793946897e-19,0.172405245890818,0.143229257009171,6.321352564088549e-08,2.16718524271882e-10,6.507185184381999e-21
1,Arc,6.88023127658294e-55,1.4239535925860399e-27,1.4217442880149598e-54,2.7323734641792697e-54,0.0790314983091328,0.7955262926657171,0.861996830174189,0.181166683881962,0.10127393558858301,0.19159742758349502
2,Mid1,1.1885427167461298e-94,2.2240864784111604e-25,1.3307163456105298e-81,3.0408577282523797e-80,1.3301789315190399e-11,0.00698636006476246,0.6485898985545361,2.8990875538617893e-21,6.11545445635632e-18,1.6838954984417798e-08
3,Junb,3.98978508009126e-25,1.09703533313327e-14,1.9994645933221398e-24,2.22119330738784e-29,0.75230513364713,0.9671616036186551,0.897712091413269,0.804444287491482,0.127686867534941,0.00102148139086157
4,Egr1,4.59018422019686e-22,1.8693590642508499e-06,1.7454170894017298e-24,4.90656843694057e-17,0.00406305466554508,0.953747146537414,0.9966177385716809,0.807080053802553,0.6397379511370429,0.00323612488663232
5,Fos,2.0913346278689198e-32,6.70032402855906e-13,4.500224801451389e-33,1.3551054909767e-25,0.215084904902189,0.7955262926657171,0.861996830174189,0.5438917846333511,0.0395367349297227,3.1775604625200403e-06
6,Gm47283,4.27011774310915e-32,1.1844054758346799e-09,1.7454170894017298e-24,3.96808487461325e-46,4.711142667452489e-09,0.6996448657942939,0.00100287381750608,3.8435997477365e-06,7.44789593237483e-06,0.00102148139086157
7,Btg2,6.402171601469159e-25,1.44276315075084e-15,4.113632004488889e-23,1.8430547070135198e-35,0.7750328369448741,0.719596898613241,0.861996830174189,0.6030314372932261,0.0395367349297227,0.132168027675597
8,Npas4,6.17637210357024e-15,1.0372602329978e-05,1.7292757296723301e-06,9.64131400450975e-13,0.8473933087719201,0.787369385383451,0.8639930798810609,0.8485032920709861,0.620327449452454,0.489736268419968
9,Dusp6,3.97955733288924e-14,0.0166590615508773,1.64821086123887e-10,3.84040012395308e-08,0.7750328369448741,0.9727172826451709,0.861996830174189,0.845847430752251,0.511498046694848,0.698884017560891
10,Ptprk,0.0685463222503015,0.000631263062947092,1.4874718005103e-07,0.554963226748235,0.951662474647516,0.7955262926657171,0.9679339009366991,0.978968424395622,0.9432652292420591,0.9404940896684809
11,Dusp1,4.00987792164152e-19,5.13914377366074e-10,6.63291079745481e-27,1.55250431879383e-20,0.0144214988434226,0.7955262926657171,0.968089794049854,0.713467398840032,0.0275209602435605,0.17297768287139498
12,Camk2d,0.000165760497927208,1.85827635017327e-05,0.0054720965433305395,0.9438829271924158,0.9972680393666519,0.7955262926657171,0.9744988671891109,0.229930015414082,0.8214379418310741,0.9158799781126429
13,Nfib,0.010688635353881,0.644131434833321,1.37171890490326e-07,0.5212988087254471,0.7750328369448741,0.8633480240585959,0.923285294612136,0.807080053802553,0.938360602089172,0.9654546132739441
14,Nr4a1,8.881389977920901e-13,0.000807362455818788,1.37120620130147e-11,2.2904296792412702e-12,0.7750328369448741,0.8783022661660391,0.8801923865576179,0.8353302054649531,0.6991935259604549,0.46138996475452104
15,Pcdh9,0.000208384586926515,0.860445721210044,0.0718379949159531,0.7792555139487299,0.0287588503870275,0.7955262926657171,0.5878271906408891,0.281757204492417,0.689061779492605,0.796674729665452
16,Phip,0.301339716654963,0.7930375182528492,0.530523370854314,0.6596582010265191,0.0483621079749516,0.7955262926657171,0.858688530736002,0.9727352842154909,0.9856244952662021,0.829400020644738
17,Prr14,0.9115018196066659,0.970925255048203,0.8671223292631601,0.962488480880765,0.0398329252655351,0.7955262926657171,0.8639930798810609,0.9872473900005341,0.7584610847016321,0.813745790785342
18,Gpr83,0.9310424049379641,0.8091655413351808,0.4200974152935,0.7792555139487299,0.0215754356331038,0.7955262926657171,0.861996830174189,0.9780426679648979,0.0290233799222665,0.7899937519610121
19,Zfp335os,0.975344706692027,0.643114241189689,0.8822382944961942,0.700512075760262,0.0287588503870275,0.502688359139618,0.8639930798810609,0.807080053802553,0.903866193442555,0.673620581056311
20,Gas7,0.951060581629512,0.976665043600841,0.8161528528041271,0.996665050515153,0.968728724045404,0.00830623430710358,0.976454876279331,0.9896804619359879,0.7862123598025659,0.994011034420341
21,Rab26,0.00524002546793769,0.0471618066193901,0.0413565827488145,0.298723703962229,0.792138472202138,0.0197383666852528,0.9966177385716809,0.923769718613085,0.8288900589189291,0.7843252613913398
22,Adgrl2,0.872214659385979,0.945264647015658,0.9947115835958751,0.9887951999442901,0.7750328369448741,0.880409496184835,0.861996830174189,7.47238724145198e-07,0.0645626572487206,0.7540903069264351
23,Auts2,0.0009153506452236929,0.582185885556933,0.533344679391056,0.00496945176242794,0.6695950394493281,0.7955262926657171,0.36954003845711797,0.0275073339879329,0.0395367349297227,0.7540903069264351
24,Cacnb2,0.0494184079995146,0.458105724129911,0.459591615086369,0.319209914571553,0.8746851744098242,0.8224412126472059,0.9848314157714281,0.00989394611887919,0.508056302865456,0.9269430308320109
25,Pgp,0.66484005497184,0.57923414442197,0.999306868758516,0.8088780005666949,0.716998129617182,0.7955262926657171,0.8677950461698208,0.0159864211492785,0.9618426269182869,0.9687583633464051
26,Pls3,0.747591857868965,0.705801788108333,0.576330747946206,0.937654916299125,0.8473933087719201,0.7955262926657171,0.997894747226466,0.00989394611887919,0.8432357731170171,0.640654828115264
27,Taf9,0.83835007708509,0.8091655413351808,0.991678193260281,0.8961271423131328,0.7573436546042241,0.889169430032308,0.999285635101909,0.0224077431519713,0.644181935991266,0.956182398560081
28,Lrrc3b,0.473509784835993,0.99077266944923,0.309534787290649,0.9525584556553341,0.75230513364713,0.936181194351217,0.93073652583289,0.0390814760826884,0.8214379418310741,0.714077019028364
29,Tenm2,4.5172935155563e-05,0.22495011990391697,0.035723051662588,0.107523955591115,0.541543866617074,0.7955262926657171,0.963737266322744,0.80754468226495,0.000819451691024564,0.0322122261293672
30,Frmd4b,0.975606633129662,0.7668702046028809,0.7971334279668342,0.9669756627678171,0.9433319101191491,0.967983387481365,0.8639930798810609,0.807080053802553,0.0268758705181615,0.988046934753766
31,Grid2,0.8783090028067551,0.678292492234721,0.8027534436181549,0.0411281420993905,0.974306777321595,0.877223935566194,0.945846855454941,0.8857409111949242,0.0395367349297227,0.9077703499572879
32,Msi2,0.950321719822968,0.975318386293852,0.5226932482655721,0.8695213954564929,0.7750328369448741,0.849354949759633,0.8639930798810609,0.80498093415161,0.0275209602435605,0.314127490134187
33,Epb41,0.191612525556148,0.578763216780185,0.5807530935048859,0.886507478296314,0.0790314983091328,0.848102643667111,0.959500454038856,0.19191627029343802,0.0181957070513149,0.7194755161355451
34,Zbtb4,0.39226268741129205,0.670343701022229,0.281698507387215,0.580635101886767,0.898784804622308,0.816194408320984,0.8639930798810609,0.736125165100442,0.007929874822681371,0.7843252613913398
35,Epha5,0.0993627792310445,0.101412234443392,0.0201339663413204,0.15939434897854501,0.674323854266118,0.7955262926657171,0.9890401716735471,0.630793657094433,0.674790547624898,0.033558581998816
36,Plk2,0.00839658725189538,0.8542751941464041,0.00144039269454785,0.145000933203545,0.769966955655995,0.8783022661660391,0.861996830174189,0.8759786982292059,0.605175124105473,0.007089466596518259
37,Dicer1,0.20412159259381898,0.8141124018399559,0.543306193664971,0.9072102493509521,0.7036473857814589,0.9337949639627579,0.861996830174189,0.982953445664102,0.689061779492605,0.0237522054620275
38,Coro6,0.0244388433002899,0.40694321536464706,0.0016044272469756301,0.280932822520836,0.8473933087719201,0.8417836441578791,0.926518947443269,0.80498093415161,0.55999179498617,0.00031602634397219904
