"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:2000255","negative regulation of male germ cell proliferation",3,1,0,"0.0013"
"2","GO:0045187","regulation of circadian sleep/wake cycle, sleep",6,1,0,"0.0026"
"3","GO:0001516","prostaglandin biosynthetic process",9,1,0,"0.0038"
"4","GO:0043303","mast cell degranulation",13,1,0.01,"0.0055"
"5","GO:0002028","regulation of sodium ion transport",56,1,0.02,"0.0237"
"6","GO:0006814","sodium ion transport",107,1,0.05,"0.0450"
"7","GO:0006812","cation transport",499,1,0.21,"0.1983"
"8","GO:0043269","regulation of ion transport",673,1,0.29,"0.2607"
"9","GO:0051049","regulation of transport",916,1,0.39,"0.3423"
"10","GO:0032879","regulation of localization",1329,1,0.57,"0.4669"
"11","GO:0006810","transport",2064,2,0.88,"0.4994"
"12","GO:0051234","establishment of localization",2132,2,0.91,"0.5130"
"13","GO:0006811","ion transport",1617,1,0.69,"0.5437"
"14","GO:0051179","localization",2756,2,1.18,"0.6292"
"15","GO:0050789","regulation of biological process",4452,2,1.9,"0.8654"
"16","GO:0065007","biological regulation",4658,2,1.99,"0.8861"
"17","GO:0044281","small molecule metabolic process",596,1,0.25,"1.0000"
"18","GO:0044283","small molecule biosynthetic process",217,1,0.09,"1.0000"
"19","GO:0043299","leukocyte degranulation",20,1,0.01,"1.0000"
"20","GO:0042752","regulation of circadian rhythm",74,1,0.03,"1.0000"
