"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:2000255","negative regulation of male germ cell proliferation",3,1,0,"0.0013"
"2","GO:0045187","regulation of circadian sleep/wake cycle, sleep",6,1,0,"0.0026"
"3","GO:0001516","prostaglandin biosynthetic process",9,1,0,"0.0038"
"4","GO:0043303","mast cell degranulation",13,1,0.01,"0.0055"
"5","GO:0002028","regulation of sodium ion transport",56,1,0.02,"0.0236"
"6","GO:0006814","sodium ion transport",108,1,0.05,"0.0453"
"7","GO:0010959","regulation of metal ion transport",198,1,0.08,"0.0819"
"8","GO:0043269","regulation of ion transport",342,1,0.15,"0.1386"
"9","GO:0030001","metal ion transport",383,1,0.16,"0.1543"
"10","GO:0006812","cation transport",503,1,0.21,"0.1992"
"11","GO:0006811","ion transport",635,1,0.27,"0.2466"
"12","GO:0051049","regulation of transport",922,1,0.39,"0.3433"
"13","GO:0032879","regulation of localization",1349,1,0.57,"0.4713"
"14","GO:0006810","transport",2077,2,0.88,"0.5006"
"15","GO:0051234","establishment of localization",2146,2,0.91,"0.5144"
"16","GO:0051179","localization",2779,2,1.18,"0.6317"
"17","GO:0050789","regulation of biological process",4463,2,1.9,"0.8651"
"18","GO:0065007","biological regulation",4660,2,1.98,"0.8848"
"19","GO:0044281","small molecule metabolic process",597,1,0.25,"1.0000"
"20","GO:0044283","small molecule biosynthetic process",188,1,0.08,"1.0000"
