"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005791","rough endoplasmic reticulum",46,1,0.02,"0.019"
"2","GO:0005615","extracellular space",287,1,0.12,"0.117"
"3","GO:0005576","extracellular region",466,1,0.2,"0.185"
"4","GO:0005794","Golgi apparatus",791,1,0.34,"0.300"
"5","GO:0005783","endoplasmic reticulum",853,1,0.36,"0.320"
"6","GO:0016020","membrane",3396,2,1.44,"0.471"
"7","GO:0016021","integral component of membrane",1731,1,0.74,"0.570"
"8","GO:0031224","intrinsic component of membrane",1798,1,0.76,"0.586"
"9","GO:0005886","plasma membrane",1899,1,0.81,"0.609"
"10","GO:0012505","endomembrane system",1970,1,0.84,"0.625"
"11","GO:0071944","cell periphery",2025,1,0.86,"0.637"
"12","GO:0005634","nucleus",3255,1,1.38,"0.843"
"13","GO:0043231","intracellular membrane-bounded organelle",4913,1,2.09,"0.972"
"14","GO:0005737","cytoplasm",5067,1,2.15,"0.977"
"15","GO:0043227","membrane-bounded organelle",5160,1,2.19,"0.980"
"16","GO:0043229","intracellular organelle",5342,1,2.27,"0.986"
"17","GO:0043226","organelle",5635,1,2.39,"0.992"
"18","GO:0110165","cellular anatomical entity",6734,2,2.86,"0.994"
"19","GO:0005622","intracellular anatomical structure",6078,1,2.58,"0.997"
"20","GO:0005575","cellular_component",7063,3,3,"1.000"
