"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005791","rough endoplasmic reticulum",48,1,0.02,"0.02"
"2","GO:0005615","extracellular space",287,1,0.12,"0.12"
"3","GO:0005576","extracellular region",470,1,0.2,"0.19"
"4","GO:0005794","Golgi apparatus",798,1,0.34,"0.30"
"5","GO:0005783","endoplasmic reticulum",860,1,0.36,"0.32"
"6","GO:0016020","membrane",3410,2,1.44,"0.47"
"7","GO:0016021","integral component of membrane",1753,1,0.74,"0.57"
"8","GO:0005654","nucleoplasm",1786,1,0.76,"0.58"
"9","GO:0031224","intrinsic component of membrane",1807,1,0.76,"0.59"
"10","GO:0005886","plasma membrane",1907,1,0.81,"0.61"
"11","GO:0012505","endomembrane system",1978,1,0.84,"0.63"
"12","GO:0031981","nuclear lumen",1982,1,0.84,"0.63"
"13","GO:0071944","cell periphery",2034,1,0.86,"0.64"
"14","GO:0043233","organelle lumen",2180,1,0.92,"0.67"
"15","GO:0070013","intracellular organelle lumen",2180,1,0.92,"0.67"
"16","GO:0031974","membrane-enclosed lumen",2180,1,0.92,"0.67"
"17","GO:0005634","nucleus",3260,1,1.38,"0.84"
"18","GO:0005737","cytoplasm",5107,1,2.16,"0.98"
"19","GO:0043231","intracellular membrane-bounded organelle",5161,1,2.18,"0.98"
"20","GO:0043227","membrane-bounded organelle",5263,1,2.23,"0.98"
