"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0004667","prostaglandin-D synthase activity",2,1,0,"0.00058"
"2","GO:0019002","GMP binding",3,1,0,"0.00086"
"3","GO:0005501","retinoid binding",5,1,0,"0.00144"
"4","GO:0016208","AMP binding",7,1,0,"0.00202"
"5","GO:0005504","fatty acid binding",17,1,0,"0.00489"
"6","GO:0030145","manganese ion binding",27,1,0.01,"0.00777"
"7","GO:0008081","phosphoric diester hydrolase activity",41,1,0.01,"0.01178"
"8","GO:0042578","phosphoric ester hydrolase activity",178,1,0.05,"0.05066"
"9","GO:0016788","hydrolase activity, acting on ester bonds",315,1,0.09,"0.08875"
"10","GO:0036094","small molecule binding",1118,2,0.32,"0.16005"
"11","GO:0016787","hydrolase activity",942,1,0.27,"0.25313"
"12","GO:0003824","catalytic activity",2319,2,0.67,"0.33405"
"13","GO:0019840","isoprenoid binding",6,1,0,"1.00000"
"14","GO:0032559","adenyl ribonucleotide binding",734,1,0.21,"1.00000"
"15","GO:0046872","metal ion binding",1536,1,0.44,"1.00000"
"16","GO:0016853","isomerase activity",68,1,0.02,"1.00000"
"17","GO:0017076","purine nucleotide binding",902,1,0.26,"1.00000"
"18","GO:0031406","carboxylic acid binding",62,1,0.02,"1.00000"
"19","GO:0030554","adenyl nucleotide binding",740,1,0.21,"1.00000"
"20","GO:0000166","nucleotide binding",996,1,0.29,"1.00000"
