"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0035910","ascending aorta morphogenesis",1,1,0,"0.00042"
"2","GO:0045588","positive regulation of gamma-delta T cell differentiation",1,1,0,"0.00042"
"3","GO:2000761","positive regulation of N-terminal peptidyl-lysine acetylation",1,1,0,"0.00042"
"4","GO:0003289","atrial septum primum morphogenesis",2,1,0,"0.00085"
"5","GO:2000255","negative regulation of male germ cell proliferation",3,1,0,"0.00127"
"6","GO:0003357","noradrenergic neuron differentiation",3,1,0,"0.00127"
"7","GO:0003211","cardiac ventricle formation",4,1,0,"0.00170"
"8","GO:0003183","mitral valve morphogenesis",4,1,0,"0.00170"
"9","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",5,1,0,"0.00212"
"10","GO:0060174","limb bud formation",5,1,0,"0.00212"
"11","GO:0045187","regulation of circadian sleep/wake cycle, sleep",6,1,0,"0.00254"
"12","GO:0002328","pro-B cell differentiation",6,1,0,"0.00254"
"13","GO:0042769","DNA damage response, detection of DNA damage",6,1,0,"0.00254"
"14","GO:0003215","cardiac right ventricle morphogenesis",7,1,0,"0.00297"
"15","GO:0060563","neuroepithelial cell differentiation",7,1,0,"0.00297"
"16","GO:0001516","prostaglandin biosynthetic process",9,1,0,"0.00381"
"17","GO:0048485","sympathetic nervous system development",9,1,0,"0.00381"
"18","GO:0021522","spinal cord motor neuron differentiation",12,1,0.01,"0.00508"
"19","GO:0043303","mast cell degranulation",13,1,0.01,"0.00551"
"20","GO:0031018","endocrine pancreas development",14,1,0.01,"0.00593"
